method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.77,0.1,0,0.01,0.995800
RungeKutta4,1,0.1,0.729842,0.1,0,0.01,0.925785
RungeKutta4,2,0.2,0.696367,0.1,0,0.01,0.867422
RungeKutta4,3,0.3,0.669174,0.1,0,0.01,0.820012
RungeKutta4,4,0.4,0.647898,0.1,0,0.01,0.782918
RungeKutta4,5,0.5,0.632195,0.1,0,0.01,0.755540
RungeKutta4,6,0.6,0.621723,0.1,0,0.01,0.737282
RungeKutta4,7,0.7,0.616123,0.1,0,0.01,0.727519
RungeKutta4,8,0.8,0.615080,0.1,0,0.01,0.725700
RungeKutta4,9,0.9,0.619289,0.1,0,0.01,0.733039
RungeKutta4,10,1.0,0.628388,0.1,0,0.01,0.748902
RungeKutta4,11,1.1,0.641372,0.1,0,0.01,0.771540
RungeKutta4,12,1.2,0.657226,0.1,0,0.01,0.799181
RungeKutta4,13,1.3,0.674934,0.1,0,0.01,0.830054
RungeKutta4,14,1.4,0.693493,0.1,0,0.01,0.862412
RungeKutta4,15,1.5,0.711920,0.1,0,0.01,0.894539
RungeKutta4,16,1.6,0.729286,0.1,0,0.01,0.924816
RungeKutta4,17,1.7,0.744740,0.1,0,0.01,0.951760
RungeKutta4,18,1.8,0.757478,0.1,0,0.01,0.973968
RungeKutta4,19,1.9,0.766699,0.1,0,0.01,0.990045
RungeKutta4,20,2.0,0.771778,0.1,0,0.01,0.998900
RungeKutta4,21,2.1,0.772409,0.1,0,0.01,1
RungeKutta4,22,2.2,0.769501,0.1,0,0.01,0.994930
RungeKutta4,23,2.3,0.763208,0.1,0,0.01,0.983958
RungeKutta4,24,2.4,0.753566,0.1,0,0.01,0.967148
RungeKutta4,25,2.5,0.740763,0.1,0,0.01,0.944826
RungeKutta4,26,2.6,0.725116,0.1,0,0.01,0.917546
RungeKutta4,27,2.7,0.707038,0.1,0,0.01,0.886027
RungeKutta4,28,2.8,0.687007,0.1,0,0.01,0.851103
RungeKutta4,29,2.9,0.665538,0.1,0,0.01,0.813673
RungeKutta4,30,3.0,0.643154,0.1,0,0.01,0.774647
RungeKutta4,31,3.1,0.620351,0.1,0,0.01,0.734890
RungeKutta4,32,3.2,0.597584,0.1,0,0.01,0.695196
RungeKutta4,33,3.3,0.575250,0.1,0,0.01,0.656258
RungeKutta4,34,3.4,0.553676,0.1,0,0.01,0.618644
RungeKutta4,35,3.5,0.533120,0.1,0,0.01,0.582805
RungeKutta4,36,3.6,0.513766,0.1,0,0.01,0.549061
RungeKutta4,37,3.7,0.495736,0.1,0,0.01,0.517627
RungeKutta4,38,3.8,0.479091,0.1,0,0.01,0.488606
RungeKutta4,39,3.9,0.463845,0.1,0,0.01,0.462025
RungeKutta4,40,4.0,0.449974,0.1,0,0.01,0.437842
RungeKutta4,41,4.1,0.437424,0.1,0,0.01,0.415961
RungeKutta4,42,4.2,0.426121,0.1,0,0.01,0.396254
RungeKutta4,43,4.3,0.415978,0.1,0,0.01,0.378570
RungeKutta4,44,4.4,0.406903,0.1,0,0.01,0.362748
RungeKutta4,45,4.5,0.398801,0.1,0,0.01,0.348622
RungeKutta4,46,4.6,0.391580,0.1,0,0.01,0.336033
RungeKutta4,47,4.7,0.385152,0.1,0,0.01,0.324826
RungeKutta4,48,4.8,0.379435,0.1,0,0.01,0.314858
RungeKutta4,49,4.9,0.374353,0.1,0,0.01,0.305998
RungeKutta4,50,5.0,0.369837,0.1,0,0.01,0.298124
RungeKutta4,51,5.1,0.365825,0.1,0,0.01,0.291130
RungeKutta4,52,5.2,0.362262,0.1,0,0.01,0.284918
RungeKutta4,53,5.3,0.359097,0.1,0,0.01,0.279399
RungeKutta4,54,5.4,0.356284,0.1,0,0.01,0.274495
RungeKutta4,55,5.5,0.353782,0.1,0,0.01,0.270133
RungeKutta4,56,5.6,0.351550,0.1,0,0.01,0.266241
RungeKutta4,57,5.7,0.349538,0.1,0,0.01,0.262733
RungeKutta4,58,5.8,0.347660,0.1,0,0.01,0.259459
RungeKutta4,59,5.9,0.345680,0.1,0,0.01,0.256007
RungeKutta4,60,6.0,0.342812,0.1,0,0.01,0.251007
RungeKutta4,61,6.1,0.337333,0.1,0,0.01,0.241454
RungeKutta4,62,6.2,0.328860,0.1,0,0.01,0.226682
RungeKutta4,63,6.3,0.319770,0.1,0,0.01,0.210834
RungeKutta4,64,6.4,0.311840,0.1,0,0.01,0.197008
RungeKutta4,65,6.5,0.305455,0.1,0,0.01,0.185876
RungeKutta4,66,6.6,0.300431,0.1,0,0.01,0.177116
RungeKutta4,67,6.7,0.296449,0.1,0,0.01,0.170174
RungeKutta4,68,6.8,0.293173,0.1,0,0.01,0.164462
RungeKutta4,69,6.9,0.290244,0.1,0,0.01,0.159356
RungeKutta4,70,7.0,0.287247,0.1,0,0.01,0.154130
RungeKutta4,71,7.1,0.283670,0.1,0,0.01,0.147894
RungeKutta4,72,7.2,0.278885,0.1,0,0.01,0.139552
RungeKutta4,73,7.3,0.272202,0.1,0,0.01,0.127900
RungeKutta4,74,7.4,0.263056,0.1,0,0.01,0.111954
RungeKutta4,75,7.5,0.251358,0.1,0,0.01,0.0915588
RungeKutta4,76,7.6,0.237847,0.1,0,0.01,0.0680026
RungeKutta4,77,7.7,0.224175,0.1,0,0.01,0.0441658
RungeKutta4,78,7.8,0.212511,0.1,0,0.01,0.0238299
RungeKutta4,79,7.9,0.204685,0.1,0,0.01,0.0101854
RungeKutta4,80,8.0,0.200485,0.1,0,0.01,0.00286279
RungeKutta4,81,8.1,0.198843,0.1,0,0.01,0
RungeKutta4,82,8.2,0.198858,0.1,0,0.01,0.0000261522
RungeKutta4,83,8.3,0.199527,0.1,0,0.01,0.00119254
RungeKutta4,84,8.4,0.200814,0.1,0,0.01,0.00343640
RungeKutta4,85,8.5,0.202725,0.1,0,0.01,0.00676818
RungeKutta4,86,8.6,0.205238,0.1,0,0.01,0.0111495
RungeKutta4,87,8.7,0.208309,0.1,0,0.01,0.0165038
RungeKutta4,88,8.8,0.211873,0.1,0,0.01,0.0227175
RungeKutta4,89,8.9,0.215850,0.1,0,0.01,0.0296513
RungeKutta4,90,9.0,0.220152,0.1,0,0.01,0.0371518
RungeKutta4,91,9.1,0.224686,0.1,0,0.01,0.0450567
RungeKutta4,92,9.2,0.229361,0.1,0,0.01,0.0532075
RungeKutta4,93,9.3,0.234094,0.1,0,0.01,0.0614594
RungeKutta4,94,9.4,0.238819,0.1,0,0.01,0.0696973
RungeKutta4,95,9.5,0.243493,0.1,0,0.01,0.0778463
RungeKutta4,96,9.6,0.248110,0.1,0,0.01,0.0858960
