method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1,0.1,0,0.01,1
RungeKutta4,1,0.1,0.962460,0.1,0,0.01,0.955870
RungeKutta4,2,0.2,0.934467,0.1,0,0.01,0.922962
RungeKutta4,3,0.3,0.914687,0.1,0,0.01,0.899710
RungeKutta4,4,0.4,0.901840,0.1,0,0.01,0.884607
RungeKutta4,5,0.5,0.894685,0.1,0,0.01,0.876196
RungeKutta4,6,0.6,0.892006,0.1,0,0.01,0.873047
RungeKutta4,7,0.7,0.892837,0.1,0,0.01,0.874024
RungeKutta4,8,0.8,0.896328,0.1,0,0.01,0.878128
RungeKutta4,9,0.9,0.901038,0.1,0,0.01,0.883665
RungeKutta4,10,1.0,0.905669,0.1,0,0.01,0.889109
RungeKutta4,11,1.1,0.909170,0.1,0,0.01,0.893224
RungeKutta4,12,1.2,0.910766,0.1,0,0.01,0.895100
RungeKutta4,13,1.3,0.910101,0.1,0,0.01,0.894319
RungeKutta4,14,1.4,0.907168,0.1,0,0.01,0.890871
RungeKutta4,15,1.5,0.901768,0.1,0,0.01,0.884523
RungeKutta4,16,1.6,0.893830,0.1,0,0.01,0.875191
RungeKutta4,17,1.7,0.883424,0.1,0,0.01,0.862958
RungeKutta4,18,1.8,0.870742,0.1,0,0.01,0.848050
RungeKutta4,19,1.9,0.856076,0.1,0,0.01,0.830809
RungeKutta4,20,2.0,0.839791,0.1,0,0.01,0.811665
RungeKutta4,21,2.1,0.822295,0.1,0,0.01,0.791098
RungeKutta4,22,2.2,0.804019,0.1,0,0.01,0.769613
RungeKutta4,23,2.3,0.785386,0.1,0,0.01,0.747709
RungeKutta4,24,2.4,0.766791,0.1,0,0.01,0.725850
RungeKutta4,25,2.5,0.748588,0.1,0,0.01,0.704451
RungeKutta4,26,2.6,0.731074,0.1,0,0.01,0.683862
RungeKutta4,27,2.7,0.714487,0.1,0,0.01,0.664363
RungeKutta4,28,2.8,0.699000,0.1,0,0.01,0.646158
RungeKutta4,29,2.9,0.684727,0.1,0,0.01,0.629379
RungeKutta4,30,3.0,0.671728,0.1,0,0.01,0.614098
RungeKutta4,31,3.1,0.660013,0.1,0,0.01,0.600326
RungeKutta4,32,3.2,0.649556,0.1,0,0.01,0.588033
RungeKutta4,33,3.3,0.640299,0.1,0,0.01,0.577151
RungeKutta4,34,3.4,0.632165,0.1,0,0.01,0.567589
RungeKutta4,35,3.5,0.625064,0.1,0,0.01,0.559242
RungeKutta4,36,3.6,0.618897,0.1,0,0.01,0.551992
RungeKutta4,37,3.7,0.613565,0.1,0,0.01,0.545724
RungeKutta4,38,3.8,0.608972,0.1,0,0.01,0.540325
RungeKutta4,39,3.9,0.605028,0.1,0,0.01,0.535688
RungeKutta4,40,4.0,0.601648,0.1,0,0.01,0.531715
RungeKutta4,41,4.1,0.598757,0.1,0,0.01,0.528316
RungeKutta4,42,4.2,0.596287,0.1,0,0.01,0.525413
RungeKutta4,43,4.3,0.594179,0.1,0,0.01,0.522935
RungeKutta4,44,4.4,0.592380,0.1,0,0.01,0.520820
RungeKutta4,45,4.5,0.590846,0.1,0,0.01,0.519016
RungeKutta4,46,4.6,0.589539,0.1,0,0.01,0.517480
RungeKutta4,47,4.7,0.588425,0.1,0,0.01,0.516170
RungeKutta4,48,4.8,0.587475,0.1,0,0.01,0.515054
RungeKutta4,49,4.9,0.586665,0.1,0,0.01,0.514101
RungeKutta4,50,5.0,0.585975,0.1,0,0.01,0.513290
RungeKutta4,51,5.1,0.585387,0.1,0,0.01,0.512599
RungeKutta4,52,5.2,0.584886,0.1,0,0.01,0.512010
RungeKutta4,53,5.3,0.584458,0.1,0,0.01,0.511507
