TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:53:16,great_tit_observed.csv,1.420671612581391733956455384,0.557,0.937,3.766,0.297,0.528,0.019,2.95,11.26,10.63,9.958,9.033,2.605,15.461,1.318,1.088,1.548,0.179,7.72,8.351,7.063,9.639,1.689,0.214,12.168,65.439,121.962,8.916
2026-05-06 21:53:16,great_tit_observed.csv,0.8619723160269088174408742622,0.714,3.556,3.986,0.374,0.142,0.01,5.19,1.3,11.05,4.875,5.621,9.783,1.459,2.316,2.116,2.517,0.232,6.84,8.176,10.515,5.838,1.622,0.156,12.168,89.295,174.499,4.091
2026-05-06 21:53:16,great_tit_observed.csv,0.4698540302897762916328209204,0.617,3.405,2.488,0.183,0.301,0.0,4.85,10.93,10.28,8.673,7.950,14.206,1.695,5.686,4.635,6.736,0.219,8.83,3.391,3.345,3.437,1.651,0.037,12.149,70.389,131.69,9.088
2026-05-06 21:53:17,great_tit_observed.csv,0.6278899765255268987632577825,0.695,1.983,1.832,0.151,0.41,0.014,3.06,1.49,11.07,9.011,15.380,15.467,15.292,7.200,10.849,3.55,0.175,8.03,9.246,11.821,6.67,0.837,0.179,12.142,97.983,183.201,12.765
2026-05-06 21:53:17,great_tit_observed.csv,0.3808447332782187470345773221,0.758,1.214,1.074,0.195,0.07,0.03,3.97,10.87,10.19,9.557,11.116,18.273,3.96,1.688,1.611,1.766,0.185,7.09,12.476,11.726,13.226,1.291,0.037,12.275,63.146,122.103,4.19
2026-05-06 21:53:17,great_tit_observed.csv,0.1233842334545832322716676595,1.116,1.836,0.86,0.219,0.666,0.007,4.41,1.29,10.73,9.348,6.944,1.933,11.954,11.457,11.23,11.684,0.114,8.86,11.779,10.175,13.383,1.232,0.192,12.057,100.300,195.119,5.481
2026-05-06 21:53:18,great_tit_observed.csv,0.8724717905808112257909740530,0.662,3.171,5.293,0.197,0.295,0.041,4.26,11.02,9.98,10.643,14.752,12.996,16.509,5.750,6.503,4.997,0.058,6.63,6.864,8.789,4.939,1.273,0.134,12.151,60.956,115.542,6.37
2026-05-06 21:53:18,great_tit_observed.csv,0.4131002150925009684772161841,1.098,0.66,1.426,0.199,0.576,0.037,4.19,11.34,11.26,5.758,16.372,15.226,17.517,5.936,5.226,6.647,0.034,6.97,2.750,2.294,3.206,1.672,0.039,12.245,53.906,92.147,15.664
2026-05-06 21:53:18,great_tit_observed.csv,0.4095561601530398318361535591,0.52,2.513,3.907,0.353,0.466,0.03,2.73,1.3,11.17,10.016,10.688,15.335,6.042,8.940,6.778,11.103,0.057,8.87,10.095,9.459,10.731,1.737,0.332,12.051,63.819,115.512,12.126
2026-05-06 21:53:19,great_tit_observed.csv,0.6525563759556233722478723481,0.983,1.062,0.698,0.116,0.337,0.028,3.44,10.85,10.42,3.922,14.565,17.042,12.088,12.737,11.474,14.000,0.166,8.42,11.524,12.124,10.925,1.655,0.076,12.101,118.346,228.452,8.239
2026-05-06 21:53:19,great_tit_observed.csv,0.4799148225407587485220254969,0.829,1.34,3.505,0.249,0.444,0.022,4.4,11.91,9.95,2.501,6.910,6.567,7.253,1.302,1.453,1.152,0.183,7.37,9.886,6.52,13.253,1.792,0.206,12.285,62.314,115.116,9.513
2026-05-06 21:53:19,great_tit_observed.csv,0.7671130104746852083386715404,1.109,2.985,4.659,0.301,0.472,0.014,4.7,1.34,11.43,9.029,2.202,2.363,2.041,4.003,4.285,3.721,0.039,9.43,1.760,0.686,2.835,1.322,0.129,12.08,60.471,116.126,4.816
2026-05-06 21:53:20,great_tit_observed.csv,0.3966457675528699625246811812,1.117,2.553,5.523,0.409,0.639,0.017,3.09,11.49,10.34,7.178,6.087,4.148,8.026,5.270,2.504,8.037,0.017,6.73,5.412,9.12,1.703,1.28,0.281,12.215,65.864,118.668,13.061
2026-05-06 21:53:20,great_tit_observed.csv,1.351540259755466779622137306,0.544,0.454,3.469,0.067,0.288,0.049,5.04,11.88,10.84,10.139,8.224,10.579,5.87,4.344,1.464,7.223,0.125,9.23,12.886,13.839,11.933,0.868,0.29,12.09,80.235,154.271,6.199
2026-05-06 21:53:20,great_tit_observed.csv,0.5807326026542785872891401037,0.542,1.204,5.477,0.166,0.318,0.014,4.43,10.9,10.57,4.617,8.698,2.186,15.211,8.212,8.583,7.842,0.177,7.71,8.956,8.298,9.615,0.813,0.223,12.282,48.182,92.228,4.136
2026-05-06 21:53:20,great_tit_observed.csv,0.4194270558241292580309919738,0.776,3.89,1.92,0.136,0.53,0.009,2.77,11.44,9.87,4.591,16.164,16.597,15.732,7.691,5.813,9.569,0.119,7.2,7.548,2.908,12.188,1.065,0.24,12.248,113.964,223.632,4.297
2026-05-06 21:53:21,great_tit_observed.csv,0.5612508251515227884244919048,0.541,1.444,4.367,0.198,0.263,0.023,3.62,10.69,9.35,6.387,15.510,13.118,17.903,7.550,4.856,10.245,0.145,6.9,2.256,1.68,2.832,1.313,0.218,12.199,112.184,218.414,5.953
2026-05-06 21:53:21,great_tit_observed.csv,1.104935455175277571692009532,0.764,3.43,5.53,0.055,0.711,0.036,4.41,11.43,9.81,9.124,9.435,9.437,9.433,6.490,4.915,8.064,0.172,6.54,4.756,0.622,8.889,1.332,0.24,12.022,110.444,204.898,15.989
2026-05-06 21:53:21,great_tit_observed.csv,0.5617422559133606216182842229,0.866,0.394,0.689,0.078,0.075,0.015,4.96,10.96,11.26,7.152,15.986,17.09,14.883,3.844,3.186,4.503,0.053,9.19,5.104,5.73,4.477,1.293,0.331,12.249,69.290,130.996,7.585
2026-05-06 21:53:22,great_tit_observed.csv,0.6767241183701594440725000034,0.92,2.822,5.837,0.142,0.533,0.042,4.48,10.98,10.92,10.401,6.831,6.102,7.56,4.943,1.229,8.657,0.19,7.59,5.896,8.594,3.198,1.249,0.349,12.029,84.775,154.662,14.888
2026-05-06 21:53:22,great_tit_observed.csv,1.703241309544510714482790977,1.059,3.311,5.412,0.29,0.529,0.019,5.4,10.71,11.0,8.133,2.742,3.413,2.07,6.383,8.283,4.483,0.069,8.98,8.790,11.66,5.92,0.843,0.216,12.098,66.656,119.971,13.342
2026-05-06 21:53:22,great_tit_observed.csv,0.7599253556341400302361805177,0.583,0.31,4.644,0.179,0.648,0.024,4.12,11.82,9.29,4.003,18.017,20.000,16.034,4.156,3.682,4.629,0.107,7.77,12.077,11.794,12.36,1.115,0.072,12.073,81.572,156.251,6.893
