method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.847,0.1,0,0.01,1
RungeKutta4,1,0.1,0.721978,0.1,0,0.01,0.821702
RungeKutta4,2,0.2,0.626514,0.1,0,0.01,0.685557
RungeKutta4,3,0.3,0.554246,0.1,0,0.01,0.582493
RungeKutta4,4,0.4,0.500278,0.1,0,0.01,0.505527
RungeKutta4,5,0.5,0.460845,0.1,0,0.01,0.449290
RungeKutta4,6,0.6,0.433060,0.1,0,0.01,0.409665
RungeKutta4,7,0.7,0.414706,0.1,0,0.01,0.383490
RungeKutta4,8,0.8,0.404079,0.1,0,0.01,0.368334
RungeKutta4,9,0.9,0.399866,0.1,0,0.01,0.362326
RungeKutta4,10,1.0,0.400736,0.1,0,0.01,0.363566
RungeKutta4,11,1.1,0.405324,0.1,0,0.01,0.370110
RungeKutta4,12,1.2,0.413220,0.1,0,0.01,0.381370
RungeKutta4,13,1.3,0.424097,0.1,0,0.01,0.396882
RungeKutta4,14,1.4,0.437639,0.1,0,0.01,0.416195
RungeKutta4,15,1.5,0.453534,0.1,0,0.01,0.438864
RungeKutta4,16,1.6,0.471459,0.1,0,0.01,0.464427
RungeKutta4,17,1.7,0.491078,0.1,0,0.01,0.492407
RungeKutta4,18,1.8,0.512032,0.1,0,0.01,0.522290
RungeKutta4,19,1.9,0.533944,0.1,0,0.01,0.553539
RungeKutta4,20,2.0,0.556417,0.1,0,0.01,0.585589
RungeKutta4,21,2.1,0.579038,0.1,0,0.01,0.617850
RungeKutta4,22,2.2,0.601385,0.1,0,0.01,0.649719
RungeKutta4,23,2.3,0.623034,0.1,0,0.01,0.680594
RungeKutta4,24,2.4,0.643564,0.1,0,0.01,0.709872
RungeKutta4,25,2.5,0.662569,0.1,0,0.01,0.736976
RungeKutta4,26,2.6,0.679670,0.1,0,0.01,0.761365
RungeKutta4,27,2.7,0.694522,0.1,0,0.01,0.782546
RungeKutta4,28,2.8,0.706807,0.1,0,0.01,0.800066
RungeKutta4,29,2.9,0.716159,0.1,0,0.01,0.813403
RungeKutta4,30,3.0,0.722268,0.1,0,0.01,0.822115
RungeKutta4,31,3.1,0.724918,0.1,0,0.01,0.825894
RungeKutta4,32,3.2,0.723698,0.1,0,0.01,0.824154
RungeKutta4,33,3.3,0.718048,0.1,0,0.01,0.816097
RungeKutta4,34,3.4,0.708236,0.1,0,0.01,0.802104
RungeKutta4,35,3.5,0.694640,0.1,0,0.01,0.782714
RungeKutta4,36,3.6,0.677697,0.1,0,0.01,0.758551
RungeKutta4,37,3.7,0.657887,0.1,0,0.01,0.730299
RungeKutta4,38,3.8,0.635724,0.1,0,0.01,0.698692
RungeKutta4,39,3.9,0.611738,0.1,0,0.01,0.664484
RungeKutta4,40,4.0,0.586461,0.1,0,0.01,0.628436
RungeKutta4,41,4.1,0.560405,0.1,0,0.01,0.591276
RungeKutta4,42,4.2,0.534055,0.1,0,0.01,0.553698
RungeKutta4,43,4.3,0.507846,0.1,0,0.01,0.516320
RungeKutta4,44,4.4,0.482163,0.1,0,0.01,0.479693
RungeKutta4,45,4.5,0.457324,0.1,0,0.01,0.444269
RungeKutta4,46,4.6,0.433583,0.1,0,0.01,0.410411
RungeKutta4,47,4.7,0.411125,0.1,0,0.01,0.378383
RungeKutta4,48,4.8,0.390068,0.1,0,0.01,0.348352
RungeKutta4,49,4.9,0.370466,0.1,0,0.01,0.320397
RungeKutta4,50,5.0,0.352318,0.1,0,0.01,0.294516
RungeKutta4,51,5.1,0.335578,0.1,0,0.01,0.270642
RungeKutta4,52,5.2,0.320159,0.1,0,0.01,0.248653
RungeKutta4,53,5.3,0.305947,0.1,0,0.01,0.228384
RungeKutta4,54,5.4,0.292810,0.1,0,0.01,0.209649
RungeKutta4,55,5.5,0.280608,0.1,0,0.01,0.192248
RungeKutta4,56,5.6,0.269200,0.1,0,0.01,0.175978
RungeKutta4,57,5.7,0.258454,0.1,0,0.01,0.160653
RungeKutta4,58,5.8,0.248254,0.1,0,0.01,0.146106
RungeKutta4,59,5.9,0.238502,0.1,0,0.01,0.132199
RungeKutta4,60,6.0,0.229124,0.1,0,0.01,0.118824
RungeKutta4,61,6.1,0.220070,0.1,0,0.01,0.105912
RungeKutta4,62,6.2,0.211318,0.1,0,0.01,0.0934305
RungeKutta4,63,6.3,0.202868,0.1,0,0.01,0.0813796
RungeKutta4,64,6.4,0.194744,0.1,0,0.01,0.0697937
RungeKutta4,65,6.5,0.186990,0.1,0,0.01,0.0587354
RungeKutta4,66,6.6,0.179664,0.1,0,0.01,0.0482876
RungeKutta4,67,6.7,0.172839,0.1,0,0.01,0.0385542
RungeKutta4,68,6.8,0.166593,0.1,0,0.01,0.0296465
RungeKutta4,69,6.9,0.161008,0.1,0,0.01,0.0216816
RungeKutta4,70,7.0,0.156164,0.1,0,0.01,0.0147734
RungeKutta4,71,7.1,0.152132,0.1,0,0.01,0.00902317
RungeKutta4,72,7.2,0.148986,0.1,0,0.01,0.00453654
RungeKutta4,73,7.3,0.146843,0.1,0,0.01,0.00148033
RungeKutta4,74,7.4,0.145805,0.1,0,0.01,0
RungeKutta4,75,7.5,0.145885,0.1,0,0.01,0.000114091
RungeKutta4,76,7.6,0.146920,0.1,0,0.01,0.00159014
RungeKutta4,77,7.7,0.148916,0.1,0,0.01,0.00443671
RungeKutta4,78,7.8,0.151857,0.1,0,0.01,0.00863098
RungeKutta4,79,7.9,0.155693,0.1,0,0.01,0.0141016
RungeKutta4,80,8.0,0.160344,0.1,0,0.01,0.0207346
RungeKutta4,81,8.1,0.165706,0.1,0,0.01,0.0283815
RungeKutta4,82,8.2,0.171655,0.1,0,0.01,0.0368656
RungeKutta4,83,8.3,0.178056,0.1,0,0.01,0.0459943
RungeKutta4,84,8.4,0.184769,0.1,0,0.01,0.0555680
RungeKutta4,85,8.5,0.191656,0.1,0,0.01,0.0653898
RungeKutta4,86,8.6,0.198583,0.1,0,0.01,0.0752686
RungeKutta4,87,8.7,0.205430,0.1,0,0.01,0.0850334
RungeKutta4,88,8.8,0.212091,0.1,0,0.01,0.0945329
RungeKutta4,89,8.9,0.218480,0.1,0,0.01,0.103644
RungeKutta4,90,9.0,0.224536,0.1,0,0.01,0.112281
RungeKutta4,91,9.1,0.230227,0.1,0,0.01,0.120397
RungeKutta4,92,9.2,0.235560,0.1,0,0.01,0.128003
RungeKutta4,93,9.3,0.240592,0.1,0,0.01,0.135179
RungeKutta4,94,9.4,0.245427,0.1,0,0.01,0.142075
RungeKutta4,95,9.5,0.250188,0.1,0,0.01,0.148864
RungeKutta4,96,9.6,0.254937,0.1,0,0.01,0.155637
RungeKutta4,97,9.7,0.259610,0.1,0,0.01,0.162301
RungeKutta4,98,9.8,0.264042,0.1,0,0.01,0.168622
RungeKutta4,99,9.9,0.268062,0.1,0,0.01,0.174355
RungeKutta4,100,10.0,0.271561,0.1,0,0.01,0.179345
RungeKutta4,101,10.1,0.274500,0.1,0,0.01,0.183537
RungeKutta4,102,10.2,0.276885,0.1,0,0.01,0.186938
RungeKutta4,103,10.3,0.278756,0.1,0,0.01,0.189606
RungeKutta4,104,10.4,0.280185,0.1,0,0.01,0.191644
RungeKutta4,105,10.5,0.281333,0.1,0,0.01,0.193281
RungeKutta4,106,10.6,0.282630,0.1,0,0.01,0.195131
RungeKutta4,107,10.7,0.285120,0.1,0,0.01,0.198682
RungeKutta4,108,10.8,0.290745,0.1,0,0.01,0.206704
RungeKutta4,109,10.9,0.301899,0.1,0,0.01,0.222611
RungeKutta4,110,11.0,0.319702,0.1,0,0.01,0.248001
RungeKutta4,111,11.1,0.341904,0.1,0,0.01,0.279664
RungeKutta4,112,11.2,0.362934,0.1,0,0.01,0.309656
RungeKutta4,113,11.3,0.379980,0.1,0,0.01,0.333966
RungeKutta4,114,11.4,0.393325,0.1,0,0.01,0.352997
RungeKutta4,115,11.5,0.403324,0.1,0,0.01,0.367257
RungeKutta4,116,11.6,0.410321,0.1,0,0.01,0.377236
RungeKutta4,117,11.7,0.414661,0.1,0,0.01,0.383425
RungeKutta4,118,11.8,0.416703,0.1,0,0.01,0.386338
RungeKutta4,119,11.9,0.416783,0.1,0,0.01,0.386452
RungeKutta4,120,12.0,0.410064,0.1,0,0.01,0.376869
RungeKutta4,121,12.1,0.383453,0.1,0,0.01,0.338919
