TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 09:42:08,house_sparrow_observed.csv,1.115495158290748519141040100,0.726,0.962,1.205,0.453,0.032,0.012,5.23,1.49,12.032,7.543,16.522,7.424,7.619,7.229,0.132,11.03,8.248,2.886,13.609,1.8
2026-05-06 09:42:08,house_sparrow_observed.csv,1.572699598642032233983576391,0.993,2.943,1.783,0.312,0.118,0.095,4.66,11.79,9.550,13.004,6.095,10.026,7.442,12.609,0.087,10.78,4.068,4.759,3.376,1.607
2026-05-06 09:42:08,house_sparrow_observed.csv,0.5250783119919167783721760684,0.631,2.347,1.095,0.705,0.217,0.136,4.49,11.68,13.130,13.867,12.392,7.426,8.666,6.186,0.016,10.68,1.834,1.145,2.522,1.733
2026-05-06 09:42:09,house_sparrow_observed.csv,1.126212384468262090462656145,1.052,2.755,1.267,0.555,0.612,0.136,4.42,10.67,12.912,9.068,16.756,5.166,6.979,3.352,0.104,10.24,12.153,11.849,12.457,1.437
2026-05-06 09:42:09,house_sparrow_observed.csv,2.053977555491685375823343563,0.787,0.309,2.264,0.677,0.081,0.399,3.74,11.44,13.546,11.09,16.003,9.228,9.693,8.763,0.008,9.81,5.713,2.487,8.939,1.007
2026-05-06 09:42:09,house_sparrow_observed.csv,0.9438275512505293391016216589,0.952,3.063,3.324,0.523,0.432,0.407,5.13,11.32,10.634,15.758,5.511,3.366,4.798,1.933,0.133,10.17,8.786,7.673,9.899,1.415
2026-05-06 09:42:10,house_sparrow_observed.csv,0.5872453469761573977412464221,0.532,2.194,1.992,0.401,0.032,0.036,4.95,11.72,2.476,1.799,3.154,4.484,5.535,3.433,0.094,11.49,7.364,12.87,1.859,1.343
2026-05-06 09:42:10,house_sparrow_observed.csv,1.624538265431903789598802076,0.819,3.823,4.074,0.204,0.161,0.111,5.69,11.19,9.760,13.197,6.323,11.708,9.773,13.643,0.224,11.27,3.254,0.92,5.588,1.648
2026-05-06 09:42:10,house_sparrow_observed.csv,0.5196489668633902194630815467,0.527,3.533,1.152,0.45,0.153,0.241,4.19,11.13,1.176,1.277,1.075,6.478,0.517,12.438,0.044,8.59,2.508,2.999,2.018,0.853
2026-05-06 09:42:11,house_sparrow_observed.csv,3.124764179460642158791419080,0.803,2.243,4.793,0.27,0.009,0.241,4.34,10.54,8.674,10.775,6.572,2.514,1.902,3.126,0.118,10.0,10.434,13.335,7.533,0.91
2026-05-06 09:42:11,house_sparrow_observed.csv,0.9489761351419753496978217232,0.858,3.528,2.088,0.514,0.496,0.36,3.65,1.05,15.738,14.495,16.982,9.906,9.927,9.885,0.134,10.92,8.757,6.403,11.111,0.966
2026-05-06 09:42:11,house_sparrow_observed.csv,2.632872296461025086787095243,0.552,0.616,4.963,0.63,0.619,0.392,5.18,11.36,11.956,10.853,13.058,8.158,3.049,13.267,0.144,9.12,4.220,3.651,4.790,0.836
2026-05-06 09:42:11,house_sparrow_observed.csv,0.3716465267617329754442057345,0.626,2.258,3.424,0.293,0.263,0.102,5.01,11.99,3.460,4.303,2.617,7.538,4.524,10.551,0.091,9.29,11.349,12.323,10.375,1.461
2026-05-06 09:42:12,house_sparrow_observed.csv,1.318589349837284481135290555,0.907,2.822,2.208,0.284,0.404,0.129,6.16,1.25,5.854,6.515,5.192,10.636,9.450,11.823,0.042,9.55,9.930,12.59,7.271,1.139
2026-05-06 09:42:12,house_sparrow_observed.csv,1.379783643146050148004623134,0.886,1.242,1.21,0.457,0.119,0.005,5.76,10.93,16.954,19.315,14.592,9.092,12.89,5.293,0.065,11.38,8.802,8.436,9.168,1.607
2026-05-06 09:42:12,house_sparrow_observed.csv,1.121553647197971437997565735,0.746,3.125,4.251,0.461,0.146,0.224,3.69,10.69,14.805,10.164,19.446,2.578,1.225,3.93,0.17,11.36,6.971,4.705,9.237,1.599
2026-05-06 09:42:13,house_sparrow_observed.csv,2.222300712047765798412950581,0.622,1.194,5.227,0.677,0.367,0.434,6.4,10.81,12.867,7.844,17.89,4.158,3.671,4.645,0.227,9.29,9.478,13.592,5.365,0.955
2026-05-06 09:42:13,house_sparrow_observed.csv,1.681289703734755742323244278,0.71,0.556,4.695,0.13,0.278,0.238,4.48,11.21,12.910,13.179,12.64,6.084,4.504,7.663,0.243,8.85,1.214,1.73,0.697,1.422
2026-05-06 09:42:13,house_sparrow_observed.csv,0.9778174929283035131449760495,1.035,1.328,0.858,0.525,0.44,0.433,6.46,1.34,15.210,19.404,11.015,7.262,10.487,4.037,0.075,10.03,7.135,12.564,1.706,0.901
2026-05-06 09:42:14,house_sparrow_observed.csv,0.7807395008616681325629815516,0.752,3.429,2.332,0.637,0.726,0.435,4.34,11.5,1.288,1.687,0.89,2.667,1.51,3.824,0.196,8.64,4.702,8.202,1.202,1.012
2026-05-06 09:42:14,house_sparrow_observed.csv,1.883083680616806929498119690,0.934,2.551,3.655,0.51,0.301,0.427,6.47,11.99,8.294,16.111,0.477,8.270,3.635,12.905,0.052,9.91,2.930,0.518,5.342,1.752
2026-05-06 09:42:14,house_sparrow_observed.csv,0.5816236272629608074417864257,0.976,1.952,0.772,0.666,0.421,0.267,4.6,10.7,7.449,8.172,6.726,10.631,13.448,7.814,0.099,10.87,9.992,9.744,10.241,1.435
2026-05-06 09:42:14,house_sparrow_observed.csv,2.075635236634818578352120368,0.559,2.52,0.904,0.122,0.078,0.324,5.85,10.57,9.208,5.61,12.805,11.833,13.14,10.526,0.007,9.07,6.350,6.436,6.263,0.836
