method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.638,0.1,0,0.01
RungeKutta4,1,0.1,0.634177,0.1,0,0.01
RungeKutta4,2,0.2,0.631409,0.1,0,0.01
RungeKutta4,3,0.3,0.629705,0.1,0,0.01
RungeKutta4,4,0.4,0.629079,0.1,0,0.01
RungeKutta4,5,0.5,0.629411,0.1,0,0.01
RungeKutta4,6,0.6,0.630562,0.1,0,0.01
RungeKutta4,7,0.7,0.632563,0.1,0,0.01
RungeKutta4,8,0.8,0.635446,0.1,0,0.01
RungeKutta4,9,0.9,0.639237,0.1,0,0.01
RungeKutta4,10,1.0,0.643953,0.1,0,0.01
RungeKutta4,11,1.1,0.649603,0.1,0,0.01
RungeKutta4,12,1.2,0.656189,0.1,0,0.01
RungeKutta4,13,1.3,0.663703,0.1,0,0.01
RungeKutta4,14,1.4,0.672127,0.1,0,0.01
RungeKutta4,15,1.5,0.681433,0.1,0,0.01
RungeKutta4,16,1.6,0.691585,0.1,0,0.01
RungeKutta4,17,1.7,0.702537,0.1,0,0.01
RungeKutta4,18,1.8,0.714233,0.1,0,0.01
RungeKutta4,19,1.9,0.726611,0.1,0,0.01
RungeKutta4,20,2.0,0.739600,0.1,0,0.01
RungeKutta4,21,2.1,0.753121,0.1,0,0.01
RungeKutta4,22,2.2,0.767091,0.1,0,0.01
RungeKutta4,23,2.3,0.781420,0.1,0,0.01
RungeKutta4,24,2.4,0.796014,0.1,0,0.01
RungeKutta4,25,2.5,0.810775,0.1,0,0.01
RungeKutta4,26,2.6,0.825603,0.1,0,0.01
RungeKutta4,27,2.7,0.840397,0.1,0,0.01
RungeKutta4,28,2.8,0.855054,0.1,0,0.01
RungeKutta4,29,2.9,0.869471,0.1,0,0.01
RungeKutta4,30,3.0,0.883548,0.1,0,0.01
RungeKutta4,31,3.1,0.897185,0.1,0,0.01
RungeKutta4,32,3.2,0.910284,0.1,0,0.01
RungeKutta4,33,3.3,0.922754,0.1,0,0.01
RungeKutta4,34,3.4,0.934505,0.1,0,0.01
RungeKutta4,35,3.5,0.945452,0.1,0,0.01
RungeKutta4,36,3.6,0.955518,0.1,0,0.01
