TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE,YEAR_END_WEIGHT,YEAR_END_PEAK,YEAR_END_WIDTH,YEAR_END_RISE_WIDTH,YEAR_END_FALL_WIDTH
2026-05-06 21:55:19,jay_observed.csv,0.7055334794067800921803405371,1.184,3.198,1.153,0.073,0.26,0.038,9.81,9.13,10.39,4.411,12.570,8.197,16.943,5.540,5.457,5.624,0.058,8.4,8.128,10.29,5.967,1.39,0.053,12.155,92.527,172.603,12.451
2026-05-06 21:55:20,jay_observed.csv,7.857456122057588889210532733,1.01,1.871,2.682,0.052,0.6,0.017,9.37,9.21,10.42,11.978,10.229,10.045,10.413,7.462,12.469,2.456,0.101,7.51,7.422,6.055,8.789,1.786,0.111,12.182,121.518,234.193,8.844
2026-05-06 21:55:20,jay_observed.csv,2.702365147656092298016597399,0.969,0.329,4.365,0.066,0.412,0.044,9.37,8.68,9.7,9.667,17.564,19.201,15.928,9.438,8.824,10.052,0.169,8.47,2.714,1.155,4.272,0.849,0.098,12.212,118.278,230.038,6.518
2026-05-06 21:55:20,jay_observed.csv,0.7813696998934601313864667705,0.741,3.084,3.1,0.007,0.413,0.004,11.47,10.67,9.44,8.909,3.331,3.528,3.134,6.697,8.795,4.599,0.174,7.2,8.018,6.676,9.361,1.611,0.128,12.024,60.239,114.503,5.975
2026-05-06 21:55:20,jay_observed.csv,1.447929417844765178407276040,0.752,0.796,3.442,0.019,0.636,0.05,11.16,9.48,9.44,8.716,8.926,2.18,15.673,8.802,5.286,12.317,0.146,8.91,5.208,0.854,9.562,0.903,0.342,12.052,115.924,222.315,9.532
2026-05-06 21:55:21,jay_observed.csv,0.8487906729549459761975011595,1.191,0.686,1.081,0.04,0.17,0.038,11.5,9.16,9.72,10.264,11.952,9.697,14.207,9.358,7.267,11.45,0.165,8.06,2.562,2.508,2.615,1.467,0.148,12.186,115.400,222.419,8.382
2026-05-06 21:55:21,jay_observed.csv,1.216086148757034606884155494,0.843,1.579,2.408,0.037,0.03,0.015,11.49,10.48,9.57,3.547,6.632,3.505,9.76,13.623,13.635,13.611,0.119,6.73,8.756,7.933,9.580,1.503,0.008,12.273,60.167,113.316,7.018
2026-05-06 21:55:21,jay_observed.csv,1.036105334986490684184840000,0.952,2.783,0.579,0.059,0.366,0.036,9.68,8.76,9.63,3.148,12.274,14.707,9.842,11.412,11.105,11.718,0.107,7.98,3.864,1.332,6.396,1.736,0.309,12.164,94.456,174.483,14.428
2026-05-06 21:55:22,jay_observed.csv,1.512685542120755533462187107,0.947,3.694,3.733,0.009,0.276,0.016,10.45,10.37,9.95,4.075,10.753,8.602,12.904,1.962,2.094,1.83,0.197,9.23,3.692,3.808,3.576,1.776,0.075,12.038,54.304,94.045,14.564
2026-05-06 21:55:22,jay_observed.csv,2.627608320009688615247385417,0.729,1.787,4.8,0.036,0.656,0.012,11.49,8.62,9.37,10.509,8.602,12.702,4.502,6.638,6.742,6.533,0.025,7.08,13.047,13.306,12.788,1.275,0.323,12.126,73.876,133.711,14.04
