method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.832,0.1,0,0.01
RungeKutta4,1,0.1,0.717316,0.1,0,0.01
RungeKutta4,2,0.2,0.619455,0.1,0,0.01
RungeKutta4,3,0.3,0.535968,0.1,0,0.01
RungeKutta4,4,0.4,0.464757,0.1,0,0.01
RungeKutta4,5,0.5,0.404027,0.1,0,0.01
RungeKutta4,6,0.6,0.352242,0.1,0,0.01
RungeKutta4,7,0.7,0.308089,0.1,0,0.01
RungeKutta4,8,0.8,0.270446,0.1,0,0.01
RungeKutta4,9,0.9,0.238356,0.1,0,0.01
RungeKutta4,10,1.0,0.211000,0.1,0,0.01
RungeKutta4,11,1.1,0.187680,0.1,0,0.01
RungeKutta4,12,1.2,0.167802,0.1,0,0.01
RungeKutta4,13,1.3,0.150858,0.1,0,0.01
RungeKutta4,14,1.4,0.136414,0.1,0,0.01
RungeKutta4,15,1.5,0.124102,0.1,0,0.01
RungeKutta4,16,1.6,0.113607,0.1,0,0.01
RungeKutta4,17,1.7,0.104661,0.1,0,0.01
RungeKutta4,18,1.8,0.0970358,0.1,0,0.01
RungeKutta4,19,1.9,0.0905362,0.1,0,0.01
RungeKutta4,20,2.0,0.0849959,0.1,0,0.01
RungeKutta4,21,2.1,0.0802733,0.1,0,0.01
RungeKutta4,22,2.2,0.0762478,0.1,0,0.01
RungeKutta4,23,2.3,0.0728164,0.1,0,0.01
RungeKutta4,24,2.4,0.0698915,0.1,0,0.01
RungeKutta4,25,2.5,0.0673983,0.1,0,0.01
RungeKutta4,26,2.6,0.0652731,0.1,0,0.01
RungeKutta4,27,2.7,0.0634616,0.1,0,0.01
RungeKutta4,28,2.8,0.0619175,0.1,0,0.01
RungeKutta4,29,2.9,0.0606012,0.1,0,0.01
RungeKutta4,30,3.0,0.0594792,0.1,0,0.01
RungeKutta4,31,3.1,0.0585227,0.1,0,0.01
RungeKutta4,32,3.2,0.0577072,0.1,0,0.01
RungeKutta4,33,3.3,0.0570118,0.1,0,0.01
RungeKutta4,34,3.4,0.0564185,0.1,0,0.01
RungeKutta4,35,3.5,0.0559118,0.1,0,0.01
RungeKutta4,36,3.6,0.0554782,0.1,0,0.01
RungeKutta4,37,3.7,0.0551057,0.1,0,0.01
RungeKutta4,38,3.8,0.0547836,0.1,0,0.01
RungeKutta4,39,3.9,0.0545018,0.1,0,0.01
RungeKutta4,40,4.0,0.0542505,0.1,0,0.01
RungeKutta4,41,4.1,0.0540196,0.1,0,0.01
RungeKutta4,42,4.2,0.0537984,0.1,0,0.01
RungeKutta4,43,4.3,0.0535749,0.1,0,0.01
RungeKutta4,44,4.4,0.0533354,0.1,0,0.01
RungeKutta4,45,4.5,0.0530639,0.1,0,0.01
RungeKutta4,46,4.6,0.0527416,0.1,0,0.01
RungeKutta4,47,4.7,0.0523466,0.1,0,0.01
RungeKutta4,48,4.8,0.0518534,0.1,0,0.01
RungeKutta4,49,4.9,0.0512329,0.1,0,0.01
RungeKutta4,50,5.0,0.0504523,0.1,0,0.01
RungeKutta4,51,5.1,0.0494758,0.1,0,0.01
RungeKutta4,52,5.2,0.0482647,0.1,0,0.01
RungeKutta4,53,5.3,0.0467788,0.1,0,0.01
RungeKutta4,54,5.4,0.0449776,0.1,0,0.01
RungeKutta4,55,5.5,0.0428223,0.1,0,0.01
RungeKutta4,56,5.6,0.0402776,0.1,0,0.01
RungeKutta4,57,5.7,0.0373148,0.1,0,0.01
RungeKutta4,58,5.8,0.0339141,0.1,0,0.01
RungeKutta4,59,5.9,0.0300686,0.1,0,0.01
RungeKutta4,60,6.0,0.0258493,0.1,0,0.01
RungeKutta4,61,6.1,0.0220340,0.1,0,0.01
RungeKutta4,62,6.2,0.0187818,0.1,0,0.01
RungeKutta4,63,6.3,0.0160096,0.1,0,0.01
RungeKutta4,64,6.4,0.0136466,0.1,0,0.01
RungeKutta4,65,6.5,0.0116324,0.1,0,0.01
RungeKutta4,66,6.6,0.00991547,0.1,0,0.01
RungeKutta4,67,6.7,0.00845195,0.1,0,0.01
RungeKutta4,68,6.8,0.00720444,0.1,0,0.01
RungeKutta4,69,6.9,0.00614107,0.1,0,0.01
RungeKutta4,70,7.0,0.00523465,0.1,0,0.01
RungeKutta4,71,7.1,0.00446202,0.1,0,0.01
RungeKutta4,72,7.2,0.00384050,0.1,0,0.01
RungeKutta4,73,7.3,0.00583377,0.1,0,0.01
RungeKutta4,74,7.4,0.0130282,0.1,0,0.01
RungeKutta4,75,7.5,0.0255877,0.1,0,0.01
RungeKutta4,76,7.6,0.0435184,0.1,0,0.01
RungeKutta4,77,7.7,0.0666772,0.1,0,0.01
RungeKutta4,78,7.8,0.0947837,0.1,0,0.01
RungeKutta4,79,7.9,0.127446,0.1,0,0.01
RungeKutta4,80,8.0,0.164185,0.1,0,0.01
