method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,1.01,0.1,0,0.01,0.792684
RungeKutta4,1,0.1,1.02354,0.1,0,0.01,0.812969
RungeKutta4,2,0.2,1.03861,0.1,0,0.01,0.835546
RungeKutta4,3,0.3,1.05463,0.1,0,0.01,0.859547
RungeKutta4,4,0.4,1.07098,0.1,0,0.01,0.884042
RungeKutta4,5,0.5,1.08704,0.1,0,0.01,0.908102
RungeKutta4,6,0.6,1.10221,0.1,0,0.01,0.930830
RungeKutta4,7,0.7,1.11592,0.1,0,0.01,0.951369
RungeKutta4,8,0.8,1.12765,0.1,0,0.01,0.968943
RungeKutta4,9,0.9,1.13697,0.1,0,0.01,0.982906
RungeKutta4,10,1.0,1.14361,0.1,0,0.01,0.992854
RungeKutta4,11,1.1,1.14743,0.1,0,0.01,0.998577
RungeKutta4,12,1.2,1.14838,0.1,0,0.01,1
RungeKutta4,13,1.3,1.14674,0.1,0,0.01,0.997543
RungeKutta4,14,1.4,1.14269,0.1,0,0.01,0.991475
RungeKutta4,15,1.5,1.13631,0.1,0,0.01,0.981917
RungeKutta4,16,1.6,1.12776,0.1,0,0.01,0.969108
RungeKutta4,17,1.7,1.11726,0.1,0,0.01,0.953377
RungeKutta4,18,1.8,1.10509,0.1,0,0.01,0.935144
RungeKutta4,19,1.9,1.09156,0.1,0,0.01,0.914874
RungeKutta4,20,2.0,1.07701,0.1,0,0.01,0.893076
RungeKutta4,21,2.1,1.06178,0.1,0,0.01,0.870259
RungeKutta4,22,2.2,1.04620,0.1,0,0.01,0.846917
RungeKutta4,23,2.3,1.03059,0.1,0,0.01,0.823531
RungeKutta4,24,2.4,1.01523,0.1,0,0.01,0.800519
RungeKutta4,25,2.5,1.00037,0.1,0,0.01,0.778256
RungeKutta4,26,2.6,0.986217,0.1,0,0.01,0.757053
RungeKutta4,27,2.7,0.972930,0.1,0,0.01,0.737146
RungeKutta4,28,2.8,0.960622,0.1,0,0.01,0.718707
RungeKutta4,29,2.9,0.949366,0.1,0,0.01,0.701844
RungeKutta4,30,3.0,0.939194,0.1,0,0.01,0.686604
RungeKutta4,31,3.1,0.930104,0.1,0,0.01,0.672986
RungeKutta4,32,3.2,0.922066,0.1,0,0.01,0.660944
RungeKutta4,33,3.3,0.915029,0.1,0,0.01,0.650401
RungeKutta4,34,3.4,0.908925,0.1,0,0.01,0.641256
RungeKutta4,35,3.5,0.903675,0.1,0,0.01,0.633391
RungeKutta4,36,3.6,0.899195,0.1,0,0.01,0.626679
RungeKutta4,37,3.7,0.895400,0.1,0,0.01,0.620994
RungeKutta4,38,3.8,0.892205,0.1,0,0.01,0.616207
RungeKutta4,39,3.9,0.889531,0.1,0,0.01,0.612201
RungeKutta4,40,4.0,0.887304,0.1,0,0.01,0.608864
RungeKutta4,41,4.1,0.885457,0.1,0,0.01,0.606097
RungeKutta4,42,4.2,0.883931,0.1,0,0.01,0.603811
RungeKutta4,43,4.3,0.882674,0.1,0,0.01,0.601928
RungeKutta4,44,4.4,0.881641,0.1,0,0.01,0.600380
RungeKutta4,45,4.5,0.880794,0.1,0,0.01,0.599111
RungeKutta4,46,4.6,0.880100,0.1,0,0.01,0.598072
RungeKutta4,47,4.7,0.879532,0.1,0,0.01,0.597221
RungeKutta4,48,4.8,0.879068,0.1,0,0.01,0.596525
RungeKutta4,49,4.9,0.878689,0.1,0,0.01,0.595958
RungeKutta4,50,5.0,0.878379,0.1,0,0.01,0.595493
RungeKutta4,51,5.1,0.878126,0.1,0,0.01,0.595114
RungeKutta4,52,5.2,0.877919,0.1,0,0.01,0.594804
RungeKutta4,53,5.3,0.877750,0.1,0,0.01,0.594551
RungeKutta4,54,5.4,0.877612,0.1,0,0.01,0.594344
RungeKutta4,55,5.5,0.877497,0.1,0,0.01,0.594172
RungeKutta4,56,5.6,0.877396,0.1,0,0.01,0.594021
RungeKutta4,57,5.7,0.877291,0.1,0,0.01,0.593863
RungeKutta4,58,5.8,0.877105,0.1,0,0.01,0.593585
RungeKutta4,59,5.9,0.876396,0.1,0,0.01,0.592522
RungeKutta4,60,6.0,0.872373,0.1,0,0.01,0.586495
RungeKutta4,61,6.1,0.853722,0.1,0,0.01,0.558553
RungeKutta4,62,6.2,0.812707,0.1,0,0.01,0.497106
RungeKutta4,63,6.3,0.766043,0.1,0,0.01,0.427195
RungeKutta4,64,6.4,0.724107,0.1,0,0.01,0.364368
RungeKutta4,65,6.5,0.687780,0.1,0,0.01,0.309944
RungeKutta4,66,6.6,0.655374,0.1,0,0.01,0.261394
RungeKutta4,67,6.7,0.624942,0.1,0,0.01,0.215802
RungeKutta4,68,6.8,0.595133,0.1,0,0.01,0.171143
RungeKutta4,69,6.9,0.565729,0.1,0,0.01,0.127091
RungeKutta4,70,7.0,0.537835,0.1,0,0.01,0.0853012
RungeKutta4,71,7.1,0.513606,0.1,0,0.01,0.0490021
RungeKutta4,72,7.2,0.495505,0.1,0,0.01,0.0218837
RungeKutta4,73,7.3,0.485182,0.1,0,0.01,0.00641815
RungeKutta4,74,7.4,0.481145,0.1,0,0.01,0.000370047
RungeKutta4,75,7.5,0.480898,0.1,0,0.01,0
RungeKutta4,76,7.6,0.482117,0.1,0,0.01,0.00182627
RungeKutta4,77,7.7,0.484661,0.1,0,0.01,0.00563761
RungeKutta4,78,7.8,0.488573,0.1,0,0.01,0.0114984
RungeKutta4,79,7.9,0.493819,0.1,0,0.01,0.0193578
RungeKutta4,80,8.0,0.500297,0.1,0,0.01,0.0290630
RungeKutta4,81,8.1,0.507851,0.1,0,0.01,0.0403801
RungeKutta4,82,8.2,0.516285,0.1,0,0.01,0.0530157
RungeKutta4,83,8.3,0.525377,0.1,0,0.01,0.0666370
RungeKutta4,84,8.4,0.534895,0.1,0,0.01,0.0808966
RungeKutta4,85,8.5,0.544610,0.1,0,0.01,0.0954513
RungeKutta4,86,8.6,0.554314,0.1,0,0.01,0.109989
RungeKutta4,87,8.7,0.563832,0.1,0,0.01,0.124249
RungeKutta4,88,8.8,0.573042,0.1,0,0.01,0.138047
RungeKutta4,89,8.9,0.581896,0.1,0,0.01,0.151312
RungeKutta4,90,9.0,0.590437,0.1,0,0.01,0.164108
RungeKutta4,91,9.1,0.598782,0.1,0,0.01,0.176610
RungeKutta4,92,9.2,0.607037,0.1,0,0.01,0.188977
RungeKutta4,93,9.3,0.615181,0.1,0,0.01,0.201178
RungeKutta4,94,9.4,0.623039,0.1,0,0.01,0.212951
RungeKutta4,95,9.5,0.630375,0.1,0,0.01,0.223942
RungeKutta4,96,9.6,0.636999,0.1,0,0.01,0.233865
RungeKutta4,97,9.7,0.642810,0.1,0,0.01,0.242571
RungeKutta4,98,9.8,0.647782,0.1,0,0.01,0.250020
RungeKutta4,99,9.9,0.651943,0.1,0,0.01,0.256254
RungeKutta4,100,10.0,0.655349,0.1,0,0.01,0.261357
RungeKutta4,101,10.1,0.658078,0.1,0,0.01,0.265445
RungeKutta4,102,10.2,0.660221,0.1,0,0.01,0.268656
RungeKutta4,103,10.3,0.661882,0.1,0,0.01,0.271144
RungeKutta4,104,10.4,0.663208,0.1,0,0.01,0.273131
RungeKutta4,105,10.5,0.664479,0.1,0,0.01,0.275035
RungeKutta4,106,10.6,0.666339,0.1,0,0.01,0.277822
RungeKutta4,107,10.7,0.670142,0.1,0,0.01,0.283519
RungeKutta4,108,10.8,0.678095,0.1,0,0.01,0.295434
RungeKutta4,109,10.9,0.692486,0.1,0,0.01,0.316994
RungeKutta4,110,11.0,0.713759,0.1,0,0.01,0.348865
