month,observed,simulated_raw,synthesised
1,158,0.9410913000000001,151.9546210938922
2,133,0.9320957,150.50213397652936
3,131,0.8165895000000001,131.85176407618567
4,114,0.7199076,116.24088606558502
5,109,0.6972528,112.58289714361973
6,113,0.6682791,107.90461820810296
7,118,0.5785315,93.41339663152881
8,102,0.51714,83.50073234392391
9,108,0.5903465999999999,95.32113825413913
10,112,0.7552924,121.95434221642091
11,134,0.8931189999999999,144.20870667570284
12,141,0.8914046000000001,143.93188868535128
