TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 10:50:05,mute_swan_observed.csv,0.9114391955890587761706536375,0.862,1.568,0.593,0.335,0.381,0.132,11.98,9.67,9.8,4.398,9.757,12.386,7.128,8.355,9.582,7.128,0.182,3.74,7.654,5.261,10.048,1.431
2026-05-06 10:50:05,mute_swan_observed.csv,1.234171666611082425698733993,1.301,2.638,0.736,0.2,0.729,0.044,11.63,10.18,8.93,7.554,12.808,13.986,11.629,11.020,11.785,10.254,0.013,5.02,10.828,11.736,9.92,1.633
2026-05-06 10:50:06,mute_swan_observed.csv,1.132829434303694575546704963,0.998,3.115,0.675,0.078,0.649,0.275,1.93,10.38,9.12,7.942,12.795,8.491,17.099,5.458,8.828,2.087,0.205,4.59,4.610,0.931,8.29,1.622
2026-05-06 10:50:06,mute_swan_observed.csv,1.201360767454061119565615917,1.26,1.53,3.211,0.521,0.672,0.151,1.57,10.39,8.48,1.301,8.495,11.95,5.04,9.980,11.986,7.975,0.048,5.21,8.475,5.11,11.84,1.074
2026-05-06 10:50:06,mute_swan_observed.csv,1.002947396407945556979784546,0.884,2.491,1.198,0.386,0.696,0.33,11.63,9.91,9.0,5.572,10.252,14.265,6.239,3.364,3.424,3.304,0.131,5.25,6.329,4.588,8.07,1.683
2026-05-06 10:50:06,mute_swan_observed.csv,0.8539741001944332326554846829,1.157,3.283,0.896,0.176,0.288,0.385,1.32,10.12,9.08,0.519,6.242,2.15,10.334,2.276,2.317,2.236,0.048,5.93,5.510,5.983,5.036,1.321
2026-05-06 10:50:07,mute_swan_observed.csv,1.360140922474159096209692067,1.269,2.335,2.246,0.236,0.165,0.068,1.82,10.0,6.89,3.391,11.804,11.709,11.898,8.766,3.868,13.663,0.197,4.14,6.742,7.519,5.964,1.374
2026-05-06 10:50:07,mute_swan_observed.csv,1.724889594947030943235171857,0.952,3.009,5.555,0.295,0.573,0.433,1.16,10.89,10.47,3.193,17.423,15.1,19.746,4.604,4.753,4.454,0.181,5.78,7.766,6.683,8.849,1.769
2026-05-06 10:50:07,mute_swan_observed.csv,1.337104311998868556260879891,0.896,0.585,1.45,0.113,0.553,0.176,11.5,10.92,9.16,1.691,11.187,19.275,3.099,9.020,4.883,13.158,0.117,5.96,9.916,13.921,5.911,1.29
2026-05-06 10:50:08,mute_swan_observed.csv,2.708429063926101786206296262,0.967,0.279,1.789,0.366,0.287,0.285,11.67,10.62,8.95,0.504,10.468,6.157,14.779,10.438,10.77,10.107,0.053,4.46,6.882,9.406,4.359,0.878
2026-05-06 10:50:08,mute_swan_observed.csv,1.659970366737402182316812830,1.138,0.386,1.892,0.451,0.188,0.003,1.07,10.02,9.71,1.673,6.192,11.672,0.711,7.163,4.291,10.035,0.217,5.46,4.682,6.559,2.804,1.079
2026-05-06 10:50:08,mute_swan_observed.csv,1.823269816225038866021814948,1.024,0.451,5.144,0.343,0.169,0.205,2.03,9.78,9.34,6.495,7.934,13.897,1.97,10.408,8.721,12.094,0.189,6.32,4.993,3.711,6.275,1.206
2026-05-06 10:50:09,mute_swan_observed.csv,2.915996114375383820873313855,1.172,2.683,3.686,0.057,0.223,0.271,2.08,10.61,9.9,7.631,10.920,8.408,13.433,7.822,4.994,10.65,0.241,4.99,10.738,9.717,11.760,1.088
2026-05-06 10:50:09,mute_swan_observed.csv,2.715363625734277317156783549,0.93,0.659,4.444,0.266,0.187,0.217,1.74,9.81,8.38,4.588,12.848,10.13,15.566,5.764,6.169,5.358,0.077,3.56,8.462,9.24,7.684,0.971
2026-05-06 10:50:09,mute_swan_observed.csv,1.060842529860033634639933184,1.259,2.636,3.013,0.123,0.717,0.173,1.5,10.5,8.64,5.233,10.545,9.064,12.026,6.720,2.884,10.556,0.112,5.79,6.536,5.543,7.529,1.685
2026-05-06 10:50:09,mute_swan_observed.csv,1.513700456951289875881721578,1.284,2.204,3.437,0.129,0.532,0.278,2.19,10.59,10.92,7.301,14.874,14.11,15.639,10.204,13.617,6.791,0.114,4.46,9.236,10.345,8.126,1.45
2026-05-06 10:50:10,mute_swan_observed.csv,4.570140259189913778844041257,1.255,2.926,4.352,0.588,0.059,0.019,11.91,11.87,8.8,5.597,12.778,14.972,10.584,5.508,8.198,2.818,0.018,5.18,2.058,1.755,2.361,0.854
2026-05-06 10:50:10,mute_swan_observed.csv,0.7792179002647415362510415445,1.112,1.621,3.574,0.582,0.651,0.144,1.73,10.5,8.2,0.764,18.369,19.402,17.336,6.105,4.504,7.706,0.169,5.42,5.170,1.085,9.254,1.373
2026-05-06 10:50:10,mute_swan_observed.csv,1.425388735756253481267008786,1.182,2.019,0.833,0.087,0.692,0.404,11.77,10.63,10.7,7.702,15.091,16.385,13.797,6.562,5.333,7.792,0.128,4.04,6.836,9.768,3.905,1.126
2026-05-06 10:50:11,mute_swan_observed.csv,1.324080972274611305227586040,1.105,1.594,5.743,0.415,0.186,0.411,2.48,10.14,9.01,4.674,14.938,11.59,18.285,5.218,6.48,3.957,0.165,4.51,9.434,8.841,10.027,1.46
2026-05-06 10:50:11,mute_swan_observed.csv,1.019195373196238624022804201,1.13,1.542,1.14,0.417,0.586,0.324,11.97,10.88,8.3,0.771,16.296,19.087,13.505,7.308,9.566,5.051,0.165,3.9,6.888,12.987,0.79,1.312
2026-05-06 10:50:11,mute_swan_observed.csv,1.406245691353470633578958207,1.344,1.737,2.668,0.122,0.287,0.442,1.73,10.26,7.13,6.928,11.037,14.205,7.869,7.519,8.25,6.788,0.141,6.15,12.318,10.635,14.000,1.349
2026-05-06 10:50:12,mute_swan_observed.csv,0.7615431365357921883586317976,0.766,1.824,0.796,0.554,0.041,0.402,2.04,10.59,10.29,0.951,10.263,4.195,16.331,1.619,1.598,1.640,0.214,3.51,3.804,5.139,2.468,1.101
2026-05-06 10:50:12,mute_swan_observed.csv,1.355801854216223778325739628,1.046,3.351,2.101,0.491,0.385,0.35,11.75,9.68,9.44,2.842,14.442,12.541,16.342,3.870,1.497,6.243,0.028,4.39,12.343,10.911,13.775,1.604
2026-05-06 10:50:12,mute_swan_observed.csv,1.316564560612392348724248342,0.969,1.665,3.56,0.196,0.494,0.254,1.29,11.49,10.68,3.922,8.614,9.654,7.574,10.286,11.258,9.313,0.042,4.55,2.860,3.159,2.561,1.618
2026-05-06 10:50:12,mute_swan_observed.csv,1.559115725055851908515675275,1.162,2.022,2.356,0.604,0.683,0.058,2.42,10.55,9.33,3.03,9.704,1.396,18.012,5.328,9.497,1.16,0.047,6.31,3.285,2.214,4.356,1.571
2026-05-06 10:50:13,mute_swan_observed.csv,2.564995805790797976806466742,0.879,2.866,3.759,0.464,0.193,0.276,1.94,10.38,10.47,0.894,13.550,15.301,11.798,0.376,0.401,0.350,0.011,6.11,7.996,4.292,11.699,0.816
