method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.871,0.1,0,0.01
RungeKutta4,1,0.1,0.874720,0.1,0,0.01
RungeKutta4,2,0.2,0.879277,0.1,0,0.01
RungeKutta4,3,0.3,0.884456,0.1,0,0.01
RungeKutta4,4,0.4,0.890046,0.1,0,0.01
RungeKutta4,5,0.5,0.895836,0.1,0,0.01
RungeKutta4,6,0.6,0.901619,0.1,0,0.01
RungeKutta4,7,0.7,0.907192,0.1,0,0.01
RungeKutta4,8,0.8,0.912358,0.1,0,0.01
RungeKutta4,9,0.9,0.916927,0.1,0,0.01
RungeKutta4,10,1.0,0.920719,0.1,0,0.01
RungeKutta4,11,1.1,0.923563,0.1,0,0.01
RungeKutta4,12,1.2,0.925301,0.1,0,0.01
RungeKutta4,13,1.3,0.925779,0.1,0,0.01
RungeKutta4,14,1.4,0.924580,0.1,0,0.01
RungeKutta4,15,1.5,0.921418,0.1,0,0.01
RungeKutta4,16,1.6,0.916233,0.1,0,0.01
RungeKutta4,17,1.7,0.908986,0.1,0,0.01
RungeKutta4,18,1.8,0.899662,0.1,0,0.01
RungeKutta4,19,1.9,0.888270,0.1,0,0.01
RungeKutta4,20,2.0,0.874842,0.1,0,0.01
RungeKutta4,21,2.1,0.859436,0.1,0,0.01
RungeKutta4,22,2.2,0.842132,0.1,0,0.01
RungeKutta4,23,2.3,0.823034,0.1,0,0.01
RungeKutta4,24,2.4,0.802266,0.1,0,0.01
RungeKutta4,25,2.5,0.779972,0.1,0,0.01
RungeKutta4,26,2.6,0.756315,0.1,0,0.01
RungeKutta4,27,2.7,0.731471,0.1,0,0.01
RungeKutta4,28,2.8,0.705632,0.1,0,0.01
RungeKutta4,29,2.9,0.678998,0.1,0,0.01
RungeKutta4,30,3.0,0.651779,0.1,0,0.01
RungeKutta4,31,3.1,0.624189,0.1,0,0.01
RungeKutta4,32,3.2,0.596444,0.1,0,0.01
RungeKutta4,33,3.3,0.568756,0.1,0,0.01
RungeKutta4,34,3.4,0.541338,0.1,0,0.01
RungeKutta4,35,3.5,0.514394,0.1,0,0.01
RungeKutta4,36,3.6,0.488118,0.1,0,0.01
RungeKutta4,37,3.7,0.462694,0.1,0,0.01
RungeKutta4,38,3.8,0.438293,0.1,0,0.01
RungeKutta4,39,3.9,0.415068,0.1,0,0.01
RungeKutta4,40,4.0,0.393156,0.1,0,0.01
RungeKutta4,41,4.1,0.372676,0.1,0,0.01
RungeKutta4,42,4.2,0.353727,0.1,0,0.01
RungeKutta4,43,4.3,0.336388,0.1,0,0.01
RungeKutta4,44,4.4,0.320716,0.1,0,0.01
RungeKutta4,45,4.5,0.306751,0.1,0,0.01
RungeKutta4,46,4.6,0.294510,0.1,0,0.01
RungeKutta4,47,4.7,0.283992,0.1,0,0.01
RungeKutta4,48,4.8,0.275178,0.1,0,0.01
RungeKutta4,49,4.9,0.268033,0.1,0,0.01
RungeKutta4,50,5.0,0.262504,0.1,0,0.01
RungeKutta4,51,5.1,0.258526,0.1,0,0.01
RungeKutta4,52,5.2,0.256023,0.1,0,0.01
RungeKutta4,53,5.3,0.254907,0.1,0,0.01
RungeKutta4,54,5.4,0.255016,0.1,0,0.01
RungeKutta4,55,5.5,0.256035,0.1,0,0.01
RungeKutta4,56,5.6,0.257896,0.1,0,0.01
RungeKutta4,57,5.7,0.260543,0.1,0,0.01
RungeKutta4,58,5.8,0.263916,0.1,0,0.01
RungeKutta4,59,5.9,0.267952,0.1,0,0.01
RungeKutta4,60,6.0,0.272587,0.1,0,0.01
RungeKutta4,61,6.1,0.277755,0.1,0,0.01
RungeKutta4,62,6.2,0.283393,0.1,0,0.01
RungeKutta4,63,6.3,0.289440,0.1,0,0.01
RungeKutta4,64,6.4,0.295838,0.1,0,0.01
