TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,AUTUMN_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SCALE
2026-05-05 18:00:35,robin_observed.csv,0.5759833642691666057077385935,1.321,0.659,0.825,0.43,0.823,0.236,11.68,1.39,2.522,3.104,0.12,5.9,3.842,1.614
2026-05-05 18:00:35,robin_observed.csv,0.7669239872422854410735973525,1.071,0.416,2.4,0.128,0.145,0.267,11.51,10.88,4.277,5.814,0.142,6.68,3.838,1.468
2026-05-05 18:00:35,robin_observed.csv,0.5004744957160723626507974173,1.616,1.491,1.259,0.533,0.306,0.127,11.78,11.42,4.215,1.421,0.201,7.95,1.169,1.767
2026-05-05 18:00:36,robin_observed.csv,0.4339720802136803229013822081,1.559,0.565,0.422,0.5,0.656,0.084,11.52,11.89,1.941,3.984,0.338,7.77,4.473,0.911
2026-05-05 18:00:36,robin_observed.csv,0.3168261939417142610430373615,0.67,0.736,1.851,0.26,0.83,0.272,1.86,11.75,3.742,1.94,0.236,6.99,4.165,1.297
2026-05-05 18:00:36,robin_observed.csv,0.4270465746671001012414478044,0.866,0.334,0.468,0.165,0.185,0.335,1.45,11.74,1.203,3.948,0.008,7.62,2.15,1.684
2026-05-05 18:00:37,robin_observed.csv,0.7550336906753862824213714783,1.872,0.489,1.07,0.433,0.158,0.32,2.47,10.61,1.542,3.763,0.346,5.86,2.357,0.999
2026-05-05 18:00:37,robin_observed.csv,0.3526137868227419549411029778,0.96,0.664,2.401,0.423,0.652,0.069,2.11,10.91,1.653,5.719,0.194,7.65,4.268,0.916
2026-05-05 18:00:37,robin_observed.csv,0.5152807106645141565120219936,1.843,1.156,0.575,0.403,1.124,0.315,11.98,11.01,3.372,1.876,0.154,8.32,2.554,0.948
2026-05-05 18:00:38,robin_observed.csv,0.4593555999162278628338773224,1.665,0.289,0.438,0.515,0.588,0.276,2.06,11.08,1.538,1.626,0.043,8.02,3.165,1.636
2026-05-05 18:00:38,robin_observed.csv,0.5215268624675145767355463631,1.7,0.997,0.36,0.431,0.728,0.087,11.89,11.32,4.163,5.044,0.349,8.27,3.878,0.833
2026-05-05 18:00:38,robin_observed.csv,0.6035646469598094771226210061,1.11,0.209,0.957,0.458,0.563,0.292,1.15,1.3,2.787,5.817,0.081,5.72,3.537,1.203
2026-05-05 18:00:38,robin_observed.csv,0.8827466418286508244465963275,1.574,0.657,0.42,0.484,0.338,0.036,11.88,1.35,4.273,3.023,0.043,5.62,4.297,0.843
2026-05-05 18:00:39,robin_observed.csv,0.3000693722864240460595368683,1.174,1.491,1.248,0.127,0.56,0.331,2.39,11.39,1.329,2.623,0.149,6.72,3.867,1.095
2026-05-05 18:00:39,robin_observed.csv,0.3904542044052188073280386551,0.636,1.301,1.596,0.373,0.822,0.009,2.24,10.78,3.699,5.862,0.27,6.6,1.165,1.322
2026-05-05 18:00:39,robin_observed.csv,0.5585691090044585490988109128,0.692,0.915,0.57,0.46,0.653,0.039,2.24,1.46,3.212,3.735,0.045,7.3,1.056,1.112
2026-05-05 18:00:40,robin_observed.csv,0.6814184642917343782722464085,1.008,0.554,2.467,0.157,0.562,0.282,11.89,1.18,2.534,5.182,0.047,7.64,2.02,1.662
2026-05-05 18:00:40,robin_observed.csv,0.4530117929687958048980395610,1.861,1.421,2.089,0.131,1.117,0.225,2.49,11.01,3.884,4.093,0.244,6.83,4.502,1.329
2026-05-05 18:00:40,robin_observed.csv,0.4230605545557059176137719183,0.457,0.243,2.434,0.538,0.882,0.328,12.0,1.17,1.019,2.755,0.243,7.24,3.679,1.428
2026-05-05 18:00:41,robin_observed.csv,0.5350624688054901354412957655,1.03,0.941,2.375,0.506,1.111,0.205,1.04,1.34,1.822,3.31,0.122,7.78,2.802,0.905
2026-05-05 18:00:41,robin_observed.csv,0.6312824432592197966571886875,0.485,0.362,0.954,0.09,0.159,0.1,1.55,1.37,2.439,3.724,0.035,7.84,3.093,1.098
2026-05-05 18:00:41,robin_observed.csv,0.5147726519352031781876913211,1.4,0.35,1.352,0.573,1.043,0.347,11.79,11.88,2.077,5.29,0.261,8.31,2.355,0.876
2026-05-05 18:00:41,robin_observed.csv,0.6159270179678114751162932963,1.409,1.276,0.698,0.466,1.087,0.173,1.76,10.6,4.488,4.442,0.087,5.95,2.497,1.763
2026-05-05 18:00:42,robin_observed.csv,0.5760052733699876578754833118,1.314,0.402,1.119,0.552,0.767,0.249,1.35,11.85,2.474,3.127,0.021,5.91,1.503,1.526
2026-05-05 18:00:42,robin_observed.csv,0.4359918816034831114604507233,0.928,0.259,1.751,0.413,0.512,0.189,1.84,10.65,2.556,2.051,0.062,6.17,3.137,1.334
2026-05-05 18:00:42,robin_observed.csv,0.9596316995790559151129312650,1.76,0.604,1.03,0.139,0.37,0.056,2.13,1.36,1.04,2.569,0.267,7.19,1.078,0.909
2026-05-05 18:00:43,robin_observed.csv,0.4564794226013230966042629235,0.708,0.874,2.017,0.163,0.739,0.344,1.95,1.34,2.321,2.717,0.112,6.14,3.754,1.117
2026-05-05 18:00:43,robin_observed.csv,0.4987295175667748269984302989,1.343,0.312,1.877,0.356,1.001,0.098,11.54,11.48,2.066,5.863,0.183,7.61,2.89,1.588
2026-05-05 18:00:43,robin_observed.csv,0.4753675176184162577339928425,1.365,0.979,2.199,0.215,0.323,0.302,2.18,11.76,2.521,2.936,0.22,5.75,1.239,1.754
2026-05-05 18:00:43,robin_observed.csv,0.8183995887707349724118063855,1.872,1.183,1.338,0.141,0.153,0.216,2.24,11.15,2.176,2.156,0.189,6.42,3.673,1.155
2026-05-05 18:00:44,robin_observed.csv,0.7758098990631505538536848348,1.583,0.597,1.593,0.526,0.172,0.019,2.18,11.61,2.397,5.01,0.292,5.53,3.313,1.075
