method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.976,0.1,0,0.01,1
RungeKutta4,1,0.1,0.901132,0.1,0,0.01,0.897799
RungeKutta4,2,0.2,0.849238,0.1,0,0.01,0.826960
RungeKutta4,3,0.3,0.815080,0.1,0,0.01,0.780331
RungeKutta4,4,0.4,0.794384,0.1,0,0.01,0.752080
RungeKutta4,5,0.5,0.783638,0.1,0,0.01,0.737411
RungeKutta4,6,0.6,0.779922,0.1,0,0.01,0.732338
RungeKutta4,7,0.7,0.780410,0.1,0,0.01,0.733004
RungeKutta4,8,0.8,0.782660,0.1,0,0.01,0.736076
RungeKutta4,9,0.9,0.785644,0.1,0,0.01,0.740149
RungeKutta4,10,1.0,0.788508,0.1,0,0.01,0.744058
RungeKutta4,11,1.1,0.790596,0.1,0,0.01,0.746909
RungeKutta4,12,1.2,0.791422,0.1,0,0.01,0.748036
RungeKutta4,13,1.3,0.790115,0.1,0,0.01,0.746252
RungeKutta4,14,1.4,0.785898,0.1,0,0.01,0.740496
RungeKutta4,15,1.5,0.778695,0.1,0,0.01,0.730663
RungeKutta4,16,1.6,0.768562,0.1,0,0.01,0.716831
RungeKutta4,17,1.7,0.755663,0.1,0,0.01,0.699222
RungeKutta4,18,1.8,0.740257,0.1,0,0.01,0.678192
RungeKutta4,19,1.9,0.722677,0.1,0,0.01,0.654194
RungeKutta4,20,2.0,0.703314,0.1,0,0.01,0.627762
RungeKutta4,21,2.1,0.682592,0.1,0,0.01,0.599475
RungeKutta4,22,2.2,0.660954,0.1,0,0.01,0.569937
RungeKutta4,23,2.3,0.638834,0.1,0,0.01,0.539742
RungeKutta4,24,2.4,0.616651,0.1,0,0.01,0.509460
RungeKutta4,25,2.5,0.594788,0.1,0,0.01,0.479615
RungeKutta4,26,2.6,0.573582,0.1,0,0.01,0.450667
RungeKutta4,27,2.7,0.553321,0.1,0,0.01,0.423010
RungeKutta4,28,2.8,0.534231,0.1,0,0.01,0.396950
RungeKutta4,29,2.9,0.516480,0.1,0,0.01,0.372719
RungeKutta4,30,3.0,0.500175,0.1,0,0.01,0.350461
RungeKutta4,31,3.1,0.485367,0.1,0,0.01,0.330247
RungeKutta4,32,3.2,0.472055,0.1,0,0.01,0.312075
RungeKutta4,33,3.3,0.460193,0.1,0,0.01,0.295882
RungeKutta4,34,3.4,0.449695,0.1,0,0.01,0.281552
RungeKutta4,35,3.5,0.440445,0.1,0,0.01,0.268925
RungeKutta4,36,3.6,0.432302,0.1,0,0.01,0.257809
RungeKutta4,37,3.7,0.425106,0.1,0,0.01,0.247986
RungeKutta4,38,3.8,0.418689,0.1,0,0.01,0.239226
RungeKutta4,39,3.9,0.412876,0.1,0,0.01,0.231291
RungeKutta4,40,4.0,0.407492,0.1,0,0.01,0.223941
RungeKutta4,41,4.1,0.402367,0.1,0,0.01,0.216945
RungeKutta4,42,4.2,0.397340,0.1,0,0.01,0.210083
RungeKutta4,43,4.3,0.392261,0.1,0,0.01,0.203150
RungeKutta4,44,4.4,0.386998,0.1,0,0.01,0.195965
RungeKutta4,45,4.5,0.381435,0.1,0,0.01,0.188371
RungeKutta4,46,4.6,0.375479,0.1,0,0.01,0.180241
RungeKutta4,47,4.7,0.369059,0.1,0,0.01,0.171477
RungeKutta4,48,4.8,0.362132,0.1,0,0.01,0.162021
RungeKutta4,49,4.9,0.354682,0.1,0,0.01,0.151851
RungeKutta4,50,5.0,0.346721,0.1,0,0.01,0.140984
RungeKutta4,51,5.1,0.338291,0.1,0,0.01,0.129476
RungeKutta4,52,5.2,0.329462,0.1,0,0.01,0.117424
RungeKutta4,53,5.3,0.320333,0.1,0,0.01,0.104962
RungeKutta4,54,5.4,0.311027,0.1,0,0.01,0.0922589
RungeKutta4,55,5.5,0.301689,0.1,0,0.01,0.0795118
RungeKutta4,56,5.6,0.292482,0.1,0,0.01,0.0669435
RungeKutta4,57,5.7,0.283580,0.1,0,0.01,0.0547916
RungeKutta4,58,5.8,0.275165,0.1,0,0.01,0.0433044
RungeKutta4,59,5.9,0.267416,0.1,0,0.01,0.0327264
RungeKutta4,60,6.0,0.260507,0.1,0,0.01,0.0232951
RungeKutta4,61,6.1,0.254596,0.1,0,0.01,0.0152261
RungeKutta4,62,6.2,0.249822,0.1,0,0.01,0.00870921
RungeKutta4,63,6.3,0.246310,0.1,0,0.01,0.00391505
RungeKutta4,64,6.4,0.244163,0.1,0,0.01,0.000984222
