month,observed,simulated_raw,synthesised
1,138,0.7903936,134.3619247825152
2,107,0.7104988999999999,120.78032990127926
3,110,0.5334358,90.68072013222375
4,103,0.40004850000000003,68.00572077805036
5,96,0.34263330000000003,58.24549905589438
6,55,0.2626675,44.65181762328453
7,31,0.19896,33.821944604218984
8,35,0.23020610000000002,39.133584447895544
9,58,0.3200363,54.404151638214756
10,59,0.43908050000000004,74.64091449433442
11,50,0.5304496999999999,90.1731019738871
12,85,0.5483378,93.21396610373597
