TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 09:47:13,shepherds_purse_observed.csv,0.6193144803937376339532716049,0.061,3.003,5.511,0.446,0.115,0.254,3.71,11.02,9.335,1.872,16.798,2.698,2.963,2.433,0.182,1.12,8.056,11.731,4.38,1.026
2026-05-06 09:47:13,shepherds_purse_observed.csv,0.9482407139707338204918518519,0.249,3.241,2.319,0.316,0.571,0.18,3.29,10.41,6.750,5.32,8.18,1.730,1.542,1.918,0.113,11.53,6.624,6.438,6.811,1.448
2026-05-06 09:47:14,shepherds_purse_observed.csv,1.225495051775213986993142940,0.456,1.974,1.43,0.166,0.721,0.002,3.01,10.78,4.830,8.607,1.053,10.712,12.09,9.334,0.111,1.4,5.488,10.562,0.415,1.473
2026-05-06 09:47:14,shepherds_purse_observed.csv,1.116646732864332840634925347,0.251,1.194,2.79,0.25,0.311,0.068,4.55,9.58,10.080,4.197,15.964,1.269,1.180,1.358,0.017,1.57,9.248,10.762,7.735,0.841
2026-05-06 09:47:14,shepherds_purse_observed.csv,1.088065975171369709735876544,0.257,3.97,1.547,0.271,0.407,0.391,3.05,11.21,12.978,15.391,10.564,5.195,5.546,4.844,0.086,1.03,2.250,3.719,0.781,1.332
2026-05-06 09:47:14,shepherds_purse_observed.csv,2.243891907519641879462343210,0.337,3.543,0.814,0.129,0.453,0.406,3.48,11.42,14.389,12.379,16.399,2.906,4.886,0.926,0.0,11.8,7.622,4.232,11.013,1.476
2026-05-06 09:47:15,shepherds_purse_observed.csv,0.3156710563541757240201851852,0.225,2.203,3.75,0.358,0.233,0.051,5.11,10.35,12.450,8.419,16.482,9.441,6.316,12.566,0.068,2.05,4.516,3.664,5.368,1.683
2026-05-06 09:47:15,shepherds_purse_observed.csv,1.068225272224472917376726574,0.317,1.37,4.731,0.266,0.247,0.144,4.21,11.89,10.343,12.059,8.627,1.282,1.895,0.67,0.155,2.47,1.406,1.520,1.293,1.182
2026-05-06 09:47:15,shepherds_purse_observed.csv,3.013930567038619322629629630,0.044,3.777,2.051,0.459,0.022,0.316,3.07,11.88,12.941,15.904,9.978,9.262,10.389,8.136,0.242,11.77,7.088,2.108,12.068,1.673
2026-05-06 09:47:16,shepherds_purse_observed.csv,0.4243413459096767348640131173,0.182,1.316,5.311,0.092,0.43,0.228,4.78,10.47,10.655,7.95,13.36,8.070,13.632,2.507,0.111,1.09,4.568,7.23,1.905,1.62
2026-05-06 09:47:16,shepherds_purse_observed.csv,1.416533233352920904916898920,0.165,3.461,4.468,0.092,0.364,0.185,2.94,11.27,13.234,14.094,12.374,5.323,6.131,4.515,0.044,1.51,7.182,5.25,9.114,1.171
