method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.163,0.1,0,0.01
RungeKutta4,1,0.1,0.183894,0.1,0,0.01
RungeKutta4,2,0.2,0.199733,0.1,0,0.01
RungeKutta4,3,0.3,0.211542,0.1,0,0.01
RungeKutta4,4,0.4,0.220188,0.1,0,0.01
RungeKutta4,5,0.5,0.226410,0.1,0,0.01
RungeKutta4,6,0.6,0.230836,0.1,0,0.01
RungeKutta4,7,0.7,0.234005,0.1,0,0.01
RungeKutta4,8,0.8,0.236383,0.1,0,0.01
RungeKutta4,9,0.9,0.238378,0.1,0,0.01
RungeKutta4,10,1.0,0.240368,0.1,0,0.01
RungeKutta4,11,1.1,0.242710,0.1,0,0.01
RungeKutta4,12,1.2,0.245725,0.1,0,0.01
RungeKutta4,13,1.3,0.249705,0.1,0,0.01
RungeKutta4,14,1.4,0.254916,0.1,0,0.01
RungeKutta4,15,1.5,0.261605,0.1,0,0.01
RungeKutta4,16,1.6,0.270001,0.1,0,0.01
RungeKutta4,17,1.7,0.280315,0.1,0,0.01
RungeKutta4,18,1.8,0.292736,0.1,0,0.01
RungeKutta4,19,1.9,0.307425,0.1,0,0.01
RungeKutta4,20,2.0,0.324506,0.1,0,0.01
RungeKutta4,21,2.1,0.344055,0.1,0,0.01
RungeKutta4,22,2.2,0.366081,0.1,0,0.01
RungeKutta4,23,2.3,0.390517,0.1,0,0.01
RungeKutta4,24,2.4,0.417203,0.1,0,0.01
RungeKutta4,25,2.5,0.445879,0.1,0,0.01
RungeKutta4,26,2.6,0.476172,0.1,0,0.01
RungeKutta4,27,2.7,0.507598,0.1,0,0.01
RungeKutta4,28,2.8,0.539576,0.1,0,0.01
RungeKutta4,29,2.9,0.571437,0.1,0,0.01
RungeKutta4,30,3.0,0.602445,0.1,0,0.01
RungeKutta4,31,3.1,0.631831,0.1,0,0.01
RungeKutta4,32,3.2,0.658830,0.1,0,0.01
RungeKutta4,33,3.3,0.682718,0.1,0,0.01
RungeKutta4,34,3.4,0.702847,0.1,0,0.01
RungeKutta4,35,3.5,0.718701,0.1,0,0.01
RungeKutta4,36,3.6,0.729909,0.1,0,0.01
RungeKutta4,37,3.7,0.736253,0.1,0,0.01
