method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.102,0.1,0,0.01,0.185595
RungeKutta4,1,0.1,0.0680947,0.1,0,0.01,0.123578
RungeKutta4,2,0.2,0.0454595,0.1,0,0.01,0.0821751
RungeKutta4,3,0.3,0.0303485,0.1,0,0.01,0.0545351
RungeKutta4,4,0.4,0.0202605,0.1,0,0.01,0.0360829
RungeKutta4,5,0.5,0.0135258,0.1,0,0.01,0.0237642
RungeKutta4,6,0.6,0.00902973,0.1,0,0.01,0.0155404
RungeKutta4,7,0.7,0.00602820,0.1,0,0.01,0.0100502
RungeKutta4,8,0.8,0.00402440,0.1,0,0.01,0.00638502
RungeKutta4,9,0.9,0.00268667,0.1,0,0.01,0.00393814
RungeKutta4,10,1.0,0.00179361,0.1,0,0.01,0.00230461
RungeKutta4,11,1.1,0.00119740,0.1,0,0.01,0.00121407
RungeKutta4,12,1.2,0.000799378,0.1,0,0.01,0.000486033
RungeKutta4,13,1.3,0.000533660,0.1,0,0.01,0.000
RungeKutta4,14,1.4,0.00220539,0.1,0,0.01,0.00305781
RungeKutta4,15,1.5,0.00763217,0.1,0,0.01,0.0129841
RungeKutta4,16,1.6,0.0167716,0.1,0,0.01,0.0297012
RungeKutta4,17,1.7,0.0295984,0.1,0,0.01,0.0531631
RungeKutta4,18,1.8,0.0460847,0.1,0,0.01,0.0833187
RungeKutta4,19,1.9,0.0661742,0.1,0,0.01,0.120065
RungeKutta4,20,2.0,0.0897632,0.1,0,0.01,0.163212
RungeKutta4,21,2.1,0.116676,0.1,0,0.01,0.212439
RungeKutta4,22,2.2,0.146656,0.1,0,0.01,0.267276
RungeKutta4,23,2.3,0.179342,0.1,0,0.01,0.327063
RungeKutta4,24,2.4,0.214270,0.1,0,0.01,0.390951
RungeKutta4,25,2.5,0.250871,0.1,0,0.01,0.457899
RungeKutta4,26,2.6,0.288474,0.1,0,0.01,0.526680
RungeKutta4,27,2.7,0.326325,0.1,0,0.01,0.595914
RungeKutta4,28,2.8,0.363605,0.1,0,0.01,0.664104
RungeKutta4,29,2.9,0.399457,0.1,0,0.01,0.729682
RungeKutta4,30,3.0,0.433015,0.1,0,0.01,0.791064
RungeKutta4,31,3.1,0.463444,0.1,0,0.01,0.846723
RungeKutta4,32,3.2,0.489974,0.1,0,0.01,0.895249
RungeKutta4,33,3.3,0.511948,0.1,0,0.01,0.935443
RungeKutta4,34,3.4,0.528911,0.1,0,0.01,0.966470
RungeKutta4,35,3.5,0.540578,0.1,0,0.01,0.987811
RungeKutta4,36,3.6,0.546790,0.1,0,0.01,0.999173
RungeKutta4,37,3.7,0.547242,0.1,0,0.01,1
RungeKutta4,38,3.8,0.539245,0.1,0,0.01,0.985372
RungeKutta4,39,3.9,0.523599,0.1,0,0.01,0.956754
RungeKutta4,40,4.0,0.501859,0.1,0,0.01,0.916989
RungeKutta4,41,4.1,0.475382,0.1,0,0.01,0.868559
RungeKutta4,42,4.2,0.445387,0.1,0,0.01,0.813694
RungeKutta4,43,4.3,0.412990,0.1,0,0.01,0.754436
RungeKutta4,44,4.4,0.379211,0.1,0,0.01,0.692649
RungeKutta4,45,4.5,0.344969,0.1,0,0.01,0.630016
RungeKutta4,46,4.6,0.311075,0.1,0,0.01,0.568020
RungeKutta4,47,4.7,0.278224,0.1,0,0.01,0.507931
RungeKutta4,48,4.8,0.246984,0.1,0,0.01,0.450789
RungeKutta4,49,4.9,0.217799,0.1,0,0.01,0.397406
RungeKutta4,50,5.0,0.190988,0.1,0,0.01,0.348365
RungeKutta4,51,5.1,0.166750,0.1,0,0.01,0.304031
RungeKutta4,52,5.2,0.145176,0.1,0,0.01,0.264569
RungeKutta4,53,5.3,0.126263,0.1,0,0.01,0.229975
RungeKutta4,54,5.4,0.109925,0.1,0,0.01,0.200090
RungeKutta4,55,5.5,0.0960161,0.1,0,0.01,0.174650
RungeKutta4,56,5.6,0.0843461,0.1,0,0.01,0.153304
RungeKutta4,57,5.7,0.0746922,0.1,0,0.01,0.135646
RungeKutta4,58,5.8,0.0668196,0.1,0,0.01,0.121246
RungeKutta4,59,5.9,0.0604891,0.1,0,0.01,0.109666
RungeKutta4,60,6.0,0.0554695,0.1,0,0.01,0.100485
RungeKutta4,61,6.1,0.0515441,0.1,0,0.01,0.0933047
RungeKutta4,62,6.2,0.0485163,0.1,0,0.01,0.0877664
RungeKutta4,63,6.3,0.0462124,0.1,0,0.01,0.0835523
RungeKutta4,64,6.4,0.0444826,0.1,0,0.01,0.0803883
RungeKutta4,65,6.5,0.0432007,0.1,0,0.01,0.0780435
RungeKutta4,66,6.6,0.0422627,0.1,0,0.01,0.0763278
RungeKutta4,67,6.7,0.0415847,0.1,0,0.01,0.0750876
RungeKutta4,68,6.8,0.0411003,0.1,0,0.01,0.0742016
RungeKutta4,69,6.9,0.0407580,0.1,0,0.01,0.0735755
RungeKutta4,70,7.0,0.0405186,0.1,0,0.01,0.0731376
RungeKutta4,71,7.1,0.0403527,0.1,0,0.01,0.0728341
RungeKutta4,72,7.2,0.0402387,0.1,0,0.01,0.0726256
RungeKutta4,73,7.3,0.0401610,0.1,0,0.01,0.0724835
RungeKutta4,74,7.4,0.0401084,0.1,0,0.01,0.0723873
RungeKutta4,75,7.5,0.0400731,0.1,0,0.01,0.0723227
RungeKutta4,76,7.6,0.0400499,0.1,0,0.01,0.0722803
RungeKutta4,77,7.7,0.0400354,0.1,0,0.01,0.0722537
RungeKutta4,78,7.8,0.0400280,0.1,0,0.01,0.0722402
RungeKutta4,79,7.9,0.0400276,0.1,0,0.01,0.0722395
RungeKutta4,80,8.0,0.0400336,0.1,0,0.01,0.0722505
RungeKutta4,81,8.1,0.0400508,0.1,0,0.01,0.0722819
RungeKutta4,82,8.2,0.0400901,0.1,0,0.01,0.0723538
RungeKutta4,83,8.3,0.0401725,0.1,0,0.01,0.0725045
RungeKutta4,84,8.4,0.0403381,0.1,0,0.01,0.0728074
RungeKutta4,85,8.5,0.0406570,0.1,0,0.01,0.0733907
RungeKutta4,86,8.6,0.0412381,0.1,0,0.01,0.0744536
RungeKutta4,87,8.7,0.0422147,0.1,0,0.01,0.0762400
RungeKutta4,88,8.8,0.0436794,0.1,0,0.01,0.0789191
RungeKutta4,89,8.9,0.0455856,0.1,0,0.01,0.0824058
RungeKutta4,90,9.0,0.0477206,0.1,0,0.01,0.0863110
RungeKutta4,91,9.1,0.0498019,0.1,0,0.01,0.0901179
RungeKutta4,92,9.2,0.0516004,0.1,0,0.01,0.0934076
RungeKutta4,93,9.3,0.0529896,0.1,0,0.01,0.0959487
RungeKutta4,94,9.4,0.0539298,0.1,0,0.01,0.0976684
RungeKutta4,95,9.5,0.0544345,0.1,0,0.01,0.0985916
RungeKutta4,96,9.6,0.0545320,0.1,0,0.01,0.0987699
RungeKutta4,97,9.7,0.0541138,0.1,0,0.01,0.0980050
RungeKutta4,98,9.8,0.0532401,0.1,0,0.01,0.0964069
RungeKutta4,99,9.9,0.0520416,0.1,0,0.01,0.0942146
RungeKutta4,100,10.0,0.0506086,0.1,0,0.01,0.0915935
RungeKutta4,101,10.1,0.0490004,0.1,0,0.01,0.0886519
RungeKutta4,102,10.2,0.0472526,0.1,0,0.01,0.0854549
RungeKutta4,103,10.3,0.0453900,0.1,0,0.01,0.0820480
RungeKutta4,104,10.4,0.0434691,0.1,0,0.01,0.0785344
RungeKutta4,105,10.5,0.0417188,0.1,0,0.01,0.0753329
RungeKutta4,106,10.6,0.0408808,0.1,0,0.01,0.0738001
RungeKutta4,107,10.7,0.0419831,0.1,0,0.01,0.0758163
RungeKutta4,108,10.8,0.0467040,0.1,0,0.01,0.0844515
RungeKutta4,109,10.9,0.0575344,0.1,0,0.01,0.104262
RungeKutta4,110,11.0,0.0755067,0.1,0,0.01,0.137135
RungeKutta4,111,11.1,0.0980107,0.1,0,0.01,0.178298
RungeKutta4,112,11.2,0.118826,0.1,0,0.01,0.216371
RungeKutta4,113,11.3,0.134541,0.1,0,0.01,0.245116
RungeKutta4,114,11.4,0.145522,0.1,0,0.01,0.265202
RungeKutta4,115,11.5,0.152225,0.1,0,0.01,0.277463
RungeKutta4,116,11.6,0.155065,0.1,0,0.01,0.282657
RungeKutta4,117,11.7,0.153785,0.1,0,0.01,0.280316
