TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,AUTUMN_ONSET,AUTUMN_GATE_SHARPNESS,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 10:54:10,song_thrush_observed.csv,0.8884255583843803651404629376,0.654,3.829,5.777,0.005,0.458,0.373,2.43,11.55,8.47,5.118,0.903,0.891,0.915,5.442,9.861,1.024,0.21,8.85,3.568,6.693,0.444,0.893
2026-05-06 10:54:10,song_thrush_observed.csv,1.162956348890680558836995462,0.6,3.686,4.242,0.032,0.278,0.019,3.03,10.54,9.16,6.39,8.528,11.436,5.62,1.982,2.229,1.734,0.084,10.34,6.268,6.274,6.262,1.67
2026-05-06 10:54:10,song_thrush_observed.csv,0.7489782837152840919727966372,0.422,3.068,3.13,0.077,0.351,0.091,2.79,11.09,9.62,7.627,16.148,13.546,18.751,10.554,8.677,12.43,0.202,8.76,11.201,13.715,8.687,1.396
2026-05-06 10:54:11,song_thrush_observed.csv,1.004802329290763905069464277,0.598,1.263,4.64,0.09,0.249,0.007,3.29,10.6,11.09,7.902,2.706,1.983,3.429,6.076,6.27,5.883,0.107,8.65,7.030,6.124,7.937,1.701
2026-05-06 10:54:11,song_thrush_observed.csv,1.337956881721586025734959783,0.435,2.89,2.62,0.039,0.184,0.002,4.18,11.79,8.61,6.315,9.008,6.785,11.231,3.526,2.037,5.016,0.198,10.03,2.952,3.332,2.573,1.34
2026-05-06 10:54:11,song_thrush_observed.csv,1.359373508615525802656300468,0.769,1.387,4.189,0.008,0.269,0.355,4.32,1.04,8.23,4.826,11.490,19.466,3.515,2.078,3.624,0.532,0.157,9.41,8.072,6.303,9.842,1.781
2026-05-06 10:54:11,song_thrush_observed.csv,1.813827197235743219449145942,0.449,2.563,3.071,0.044,0.641,0.273,1.89,1.36,7.2,7.109,12.682,12.151,13.212,6.976,10.474,3.478,0.053,10.44,10.824,9.04,12.608,1.189
2026-05-06 10:54:12,song_thrush_observed.csv,1.325214711558920358102412936,0.785,3.025,2.104,0.043,0.388,0.122,2.93,10.77,9.6,0.986,12.388,11.106,13.67,4.666,1.812,7.52,0.127,8.28,7.714,12.164,3.264,1.127
2026-05-06 10:54:12,song_thrush_observed.csv,1.633569702256618799210351143,0.574,3.237,3.525,0.047,0.286,0.11,1.74,10.52,7.9,1.681,13.204,13.626,12.783,11.596,9.394,13.799,0.154,10.19,6.404,7.104,5.704,1.149
2026-05-06 10:54:12,song_thrush_observed.csv,2.521820957075437514693847456,0.558,0.253,5.65,0.027,0.113,0.327,4.3,11.96,6.99,6.319,11.546,9.394,13.697,5.390,1.974,8.806,0.003,8.36,5.312,3.28,7.343,1.018
2026-05-06 10:54:13,song_thrush_observed.csv,1.144087353557519507754171293,0.611,0.646,1.605,0.066,0.513,0.044,3.62,11.51,8.29,3.419,15.620,18.075,13.164,8.160,7.785,8.536,0.051,9.85,1.840,2.109,1.571,1.468
2026-05-06 10:54:13,song_thrush_observed.csv,2.664298929336115299980993712,0.685,1.767,5.55,0.016,0.041,0.43,2.71,10.57,10.48,1.163,8.330,3.244,13.417,7.696,13.146,2.245,0.241,9.47,3.466,6.364,0.567,0.918
2026-05-06 10:54:13,song_thrush_observed.csv,1.850400129553778543856663382,0.692,3.457,4.003,0.017,0.242,0.176,3.08,1.31,8.31,7.894,7.060,4.587,9.534,12.290,12.351,12.229,0.211,7.71,11.187,11.795,10.579,1.013
2026-05-06 10:54:14,song_thrush_observed.csv,0.9054638171388604675957425861,0.39,3.339,2.196,0.088,0.552,0.228,2.76,1.12,8.19,6.812,12.710,15.1,10.319,4.612,1.44,7.783,0.018,9.04,11.089,8.322,13.856,1.727
2026-05-06 10:54:14,song_thrush_observed.csv,1.351188310918826429648033234,0.541,0.681,4.073,0.049,0.165,0.001,2.44,11.78,6.53,3.87,13.265,17.024,9.506,10.650,9.623,11.676,0.247,9.46,9.986,13.679,6.294,1.767
2026-05-06 10:54:14,song_thrush_observed.csv,0.9658778372523114593673997102,0.574,3.965,0.956,0.087,0.353,0.065,3.85,11.24,9.24,3.731,6.388,5.518,7.257,4.762,1.932,7.593,0.178,8.76,5.481,9.538,1.424,0.824
2026-05-06 10:54:14,song_thrush_observed.csv,0.9413973736655065124607906309,0.653,2.856,1.63,0.011,0.706,0.446,4.4,11.03,9.53,2.215,13.160,14.013,12.308,9.102,10.434,7.77,0.147,10.04,8.992,12.588,5.396,1.044
2026-05-06 10:54:15,song_thrush_observed.csv,1.490985182089139857106189774,0.666,1.828,4.029,0.008,0.213,0.155,3.03,10.62,9.47,2.829,4.260,5.764,2.756,5.458,7.684,3.233,0.095,8.01,8.668,13.005,4.332,1.193
2026-05-06 10:54:15,song_thrush_observed.csv,1.680606748628368431030833417,0.704,3.281,2.813,0.015,0.118,0.395,3.26,10.62,8.6,4.241,11.672,13.233,10.111,10.400,9.653,11.146,0.179,9.13,2.330,1.995,2.666,1.358
2026-05-06 10:54:15,song_thrush_observed.csv,0.8423698760716482006067057246,0.798,0.599,5.4,0.081,0.238,0.119,3.2,10.66,10.82,4.034,1.501,2.417,0.585,6.500,3.119,9.882,0.232,8.75,6.453,6.568,6.338,1.541
2026-05-06 10:54:16,song_thrush_observed.csv,1.579076276206469367558474922,0.919,2.324,3.414,0.042,0.28,0.281,3.93,11.95,8.79,2.794,12.740,13.925,11.554,11.012,12.418,9.606,0.016,8.82,10.486,10.644,10.328,1.352
2026-05-06 10:54:16,song_thrush_observed.csv,1.243236304880467163039689312,0.778,3.688,1.691,0.045,0.659,0.122,4.36,1.13,8.55,2.666,10.654,8.331,12.977,10.160,10.47,9.849,0.199,8.06,10.550,11.224,9.875,0.899
2026-05-06 10:54:16,song_thrush_observed.csv,1.224069358570232031910929692,0.802,3.129,2.017,0.053,0.68,0.428,2.37,11.27,6.73,3.622,9.694,7.217,12.171,6.478,8.965,3.99,0.183,9.9,2.254,1.409,3.099,0.95
2026-05-06 10:54:17,song_thrush_observed.csv,1.159062957480391511304981861,0.419,3.066,4.011,0.025,0.289,0.284,3.12,11.94,8.21,3.009,18.229,20.000,16.458,5.589,5.205,5.973,0.159,8.47,7.861,2.88,12.842,1.772
2026-05-06 10:54:17,song_thrush_observed.csv,1.907439570158581256527185371,0.522,2.987,1.916,0.005,0.422,0.37,2.37,1.43,9.38,2.797,16.418,15.002,17.835,11.606,11.623,11.588,0.175,7.81,6.010,3.241,8.778,1.477
2026-05-06 10:54:17,song_thrush_observed.csv,2.241445690485699343051116410,0.602,1.452,3.889,0.063,0.363,0.377,1.57,10.76,6.81,6.215,11.918,17.677,6.158,3.498,2.804,4.192,0.096,8.73,5.944,6.798,5.089,1.537
