TIMESTAMP,OBSERVED,SCORE,INITIAL_Y,GROWTH_RATE,DECAY_RATE,BASELINE,WINTER_WEIGHT,AUTUMN_WEIGHT,WINTER_PEAK,AUTUMN_PEAK,WINTER_WIDTH,WINTER_RISE_WIDTH,WINTER_FALL_WIDTH,AUTUMN_WIDTH,AUTUMN_RISE_WIDTH,AUTUMN_FALL_WIDTH,SUMMER_DIP,SUMMER_LOW,SUMMER_WIDTH,SUMMER_RISE_WIDTH,SUMMER_FALL_WIDTH,SCALE
2026-05-06 09:50:16,woodpigeon_observed.csv,0.9324743143228225984273257011,0.778,2.648,5.266,0.484,0.43,0.379,2.05,10.55,13.516,10.8,16.233,6.765,6.714,6.816,0.203,8.98,8.074,4.445,11.704,1.214
2026-05-06 09:50:17,woodpigeon_observed.csv,1.257755417564330251658913758,0.846,1.537,4.121,0.531,0.111,0.291,11.9,1.4,11.815,19.665,3.965,8.813,6.369,11.257,0.15,11.24,10.444,13.592,7.295,1.159
2026-05-06 09:50:17,woodpigeon_observed.csv,1.316040944056930773645556588,0.973,2.326,3.92,0.56,0.111,0.229,2.4,10.77,8.994,16.556,1.431,7.303,13.494,1.112,0.137,9.3,6.116,7.542,4.691,1.326
2026-05-06 09:50:17,woodpigeon_observed.csv,1.918782202001991890395537160,1.186,3.928,4.185,0.802,0.492,0.225,11.92,11.23,12.816,12.129,13.503,5.568,3.43,7.705,0.119,9.08,6.427,0.653,12.201,1.775
2026-05-06 09:50:18,woodpigeon_observed.csv,1.023366177563474565067651340,1.009,0.769,2.577,0.577,0.028,0.244,11.63,11.78,8.240,14.093,2.388,1.720,1.890,1.551,0.2,9.03,6.140,8.181,4.099,1.495
2026-05-06 09:50:18,woodpigeon_observed.csv,1.737825572035155105621292786,0.801,1.968,4.296,0.57,0.607,0.297,2.27,11.17,17.923,20.000,15.846,11.740,11.103,12.378,0.196,10.02,6.322,11.924,0.72,1.405
2026-05-06 09:50:18,woodpigeon_observed.csv,2.653211276210356757671331956,1.18,3.41,5.756,0.621,0.137,0.105,1.06,11.08,5.720,10.742,0.698,4.344,3.061,5.627,0.057,11.42,7.307,6.502,8.112,1.483
2026-05-06 09:50:19,woodpigeon_observed.csv,2.161121888136179442976149917,1.059,2.749,4.876,0.689,0.58,0.02,1.23,1.1,5.899,6.512,5.286,6.617,6.649,6.585,0.003,9.63,6.953,3.111,10.795,1.182
2026-05-06 09:50:19,woodpigeon_observed.csv,1.084923335190863054204993414,0.854,3.892,2.049,0.879,0.302,0.438,11.78,1.01,1.504,2.115,0.894,6.758,12.098,1.417,0.234,9.46,6.908,12.963,0.854,1.482
2026-05-06 09:50:19,woodpigeon_observed.csv,2.670529659600935745646920841,1.015,2.21,3.517,0.645,0.133,0.05,2.29,10.7,9.421,11.243,7.599,6.357,1.475,11.239,0.154,9.93,1.842,1.982,1.703,1.088
2026-05-06 09:50:19,woodpigeon_observed.csv,1.367585590021826994611645192,1.266,3.961,1.889,0.873,0.688,0.253,1.09,10.62,11.790,8.185,15.396,4.404,0.53,8.278,0.03,9.67,7.750,10.031,5.469,1.263
2026-05-06 09:50:20,woodpigeon_observed.csv,1.574533271188787049988337275,1.088,2.101,1.247,0.863,0.239,0.365,1.45,11.88,12.518,6.374,18.663,5.043,2.372,7.714,0.078,10.2,11.409,9.512,13.306,1.291
2026-05-06 09:50:20,woodpigeon_observed.csv,1.994329366133916140169106034,1.26,2.029,2.601,0.684,0.64,0.186,1.75,1.19,8.283,13.238,3.328,5.502,5.541,5.464,0.182,9.01,9.466,12.654,6.277,1.776
2026-05-06 09:50:20,woodpigeon_observed.csv,2.301855509321722333825463213,1.246,2.009,4.185,0.647,0.514,0.148,1.44,10.56,8.620,12.199,5.042,11.213,10.842,11.584,0.096,10.97,2.938,2.554,3.322,1.695
2026-05-06 09:50:21,woodpigeon_observed.csv,1.358953595224933686392633697,1.172,2.047,0.817,0.862,0.107,0.432,1.19,11.53,4.853,8.789,0.917,7.475,10.245,4.705,0.226,10.21,5.642,7.231,4.052,0.85
2026-05-06 09:50:21,woodpigeon_observed.csv,2.263581737408847787473935931,1.138,1.541,3.733,0.568,0.134,0.291,1.0,11.98,9.675,14.285,5.065,3.707,0.724,6.69,0.033,10.13,6.011,7.555,4.467,0.842
2026-05-06 09:50:21,woodpigeon_observed.csv,1.566731717085860870150694476,1.277,2.173,1.031,0.657,0.39,0.419,11.53,1.23,9.490,4.406,14.575,5.128,5.296,4.961,0.048,9.81,6.861,8.489,5.233,1.118
2026-05-06 09:50:22,woodpigeon_observed.csv,1.696267340345277634970341983,1.157,3.566,5.955,0.786,0.089,0.43,11.76,11.98,2.060,3.136,0.985,11.176,12.583,9.77,0.193,11.46,3.298,0.607,5.988,1.778
2026-05-06 09:50:22,woodpigeon_observed.csv,2.125380229928527247456666837,1.27,3.895,1.055,0.817,0.697,0.06,2.02,11.39,14.376,9.694,19.059,6.987,11.779,2.195,0.001,11.23,7.638,10.944,4.331,1.212
2026-05-06 09:50:22,woodpigeon_observed.csv,2.073645571464126879761662493,0.83,2.905,1.196,0.56,0.731,0.32,1.39,11.92,9.739,2.197,17.281,2.084,1.786,2.381,0.12,10.14,10.610,11.947,9.274,1.786
2026-05-06 09:50:23,woodpigeon_observed.csv,1.736060615289076612806733196,1.082,2.664,3.609,0.6,0.742,0.402,2.17,11.53,12.204,16.778,7.63,6.934,2.936,10.932,0.243,11.17,11.771,11.951,11.591,1.471
2026-05-06 09:50:23,woodpigeon_observed.csv,4.725742897022920869368559260,1.109,3.991,5.924,0.747,0.072,0.02,1.94,11.17,7.484,8.797,6.171,2.309,2.582,2.036,0.027,8.61,11.774,11.706,11.842,0.803
2026-05-06 09:50:23,woodpigeon_observed.csv,2.045250185802369128985414125,1.054,1.052,4.029,0.484,0.675,0.138,2.18,11.64,16.104,14.128,18.079,6.206,6.745,5.666,0.023,10.1,5.846,2.275,9.416,1.503
2026-05-06 09:50:24,woodpigeon_observed.csv,1.239371459782409601709692309,1.271,1.62,4.2,0.818,0.353,0.111,1.0,11.52,18.330,19.623,17.038,8.288,4.326,12.25,0.22,8.67,11.764,9.672,13.855,1.012
2026-05-06 09:50:24,woodpigeon_observed.csv,4.205820226270910184648986950,1.064,2.041,5.926,0.587,0.267,0.028,1.81,11.19,15.220,19.781,10.659,2.705,3.245,2.165,0.015,9.41,11.272,8.956,13.589,0.826
2026-05-06 09:50:24,woodpigeon_observed.csv,2.181216490051215199688655999,1.019,1.809,4.597,0.548,0.355,0.129,1.1,10.78,11.016,15.473,6.559,8.953,3.981,13.925,0.044,10.95,5.783,9.603,1.963,1.524
2026-05-06 09:50:24,woodpigeon_observed.csv,0.5607920191483871621826792441,0.86,1.49,5.943,0.689,0.186,0.15,2.24,11.48,4.103,6.329,1.877,4.723,6.72,2.726,0.139,9.09,13.506,13.674,13.339,1.207
2026-05-06 09:50:25,woodpigeon_observed.csv,2.650892848091015060409142906,1.283,3.612,3.529,0.656,0.109,0.056,2.15,11.8,11.586,7.58,15.591,11.166,9.213,13.12,0.156,11.33,4.946,2.797,7.095,1.375
2026-05-06 09:50:25,woodpigeon_observed.csv,1.901325491899133457344340814,1.243,1.625,0.844,0.71,0.216,0.15,11.51,11.58,12.514,16.22,8.807,5.948,8.818,3.078,0.095,10.71,6.348,11.294,1.402,1.476
2026-05-06 09:50:25,woodpigeon_observed.csv,2.026473668005152672554584688,0.837,3.934,5.251,0.639,0.208,0.083,11.54,1.44,10.378,5.634,15.123,9.073,8.150,9.996,0.004,11.23,8.394,5.668,11.121,1.298
2026-05-06 09:50:26,woodpigeon_observed.csv,2.047457841558594510978329702,1.036,1.999,2.248,0.805,0.559,0.197,11.68,1.23,10.083,5.402,14.764,8.038,7.833,8.243,0.026,10.23,7.997,7.444,8.55,1.407
2026-05-06 09:50:26,woodpigeon_observed.csv,0.8643174456256144895596517524,0.839,2.159,1.288,0.59,0.314,0.016,2.09,10.78,8.242,0.777,15.706,7.526,4.466,10.586,0.204,9.09,5.634,2.393,8.875,1.091
2026-05-06 09:50:26,woodpigeon_observed.csv,2.209669924942655622454399552,0.824,1.541,2.868,0.887,0.113,0.332,1.52,11.93,12.166,9.896,14.437,5.909,10.805,1.013,0.156,9.07,4.676,1.64,7.712,1.09
2026-05-06 09:50:27,woodpigeon_observed.csv,2.056944559306051206481178374,0.834,3.925,5.668,0.699,0.477,0.291,2.29,11.16,10.314,1.774,18.853,9.189,5.987,12.391,0.061,10.68,6.828,4.617,9.038,0.971
2026-05-06 09:50:27,woodpigeon_observed.csv,0.6361010521684753246839591661,0.994,1.437,3.033,0.452,0.044,0.207,2.43,10.52,11.834,4.737,18.93,12.436,12.524,12.349,0.224,8.69,12.669,13.466,11.872,1.795
2026-05-06 09:50:27,woodpigeon_observed.csv,2.400541380652681521722147093,1.338,1.643,2.503,0.632,0.47,0.033,1.14,11.35,14.584,15.364,13.803,4.118,4.177,4.059,0.074,9.7,4.548,3.619,5.477,1.096
2026-05-06 09:50:27,woodpigeon_observed.csv,2.332421882785649874538735232,0.931,2.519,4.501,0.799,0.74,0.249,1.41,10.52,14.076,12.801,15.351,6.865,0.67,13.06,0.16,9.4,6.112,9.455,2.769,1.039
2026-05-06 09:50:28,woodpigeon_observed.csv,2.406964111651664695864388029,1.278,1.857,3.554,0.58,0.609,0.367,11.85,10.57,5.602,1.783,9.421,6.199,12.001,0.397,0.239,8.6,11.438,12.658,10.218,0.868
2026-05-06 09:50:28,woodpigeon_observed.csv,1.851875104595246643079828299,1.226,3.658,0.865,0.509,0.257,0.352,11.78,11.09,13.813,9.632,17.994,6.462,7.906,5.019,0.239,11.4,5.974,1.279,10.668,1.248
2026-05-06 09:50:28,woodpigeon_observed.csv,1.573072180408496641852520712,1.104,0.777,2.368,0.741,0.67,0.199,2.43,11.24,12.037,19.325,4.749,8.622,9.379,7.865,0.092,10.4,8.740,9.199,8.28,1.764
2026-05-06 09:50:29,woodpigeon_observed.csv,4.130437873472233014540223322,0.754,0.417,2.1,0.842,0.585,0.442,11.76,11.32,9.190,13.04,5.341,6.915,10.651,3.179,0.107,11.38,11.756,11.464,12.047,1.157
2026-05-06 09:50:29,woodpigeon_observed.csv,2.148427484384037625548048506,0.863,0.573,5.32,0.545,0.447,0.233,1.09,11.33,14.650,19.156,10.144,7.850,3.458,12.242,0.002,8.91,8.914,6.632,11.195,1.309
2026-05-06 09:50:29,woodpigeon_observed.csv,0.8383424516895382019327418820,0.791,0.864,3.538,0.578,0.48,0.106,1.98,10.9,14.670,13.257,16.084,4.162,4.519,3.804,0.213,8.8,6.886,6.48,7.291,1.48
2026-05-06 09:50:30,woodpigeon_observed.csv,2.890172382058526268058129361,1.161,1.337,1.104,0.829,0.02,0.21,1.75,10.5,6.038,0.808,11.268,5.043,8.667,1.419,0.126,9.82,7.242,7.198,7.285,0.846
2026-05-06 09:50:30,woodpigeon_observed.csv,1.827456754047634077008568768,1.061,0.76,2.633,0.684,0.169,0.079,11.72,10.88,18.294,17.999,18.589,1.024,0.424,1.624,0.225,9.77,9.902,12.076,7.728,1.016
2026-05-06 09:50:30,woodpigeon_observed.csv,1.880539870008831007048868853,1.227,3.187,2.983,0.74,0.047,0.357,1.05,1.22,8.506,9.436,7.576,8.790,4.724,12.857,0.084,8.95,4.100,6.279,1.921,1.009
2026-05-06 09:50:30,woodpigeon_observed.csv,1.988431462775159959932330661,1.191,0.704,4.278,0.5,0.229,0.383,11.54,1.05,2.643,4.305,0.981,7.414,8.869,5.96,0.067,9.38,4.270,4.478,4.062,1.335
2026-05-06 09:50:31,woodpigeon_observed.csv,2.398396156939124183793452128,1.227,1.258,1.288,0.798,0.119,0.181,2.04,1.43,6.502,10.866,2.138,5.196,5.842,4.551,0.025,11.43,10.974,13.775,8.172,0.973
2026-05-06 09:50:31,woodpigeon_observed.csv,1.482283840451537244649113069,1.147,3.251,2.513,0.813,0.376,0.137,2.23,11.48,14.712,12.677,16.748,5.063,1.138,8.988,0.004,10.97,5.619,5.060,6.178,1.768
2026-05-06 09:50:31,woodpigeon_observed.csv,1.693206744795830825089980901,1.141,3.162,2.838,0.454,0.219,0.421,1.12,11.25,13.678,14.061,13.296,8.609,5.676,11.542,0.053,8.84,10.643,11.372,9.914,1.799
2026-05-06 09:50:32,woodpigeon_observed.csv,2.984714790947883152671342936,1.214,3.725,1.328,0.686,0.091,0.298,1.19,11.79,17.776,19.861,15.692,5.744,7.257,4.23,0.175,11.3,7.804,2.841,12.767,0.827
2026-05-06 09:50:32,woodpigeon_observed.csv,1.767952719224389420507358503,0.987,3.478,3.963,0.45,0.15,0.25,1.4,11.38,8.962,7.813,10.111,3.978,5.205,2.75,0.173,10.3,12.761,12.945,12.577,1.588
2026-05-06 09:50:32,woodpigeon_observed.csv,2.709014423039918824411532632,1.333,1.241,4.067,0.785,0.431,0.206,1.62,11.66,18.090,19.793,16.388,9.498,5.289,13.706,0.209,11.39,11.870,10.411,13.329,1.718
2026-05-06 09:50:33,woodpigeon_observed.csv,1.599309735469417016091190467,0.926,1.604,0.72,0.485,0.055,0.265,1.46,11.41,3.041,3.479,2.603,8.489,5.75,11.228,0.123,9.7,12.662,12.734,12.589,1.792
2026-05-06 09:50:33,woodpigeon_observed.csv,1.720003357122382387029797985,1.132,2.479,0.564,0.537,0.047,0.211,1.01,10.83,6.043,6.172,5.914,11.370,12.071,10.67,0.07,8.68,10.004,7.616,12.392,1.137
2026-05-06 09:50:33,woodpigeon_observed.csv,1.436623902994165269584927194,0.862,3.982,0.766,0.712,0.555,0.376,1.01,11.73,11.458,5.766,17.15,6.038,6.746,5.330,0.129,10.38,5.324,1.018,9.629,1.439
2026-05-06 09:50:34,woodpigeon_observed.csv,0.5236418284703485714343355222,1.044,1.947,5.548,0.801,0.007,0.196,1.35,10.91,7.192,2.473,11.911,3.239,5.326,1.152,0.177,8.61,8.568,13.609,3.527,1.605
2026-05-06 09:50:34,woodpigeon_observed.csv,3.187139920336762901512553654,1.211,0.641,5.862,0.462,0.678,0.097,11.72,11.09,15.091,13.29,16.892,10.526,8.999,12.054,0.232,10.56,11.616,10.607,12.624,1.242
2026-05-06 09:50:34,woodpigeon_observed.csv,2.401657842375583481241951174,1.155,2.811,0.736,0.886,0.45,0.183,11.86,11.44,13.537,19.847,7.227,4.196,5.892,2.501,0.087,11.31,7.196,7.587,6.804,1.438
2026-05-06 09:50:35,woodpigeon_observed.csv,2.457685224433693636826310795,0.954,3.114,2.772,0.839,0.636,0.114,1.81,11.11,10.452,14.194,6.71,8.418,7.898,8.938,0.203,10.21,11.428,12.537,10.32,0.846
2026-05-06 09:50:35,woodpigeon_observed.csv,3.231178205521739423740390474,0.835,1.531,5.381,0.847,0.178,0.356,2.05,10.84,17.512,16.681,18.343,10.096,10.722,9.471,0.093,11.07,12.142,10.434,13.849,1.538
2026-05-06 09:50:35,woodpigeon_observed.csv,1.591875459910753403205237990,1.103,0.739,5.958,0.852,0.357,0.372,1.21,1.02,8.344,5.097,11.591,10.250,10.769,9.73,0.211,10.2,8.708,13.576,3.84,1.708
2026-05-06 09:50:35,woodpigeon_observed.csv,1.697835482399477289329042142,0.868,2.854,5.393,0.652,0.589,0.378,2.22,11.22,13.439,13.079,13.799,4.504,3.159,5.848,0.118,10.54,12.771,13.198,12.344,1.418
