method,step,t,y,step_size,difference,tolerance,y_normalised
RungeKutta4,0,0.0,0.924,0.1,0,0.01,0.794610
RungeKutta4,1,0.1,0.923395,0.1,0,0.01,0.793358
RungeKutta4,2,0.2,0.928146,0.1,0,0.01,0.803186
RungeKutta4,3,0.3,0.936663,0.1,0,0.01,0.820804
RungeKutta4,4,0.4,0.947832,0.1,0,0.01,0.843908
RungeKutta4,5,0.5,0.960597,0.1,0,0.01,0.870314
RungeKutta4,6,0.6,0.973969,0.1,0,0.01,0.897975
RungeKutta4,7,0.7,0.987024,0.1,0,0.01,0.924981
RungeKutta4,8,0.8,0.998934,0.1,0,0.01,0.949617
RungeKutta4,9,0.9,1.00897,0.1,0,0.01,0.970378
RungeKutta4,10,1.0,1.01659,0.1,0,0.01,0.986140
RungeKutta4,11,1.1,1.02144,0.1,0,0.01,0.996173
RungeKutta4,12,1.2,1.02329,0.1,0,0.01,1
RungeKutta4,13,1.3,1.02135,0.1,0,0.01,0.995987
RungeKutta4,14,1.4,1.01502,0.1,0,0.01,0.982893
RungeKutta4,15,1.5,1.00484,0.1,0,0.01,0.961835
RungeKutta4,16,1.6,0.991398,0.1,0,0.01,0.934029
RungeKutta4,17,1.7,0.975306,0.1,0,0.01,0.900741
RungeKutta4,18,1.8,0.957190,0.1,0,0.01,0.863266
RungeKutta4,19,1.9,0.937668,0.1,0,0.01,0.822883
RungeKutta4,20,2.0,0.917338,0.1,0,0.01,0.780829
RungeKutta4,21,2.1,0.896759,0.1,0,0.01,0.738259
RungeKutta4,22,2.2,0.876434,0.1,0,0.01,0.696215
RungeKutta4,23,2.3,0.856797,0.1,0,0.01,0.655594
RungeKutta4,24,2.4,0.838204,0.1,0,0.01,0.617133
RungeKutta4,25,2.5,0.820927,0.1,0,0.01,0.581394
RungeKutta4,26,2.6,0.805156,0.1,0,0.01,0.548770
RungeKutta4,27,2.7,0.791003,0.1,0,0.01,0.519493
RungeKutta4,28,2.8,0.778508,0.1,0,0.01,0.493646
RungeKutta4,29,2.9,0.767649,0.1,0,0.01,0.471184
RungeKutta4,30,3.0,0.758357,0.1,0,0.01,0.451962
RungeKutta4,31,3.1,0.750524,0.1,0,0.01,0.435759
RungeKutta4,32,3.2,0.744017,0.1,0,0.01,0.422299
RungeKutta4,33,3.3,0.738688,0.1,0,0.01,0.411275
RungeKutta4,34,3.4,0.734385,0.1,0,0.01,0.402374
RungeKutta4,35,3.5,0.730957,0.1,0,0.01,0.395283
RungeKutta4,36,3.6,0.728262,0.1,0,0.01,0.389708
RungeKutta4,37,3.7,0.726170,0.1,0,0.01,0.385380
RungeKutta4,38,3.8,0.724566,0.1,0,0.01,0.382062
RungeKutta4,39,3.9,0.723351,0.1,0,0.01,0.379549
RungeKutta4,40,4.0,0.722440,0.1,0,0.01,0.377665
RungeKutta4,41,4.1,0.721764,0.1,0,0.01,0.376266
RungeKutta4,42,4.2,0.721267,0.1,0,0.01,0.375238
RungeKutta4,43,4.3,0.720905,0.1,0,0.01,0.374489
RungeKutta4,44,4.4,0.720643,0.1,0,0.01,0.373947
RungeKutta4,45,4.5,0.720454,0.1,0,0.01,0.373556
RungeKutta4,46,4.6,0.720317,0.1,0,0.01,0.373273
RungeKutta4,47,4.7,0.720217,0.1,0,0.01,0.373066
RungeKutta4,48,4.8,0.720141,0.1,0,0.01,0.372909
RungeKutta4,49,4.9,0.720078,0.1,0,0.01,0.372779
RungeKutta4,50,5.0,0.720020,0.1,0,0.01,0.372659
RungeKutta4,51,5.1,0.719957,0.1,0,0.01,0.372528
RungeKutta4,52,5.2,0.719879,0.1,0,0.01,0.372367
RungeKutta4,53,5.3,0.719775,0.1,0,0.01,0.372152
RungeKutta4,54,5.4,0.719631,0.1,0,0.01,0.371854
RungeKutta4,55,5.5,0.719429,0.1,0,0.01,0.371436
RungeKutta4,56,5.6,0.719146,0.1,0,0.01,0.370851
RungeKutta4,57,5.7,0.718756,0.1,0,0.01,0.370044
RungeKutta4,58,5.8,0.718226,0.1,0,0.01,0.368948
RungeKutta4,59,5.9,0.717518,0.1,0,0.01,0.367483
RungeKutta4,60,6.0,0.716586,0.1,0,0.01,0.365555
RungeKutta4,61,6.1,0.715379,0.1,0,0.01,0.363058
RungeKutta4,62,6.2,0.713841,0.1,0,0.01,0.359877
RungeKutta4,63,6.3,0.711911,0.1,0,0.01,0.355884
RungeKutta4,64,6.4,0.709525,0.1,0,0.01,0.350949
RungeKutta4,65,6.5,0.706617,0.1,0,0.01,0.344933
RungeKutta4,66,6.6,0.703124,0.1,0,0.01,0.337708
RungeKutta4,67,6.7,0.698988,0.1,0,0.01,0.329152
RungeKutta4,68,6.8,0.694158,0.1,0,0.01,0.319161
RungeKutta4,69,6.9,0.688595,0.1,0,0.01,0.307653
RungeKutta4,70,7.0,0.682274,0.1,0,0.01,0.294578
RungeKutta4,71,7.1,0.675190,0.1,0,0.01,0.279924
RungeKutta4,72,7.2,0.667359,0.1,0,0.01,0.263725
RungeKutta4,73,7.3,0.658822,0.1,0,0.01,0.246065
RungeKutta4,74,7.4,0.649647,0.1,0,0.01,0.227086
RungeKutta4,75,7.5,0.639927,0.1,0,0.01,0.206979
RungeKutta4,76,7.6,0.629783,0.1,0,0.01,0.185995
RungeKutta4,77,7.7,0.619362,0.1,0,0.01,0.164438
RungeKutta4,78,7.8,0.608833,0.1,0,0.01,0.142658
RungeKutta4,79,7.9,0.598383,0.1,0,0.01,0.121041
RungeKutta4,80,8.0,0.588213,0.1,0,0.01,0.100004
RungeKutta4,81,8.1,0.578531,0.1,0,0.01,0.0799758
RungeKutta4,82,8.2,0.569545,0.1,0,0.01,0.0613875
RungeKutta4,83,8.3,0.561457,0.1,0,0.01,0.0446567
RungeKutta4,84,8.4,0.554455,0.1,0,0.01,0.0301725
RungeKutta4,85,8.5,0.548705,0.1,0,0.01,0.0182781
RungeKutta4,86,8.6,0.544345,0.1,0,0.01,0.00925901
RungeKutta4,87,8.7,0.541439,0.1,0,0.01,0.00324769
RungeKutta4,88,8.8,0.539970,0.1,0,0.01,0.000208928
RungeKutta4,89,8.9,0.539869,0.1,0,0.01,0
RungeKutta4,90,9.0,0.540748,0.1,0,0.01,0.00181829
RungeKutta4,91,9.1,0.542598,0.1,0,0.01,0.00564518
RungeKutta4,92,9.2,0.545439,0.1,0,0.01,0.0115220
RungeKutta4,93,9.3,0.549261,0.1,0,0.01,0.0194282
RungeKutta4,94,9.4,0.554029,0.1,0,0.01,0.0292912
RungeKutta4,95,9.5,0.559686,0.1,0,0.01,0.0409933
RungeKutta4,96,9.6,0.566159,0.1,0,0.01,0.0543832
RungeKutta4,97,9.7,0.573368,0.1,0,0.01,0.0692957
RungeKutta4,98,9.8,0.581232,0.1,0,0.01,0.0855631
RungeKutta4,99,9.9,0.589682,0.1,0,0.01,0.103043
RungeKutta4,100,10.0,0.598673,0.1,0,0.01,0.121641
RungeKutta4,101,10.1,0.608188,0.1,0,0.01,0.141324
RungeKutta4,102,10.2,0.618236,0.1,0,0.01,0.162109
RungeKutta4,103,10.3,0.628821,0.1,0,0.01,0.184005
RungeKutta4,104,10.4,0.639912,0.1,0,0.01,0.206948
RungeKutta4,105,10.5,0.651494,0.1,0,0.01,0.230906
RungeKutta4,106,10.6,0.663851,0.1,0,0.01,0.256468
RungeKutta4,107,10.7,0.678104,0.1,0,0.01,0.285952
RungeKutta4,108,10.8,0.696627,0.1,0,0.01,0.324268
RungeKutta4,109,10.9,0.722424,0.1,0,0.01,0.377632
RungeKutta4,110,11.0,0.756842,0.1,0,0.01,0.448828
RungeKutta4,111,11.1,0.796817,0.1,0,0.01,0.531520
RungeKutta4,112,11.2,0.834960,0.1,0,0.01,0.610422
RungeKutta4,113,11.3,0.867526,0.1,0,0.01,0.677788
RungeKutta4,114,11.4,0.895266,0.1,0,0.01,0.735171
RungeKutta4,115,11.5,0.918994,0.1,0,0.01,0.784254
RungeKutta4,116,11.6,0.939434,0.1,0,0.01,0.826536
RungeKutta4,117,11.7,0.957227,0.1,0,0.01,0.863343
RungeKutta4,118,11.8,0.972937,0.1,0,0.01,0.895840
RungeKutta4,119,11.9,0.987040,0.1,0,0.01,0.925014
RungeKutta4,120,12.0,0.992540,0.1,0,0.01,0.936391
RungeKutta4,121,12.1,0.971763,0.1,0,0.01,0.893412
