month,observed,simulated_raw,synthesised
1,183,0.9589529999999999,189.73301484224098
2,152,0.9964092000000001,197.14388664777678
3,169,0.8348774999999999,165.18413842905025
4,148,0.7359277,145.60649085712882
5,146,0.7208226,142.61788123549613
6,139,0.7192337,142.303510471462
7,154,0.7058724,139.6599192514422
8,138,0.6429579999999999,127.2120320359158
9,133,0.5566529,110.13619326252328
10,128,0.5602202000000001,110.84199905680802
11,150,0.650633,128.7305641109124
12,169,0.8927042999999999,176.62542189412028
