method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0.278,0.1,0,0.01
RungeKutta4,1,0.1,0.284576,0.1,0,0.01
RungeKutta4,2,0.2,0.290737,0.1,0,0.01
RungeKutta4,3,0.3,0.296732,0.1,0,0.01
RungeKutta4,4,0.4,0.302796,0.1,0,0.01
RungeKutta4,5,0.5,0.309147,0.1,0,0.01
RungeKutta4,6,0.6,0.315984,0.1,0,0.01
RungeKutta4,7,0.7,0.323487,0.1,0,0.01
RungeKutta4,8,0.8,0.331816,0.1,0,0.01
RungeKutta4,9,0.9,0.341110,0.1,0,0.01
RungeKutta4,10,1.0,0.351482,0.1,0,0.01
RungeKutta4,11,1.1,0.363024,0.1,0,0.01
RungeKutta4,12,1.2,0.375802,0.1,0,0.01
RungeKutta4,13,1.3,0.389856,0.1,0,0.01
RungeKutta4,14,1.4,0.405201,0.1,0,0.01
RungeKutta4,15,1.5,0.421826,0.1,0,0.01
RungeKutta4,16,1.6,0.439695,0.1,0,0.01
RungeKutta4,17,1.7,0.458745,0.1,0,0.01
RungeKutta4,18,1.8,0.478890,0.1,0,0.01
RungeKutta4,19,1.9,0.500020,0.1,0,0.01
RungeKutta4,20,2.0,0.522003,0.1,0,0.01
RungeKutta4,21,2.1,0.544686,0.1,0,0.01
RungeKutta4,22,2.2,0.567898,0.1,0,0.01
RungeKutta4,23,2.3,0.591452,0.1,0,0.01
RungeKutta4,24,2.4,0.615146,0.1,0,0.01
RungeKutta4,25,2.5,0.638769,0.1,0,0.01
RungeKutta4,26,2.6,0.662101,0.1,0,0.01
RungeKutta4,27,2.7,0.684918,0.1,0,0.01
RungeKutta4,28,2.8,0.706994,0.1,0,0.01
RungeKutta4,29,2.9,0.728106,0.1,0,0.01
RungeKutta4,30,3.0,0.748034,0.1,0,0.01
RungeKutta4,31,3.1,0.766568,0.1,0,0.01
RungeKutta4,32,3.2,0.783508,0.1,0,0.01
RungeKutta4,33,3.3,0.798669,0.1,0,0.01
RungeKutta4,34,3.4,0.811883,0.1,0,0.01
RungeKutta4,35,3.5,0.823001,0.1,0,0.01
RungeKutta4,36,3.6,0.831897,0.1,0,0.01
RungeKutta4,37,3.7,0.838467,0.1,0,0.01
RungeKutta4,38,3.8,0.842631,0.1,0,0.01
RungeKutta4,39,3.9,0.844337,0.1,0,0.01
RungeKutta4,40,4.0,0.843072,0.1,0,0.01
RungeKutta4,41,4.1,0.838068,0.1,0,0.01
RungeKutta4,42,4.2,0.829510,0.1,0,0.01
RungeKutta4,43,4.3,0.817635,0.1,0,0.01
RungeKutta4,44,4.4,0.802691,0.1,0,0.01
RungeKutta4,45,4.5,0.784936,0.1,0,0.01
RungeKutta4,46,4.6,0.764634,0.1,0,0.01
RungeKutta4,47,4.7,0.742056,0.1,0,0.01
RungeKutta4,48,4.8,0.717480,0.1,0,0.01
RungeKutta4,49,4.9,0.691187,0.1,0,0.01
RungeKutta4,50,5.0,0.663455,0.1,0,0.01
RungeKutta4,51,5.1,0.634565,0.1,0,0.01
RungeKutta4,52,5.2,0.604789,0.1,0,0.01
RungeKutta4,53,5.3,0.574397,0.1,0,0.01
RungeKutta4,54,5.4,0.543644,0.1,0,0.01
RungeKutta4,55,5.5,0.512780,0.1,0,0.01
RungeKutta4,56,5.6,0.482038,0.1,0,0.01
RungeKutta4,57,5.7,0.451640,0.1,0,0.01
RungeKutta4,58,5.8,0.421791,0.1,0,0.01
RungeKutta4,59,5.9,0.392681,0.1,0,0.01
RungeKutta4,60,6.0,0.364485,0.1,0,0.01
RungeKutta4,61,6.1,0.337360,0.1,0,0.01
RungeKutta4,62,6.2,0.311447,0.1,0,0.01
RungeKutta4,63,6.3,0.286872,0.1,0,0.01
RungeKutta4,64,6.4,0.263746,0.1,0,0.01
RungeKutta4,65,6.5,0.242166,0.1,0,0.01
RungeKutta4,66,6.6,0.222215,0.1,0,0.01
RungeKutta4,67,6.7,0.203964,0.1,0,0.01
RungeKutta4,68,6.8,0.187472,0.1,0,0.01
RungeKutta4,69,6.9,0.172788,0.1,0,0.01
RungeKutta4,70,7.0,0.159950,0.1,0,0.01
RungeKutta4,71,7.1,0.148986,0.1,0,0.01
RungeKutta4,72,7.2,0.139916,0.1,0,0.01
RungeKutta4,73,7.3,0.132750,0.1,0,0.01
RungeKutta4,74,7.4,0.127489,0.1,0,0.01
RungeKutta4,75,7.5,0.124125,0.1,0,0.01
RungeKutta4,76,7.6,0.122640,0.1,0,0.01
RungeKutta4,77,7.7,0.122839,0.1,0,0.01
RungeKutta4,78,7.8,0.124255,0.1,0,0.01
RungeKutta4,79,7.9,0.126881,0.1,0,0.01
RungeKutta4,80,8.0,0.130730,0.1,0,0.01
RungeKutta4,81,8.1,0.135798,0.1,0,0.01
RungeKutta4,82,8.2,0.142067,0.1,0,0.01
RungeKutta4,83,8.3,0.149504,0.1,0,0.01
RungeKutta4,84,8.4,0.158061,0.1,0,0.01
RungeKutta4,85,8.5,0.167674,0.1,0,0.01
RungeKutta4,86,8.6,0.178266,0.1,0,0.01
RungeKutta4,87,8.7,0.189747,0.1,0,0.01
RungeKutta4,88,8.8,0.202014,0.1,0,0.01
RungeKutta4,89,8.9,0.214952,0.1,0,0.01
RungeKutta4,90,9.0,0.228437,0.1,0,0.01
RungeKutta4,91,9.1,0.242336,0.1,0,0.01
RungeKutta4,92,9.2,0.256510,0.1,0,0.01
RungeKutta4,93,9.3,0.270815,0.1,0,0.01
RungeKutta4,94,9.4,0.285106,0.1,0,0.01
RungeKutta4,95,9.5,0.299236,0.1,0,0.01
RungeKutta4,96,9.6,0.313062,0.1,0,0.01
RungeKutta4,97,9.7,0.326445,0.1,0,0.01
RungeKutta4,98,9.8,0.339252,0.1,0,0.01
RungeKutta4,99,9.9,0.351360,0.1,0,0.01
RungeKutta4,100,10.0,0.362655,0.1,0,0.01
RungeKutta4,101,10.1,0.373037,0.1,0,0.01
RungeKutta4,102,10.2,0.382420,0.1,0,0.01
RungeKutta4,103,10.3,0.390733,0.1,0,0.01
RungeKutta4,104,10.4,0.397923,0.1,0,0.01
RungeKutta4,105,10.5,0.403954,0.1,0,0.01
RungeKutta4,106,10.6,0.408809,0.1,0,0.01
RungeKutta4,107,10.7,0.412488,0.1,0,0.01
RungeKutta4,108,10.8,0.415010,0.1,0,0.01
RungeKutta4,109,10.9,0.416414,0.1,0,0.01
RungeKutta4,110,11.0,0.416741,0.1,0,0.01
RungeKutta4,111,11.1,0.415739,0.1,0,0.01
RungeKutta4,112,11.2,0.413400,0.1,0,0.01
RungeKutta4,113,11.3,0.409951,0.1,0,0.01
RungeKutta4,114,11.4,0.405624,0.1,0,0.01
RungeKutta4,115,11.5,0.400651,0.1,0,0.01
RungeKutta4,116,11.6,0.395266,0.1,0,0.01
RungeKutta4,117,11.7,0.389704,0.1,0,0.01
RungeKutta4,118,11.8,0.384196,0.1,0,0.01
RungeKutta4,119,11.9,0.378969,0.1,0,0.01
RungeKutta4,120,12.0,0.374245,0.1,0,0.01
RungeKutta4,121,12.1,0.370238,0.1,0,0.01
