method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,3.80535E-10,0.1,0,0.01
RungeKutta4,2,0.2,1.04168E-9,0.1,0,0.01
RungeKutta4,3,0.3,2.33582E-9,0.1,0,0.01
RungeKutta4,4,0.4,4.97439E-9,0.1,0,0.01
RungeKutta4,5,0.5,1.04140E-8,0.1,0,0.01
RungeKutta4,6,0.6,2.16446E-8,0.1,0,0.01
RungeKutta4,7,0.7,4.47983E-8,0.1,0,0.01
RungeKutta4,8,0.8,9.24256E-8,0.1,0,0.01
RungeKutta4,9,0.9,1.90162E-7,0.1,0,0.01
RungeKutta4,10,1.0,3.90252E-7,0.1,0,0.01
RungeKutta4,11,1.1,7.98952E-7,0.1,0,0.01
RungeKutta4,12,1.2,0.00000163190,0.1,0,0.01
RungeKutta4,13,1.3,0.00000332588,0.1,0,0.01
RungeKutta4,14,1.4,0.00000676385,0.1,0,0.01
RungeKutta4,15,1.5,0.0000137275,0.1,0,0.01
RungeKutta4,16,1.6,0.0000278049,0.1,0,0.01
RungeKutta4,17,1.7,0.0000562089,0.1,0,0.01
RungeKutta4,18,1.8,0.000113409,0.1,0,0.01
RungeKutta4,19,1.9,0.000228366,0.1,0,0.01
RungeKutta4,20,2.0,0.000458886,0.1,0,0.01
RungeKutta4,21,2.1,0.000919901,0.1,0,0.01
RungeKutta4,22,2.2,0.00183853,0.1,0,0.01
RungeKutta4,23,2.3,0.00365896,0.1,0,0.01
RungeKutta4,24,2.4,0.00723394,0.1,0,0.01
RungeKutta4,25,2.5,0.0141450,0.1,0,0.01
RungeKutta4,26,2.6,0.0271435,0.1,0,0.01
RungeKutta4,27,2.7,0.0504847,0.1,0,0.01
RungeKutta4,28,2.8,0.0894752,0.1,0,0.01
RungeKutta4,29,2.9,0.148429,0.1,0,0.01
RungeKutta4,30,3.0,0.227705,0.1,0,0.01
RungeKutta4,31,3.1,0.322612,0.1,0,0.01
RungeKutta4,32,3.2,0.425526,0.1,0,0.01
RungeKutta4,33,3.3,0.529039,0.1,0,0.01
RungeKutta4,34,3.4,0.627730,0.1,0,0.01
RungeKutta4,35,3.5,0.718376,0.1,0,0.01
RungeKutta4,36,3.6,0.799366,0.1,0,0.01
RungeKutta4,37,3.7,0.869998,0.1,0,0.01
RungeKutta4,38,3.8,0.929792,0.1,0,0.01
RungeKutta4,39,3.9,0.977813,0.1,0,0.01
RungeKutta4,40,4.0,1.01187,0.1,0,0.01
RungeKutta4,41,4.1,1.02750,0.1,0,0.01
RungeKutta4,42,4.2,1.01700,0.1,0,0.01
RungeKutta4,43,4.3,0.969976,0.1,0,0.01
RungeKutta4,44,4.4,0.878113,0.1,0,0.01
RungeKutta4,45,4.5,0.744526,0.1,0,0.01
RungeKutta4,46,4.6,0.588785,0.1,0,0.01
RungeKutta4,47,4.7,0.437657,0.1,0,0.01
RungeKutta4,48,4.8,0.310232,0.1,0,0.01
RungeKutta4,49,4.9,0.212749,0.1,0,0.01
RungeKutta4,50,5.0,0.142713,0.1,0,0.01
RungeKutta4,51,5.1,0.0943422,0.1,0,0.01
RungeKutta4,52,5.2,0.0617547,0.1,0,0.01
RungeKutta4,53,5.3,0.0401495,0.1,0,0.01
RungeKutta4,54,5.4,0.0259773,0.1,0,0.01
RungeKutta4,55,5.5,0.0167489,0.1,0,0.01
RungeKutta4,56,5.6,0.0107709,0.1,0,0.01
RungeKutta4,57,5.7,0.00691312,0.1,0,0.01
RungeKutta4,58,5.8,0.00443050,0.1,0,0.01
RungeKutta4,59,5.9,0.00283624,0.1,0,0.01
RungeKutta4,60,6.0,0.00181408,0.1,0,0.01
RungeKutta4,61,6.1,0.00115952,0.1,0,0.01
RungeKutta4,62,6.2,0.000740763,0.1,0,0.01
RungeKutta4,63,6.3,0.000473051,0.1,0,0.01
RungeKutta4,64,6.4,0.000301998,0.1,0,0.01
RungeKutta4,65,6.5,0.000192752,0.1,0,0.01
RungeKutta4,66,6.6,0.000123003,0.1,0,0.01
RungeKutta4,67,6.7,0.0000784822,0.1,0,0.01
RungeKutta4,68,6.8,0.0000500704,0.1,0,0.01
RungeKutta4,69,6.9,0.0000319416,0.1,0,0.01
RungeKutta4,70,7.0,0.0000203753,0.1,0,0.01
RungeKutta4,71,7.1,0.0000129966,0.1,0,0.01
RungeKutta4,72,7.2,0.00000828975,0.1,0,0.01
RungeKutta4,73,7.3,0.00000528738,0.1,0,0.01
RungeKutta4,74,7.4,0.00000337233,0.1,0,0.01
RungeKutta4,75,7.5,0.00000215087,0.1,0,0.01
RungeKutta4,76,7.6,0.00000137181,0.1,0,0.01
RungeKutta4,77,7.7,8.7492E-7,0.1,0,0.01
RungeKutta4,78,7.8,5.58008E-7,0.1,0,0.01
RungeKutta4,79,7.9,3.55886E-7,0.1,0,0.01
RungeKutta4,80,8.0,2.26976E-7,0.1,0,0.01
RungeKutta4,81,8.1,1.44760E-7,0.1,0,0.01
RungeKutta4,82,8.2,9.23243E-8,0.1,0,0.01
RungeKutta4,83,8.3,5.88820E-8,0.1,0,0.01
RungeKutta4,84,8.4,3.75533E-8,0.1,0,0.01
RungeKutta4,85,8.5,2.39504E-8,0.1,0,0.01
RungeKutta4,86,8.6,1.52749E-8,0.1,0,0.01
RungeKutta4,87,8.7,9.7419E-9,0.1,0,0.01
RungeKutta4,88,8.8,6.21312E-9,0.1,0,0.01
RungeKutta4,89,8.9,3.96255E-9,0.1,0,0.01
RungeKutta4,90,9.0,2.52720E-9,0.1,0,0.01
RungeKutta4,91,9.1,1.61178E-9,0.1,0,0.01
RungeKutta4,92,9.2,1.02794E-9,0.1,0,0.01
RungeKutta4,93,9.3,6.55592E-10,0.1,0,0.01
RungeKutta4,94,9.4,4.18117E-10,0.1,0,0.01
RungeKutta4,95,9.5,2.66663E-10,0.1,0,0.01
RungeKutta4,96,9.6,1.70070E-10,0.1,0,0.01
RungeKutta4,97,9.7,1.08466E-10,0.1,0,0.01
RungeKutta4,98,9.8,6.91765E-11,0.1,0,0.01
RungeKutta4,99,9.9,4.41187E-11,0.1,0,0.01
RungeKutta4,100,10.0,2.81376E-11,0.1,0,0.01
RungeKutta4,101,10.1,1.79454E-11,0.1,0,0.01
RungeKutta4,102,10.2,1.14451E-11,0.1,0,0.01
RungeKutta4,103,10.3,7.29935E-12,0.1,0,0.01
RungeKutta4,104,10.4,4.65532E-12,0.1,0,0.01
RungeKutta4,105,10.5,2.96902E-12,0.1,0,0.01
RungeKutta4,106,10.6,1.89356E-12,0.1,0,0.01
RungeKutta4,107,10.7,1.20766E-12,0.1,0,0.01
RungeKutta4,108,10.8,7.7021E-13,0.1,0,0.01
RungeKutta4,109,10.9,4.91218E-13,0.1,0,0.01
RungeKutta4,110,11.0,3.13285E-13,0.1,0,0.01
RungeKutta4,111,11.1,1.99804E-13,0.1,0,0.01
RungeKutta4,112,11.2,1.27429E-13,0.1,0,0.01
RungeKutta4,113,11.3,8.12705E-14,0.1,0,0.01
RungeKutta4,114,11.4,5.18320E-14,0.1,0,0.01
RungeKutta4,115,11.5,3.30570E-14,0.1,0,0.01
RungeKutta4,116,11.6,2.10828E-14,0.1,0,0.01
RungeKutta4,117,11.7,1.34460E-14,0.1,0,0.01
RungeKutta4,118,11.8,8.57547E-15,0.1,0,0.01
RungeKutta4,119,11.9,5.46919E-15,0.1,0,0.01
RungeKutta4,120,12.0,5.15717E-11,0.1,0,0.01
RungeKutta4,121,12.1,4.13427E-10,0.1,0,0.01
