TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-06 06:26:43,common_cleavers_observed.csv,3.044,1.535,2.407,7.442,1.058,10.18,6.69,14.487,6.45,0.5048466705073029436021028467,
2026-05-06 06:26:43,common_cleavers_observed.csv,4.755,1.529,7.061,0.286,2.309,11.34,7.54,10.452,4.17,0.4921244928865774482142722546,
2026-05-06 06:26:43,common_cleavers_observed.csv,3.176,1.475,1.061,2.223,4.907,11.76,7.2,14.127,4.17,0.5061918306700028203088598506,
2026-05-06 06:26:44,common_cleavers_observed.csv,2.227,2.674,3.121,1.561,9.117,11.65,7.43,5.432,3.55,0.6334779699186215675390683338,
2026-05-06 06:26:44,common_cleavers_observed.csv,2.707,1.269,7.245,1.524,3.01,11.01,7.09,12.706,5.56,0.4980429622311057318991659877,
2026-05-06 06:26:44,common_cleavers_observed.csv,3.68,0.734,3.326,4.496,8.868,10.17,6.39,6.2,4.55,0.4282000374616475132616355650,
2026-05-06 06:26:44,common_cleavers_observed.csv,2.068,1.612,5.546,1.909,7.493,11.06,7.96,7.537,4.06,0.4998476243389420356405301555,
2026-05-06 06:26:45,common_cleavers_observed.csv,3.474,0.672,2.467,1.172,9.598,10.39,6.33,1.816,5.26,0.4771674515281156383797517717,
2026-05-06 06:26:45,common_cleavers_observed.csv,4.499,1.543,1.095,4.197,8.972,11.78,6.86,14.108,6.18,0.4904550615909445884126579801,
2026-05-06 06:26:45,common_cleavers_observed.csv,3.087,1.342,2.879,1.553,7.482,10.33,6.56,9.986,4.06,0.4369382122627434739055585119,
2026-05-06 06:26:46,common_cleavers_observed.csv,1.579,1.464,1.605,6.703,2.067,11.14,6.9,9.506,4.26,0.4639804433474220061960122835,
2026-05-06 06:26:46,common_cleavers_observed.csv,3.571,2.31,2.636,0.013,6.417,11.52,6.28,8.913,3.55,0.4458553314242552695998192185,
2026-05-06 06:26:46,common_cleavers_observed.csv,2.434,2.835,5.762,1.894,7.322,11.44,7.96,9.25,4.66,0.4680243721834942275045709019,
2026-05-06 06:26:46,common_cleavers_observed.csv,4.613,1.55,4.911,6.745,5.704,10.43,7.83,6.016,3.74,0.4716941671639489004586739759,
2026-05-06 06:26:47,common_cleavers_observed.csv,1.382,1.567,4.155,2.531,2.502,10.21,6.59,3.005,5.46,0.5113993012096831315282449810,
2026-05-06 06:26:47,common_cleavers_observed.csv,4.07,1.005,5.798,1.711,7.544,10.22,7.63,2.357,3.52,0.4936230912216809501344502907,
2026-05-06 06:26:47,common_cleavers_observed.csv,4.986,2.51,6.399,2.325,3.96,10.17,6.49,11.751,6.29,0.4891293984646310992420928842,
2026-05-06 06:26:48,common_cleavers_observed.csv,2.649,1.33,7.865,6.898,2.392,10.27,6.7,6.96,6.24,0.4968284122894196082701717826,
2026-05-06 06:26:48,common_cleavers_observed.csv,2.873,1.385,6.149,1.069,8.151,11.88,6.7,1.57,3.84,0.4540288501426127535136754285,
2026-05-06 06:26:48,common_cleavers_observed.csv,1.262,1.546,5.291,0.637,5.023,11.74,8.0,10.962,4.47,0.4839322343791815543820997786,
2026-05-06 06:26:48,common_cleavers_observed.csv,2.988,2.877,5.306,5.138,1.822,10.77,7.75,12.674,4.63,0.4596411821869760740809413774,
2026-05-06 06:26:49,common_cleavers_observed.csv,2.71,2.335,2.729,6.804,6.468,11.0,7.44,10.995,4.23,0.4488313330164040789775346594,
2026-05-06 06:26:49,common_cleavers_observed.csv,2.087,0.916,6.131,6.53,5.525,10.5,7.48,7.156,4.25,0.4565058005126292805055809233,
2026-05-06 06:26:49,common_cleavers_observed.csv,3.747,0.791,2.033,4.438,2.378,11.97,6.54,9.298,5.43,0.4797699158451262270595722265,
2026-05-06 06:26:50,common_cleavers_observed.csv,4.172,1.208,6.239,4.268,9.041,11.23,6.94,12.768,4.36,0.4459165211716423253606738567,
2026-05-06 06:26:50,common_cleavers_observed.csv,2.02,2.171,2.217,5.168,3.812,11.6,7.29,14.333,4.1,0.4711698184309192340702369765,
2026-05-06 06:26:50,common_cleavers_observed.csv,4.307,0.53,7.474,6.252,7.517,11.6,6.33,8.141,4.12,0.4430764201073928035103057024,
2026-05-06 06:26:50,common_cleavers_observed.csv,1.639,1.563,2.323,6.349,3.369,11.29,7.61,10.74,4.91,0.4889484473784847791566978580,
2026-05-06 06:26:51,common_cleavers_observed.csv,4.364,1.474,5.629,6.518,4.036,11.79,6.87,10.694,6.25,0.5074059618760256991852354839,
2026-05-06 06:26:51,common_cleavers_observed.csv,4.999,1.661,4.436,5.331,4.596,10.28,6.83,1.002,4.03,0.2964416756515650416538590443,
2026-05-06 06:26:51,common_cleavers_observed.csv,3.447,2.443,3.732,4.725,2.195,10.67,7.17,10.562,4.21,0.4384364546920425265787711030,
