month,observed,simulated_raw,synthesised
1,0,9.862807200000001e-30,8.700949848003869e-14
2,3,1.90505171e-26,1.680633013546489e-10
3,14,3.12091485e-23,2.7532651748216793e-07
4,56,4.23804684e-20,0.00037387969024002895
5,59,4.07467669e-17,0.35946720652230135
6,44,2.1708710000000003e-15,19.151382881626244
7,4,2.4549829999999998e-15,21.65781356924637
8,0,1.1788123999999999e-15,10.39946068559981
9,0,2.9251693e-16,2.580578821029836
10,1,1.7573225e-17,0.15503065840391544
11,3,4.626825000000001e-18,0.04081776259449795
12,2,1.9870954e-20,0.00017530118016095036
