method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,2.34143E-10,0.1,0,0.01
RungeKutta4,2,0.2,5.99361E-10,0.1,0,0.01
RungeKutta4,3,0.3,1.24278E-9,0.1,0,0.01
RungeKutta4,4,0.4,2.43026E-9,0.1,0,0.01
RungeKutta4,5,0.5,4.65289E-9,0.1,0,0.01
RungeKutta4,6,0.6,8.82306E-9,0.1,0,0.01
RungeKutta4,7,0.7,1.66354E-8,0.1,0,0.01
RungeKutta4,8,0.8,3.12318E-8,0.1,0,0.01
RungeKutta4,9,0.9,5.84235E-8,0.1,0,0.01
RungeKutta4,10,1.0,1.08931E-7,0.1,0,0.01
RungeKutta4,11,1.1,2.02482E-7,0.1,0,0.01
RungeKutta4,12,1.2,3.75292E-7,0.1,0,0.01
RungeKutta4,13,1.3,6.93700E-7,0.1,0,0.01
RungeKutta4,14,1.4,0.00000127895,0.1,0,0.01
RungeKutta4,15,1.5,0.00000235213,0.1,0,0.01
RungeKutta4,16,1.6,0.00000431565,0.1,0,0.01
RungeKutta4,17,1.7,0.00000790047,0.1,0,0.01
RungeKutta4,18,1.8,0.0000144316,0.1,0,0.01
RungeKutta4,19,1.9,0.0000263064,0.1,0,0.01
RungeKutta4,20,2.0,0.0000478547,0.1,0,0.01
RungeKutta4,21,2.1,0.0000868804,0.1,0,0.01
RungeKutta4,22,2.2,0.000157422,0.1,0,0.01
RungeKutta4,23,2.3,0.000284674,0.1,0,0.01
RungeKutta4,24,2.4,0.000513741,0.1,0,0.01
RungeKutta4,25,2.5,0.000925083,0.1,0,0.01
RungeKutta4,26,2.6,0.00166156,0.1,0,0.01
RungeKutta4,27,2.7,0.00297502,0.1,0,0.01
RungeKutta4,28,2.8,0.00530450,0.1,0,0.01
RungeKutta4,29,2.9,0.00940127,0.1,0,0.01
RungeKutta4,30,3.0,0.0165116,0.1,0,0.01
RungeKutta4,31,3.1,0.0285982,0.1,0,0.01
RungeKutta4,32,3.2,0.0484935,0.1,0,0.01
RungeKutta4,33,3.3,0.0797295,0.1,0,0.01
RungeKutta4,34,3.4,0.125712,0.1,0,0.01
RungeKutta4,35,3.5,0.188260,0.1,0,0.01
RungeKutta4,36,3.6,0.266320,0.1,0,0.01
RungeKutta4,37,3.7,0.355951,0.1,0,0.01
RungeKutta4,38,3.8,0.451648,0.1,0,0.01
RungeKutta4,39,3.9,0.547987,0.1,0,0.01
RungeKutta4,40,4.0,0.640680,0.1,0,0.01
RungeKutta4,41,4.1,0.726887,0.1,0,0.01
RungeKutta4,42,4.2,0.805040,0.1,0,0.01
RungeKutta4,43,4.3,0.874514,0.1,0,0.01
RungeKutta4,44,4.4,0.935300,0.1,0,0.01
RungeKutta4,45,4.5,0.987749,0.1,0,0.01
RungeKutta4,46,4.6,1.03240,0.1,0,0.01
RungeKutta4,47,4.7,1.06987,0.1,0,0.01
RungeKutta4,48,4.8,1.10079,0.1,0,0.01
RungeKutta4,49,4.9,1.12574,0.1,0,0.01
RungeKutta4,50,5.0,1.14528,0.1,0,0.01
RungeKutta4,51,5.1,1.15990,0.1,0,0.01
RungeKutta4,52,5.2,1.17005,0.1,0,0.01
RungeKutta4,53,5.3,1.17613,0.1,0,0.01
RungeKutta4,54,5.4,1.17848,0.1,0,0.01
RungeKutta4,55,5.5,1.17743,0.1,0,0.01
RungeKutta4,56,5.6,1.17326,0.1,0,0.01
RungeKutta4,57,5.7,1.16621,0.1,0,0.01
RungeKutta4,58,5.8,1.15651,0.1,0,0.01
RungeKutta4,59,5.9,1.14437,0.1,0,0.01
RungeKutta4,60,6.0,1.12997,0.1,0,0.01
RungeKutta4,61,6.1,1.11348,0.1,0,0.01
RungeKutta4,62,6.2,1.09507,0.1,0,0.01
RungeKutta4,63,6.3,1.07488,0.1,0,0.01
RungeKutta4,64,6.4,1.05305,0.1,0,0.01
RungeKutta4,65,6.5,1.02971,0.1,0,0.01
RungeKutta4,66,6.6,1.00499,0.1,0,0.01
RungeKutta4,67,6.7,0.979007,0.1,0,0.01
RungeKutta4,68,6.8,0.951882,0.1,0,0.01
RungeKutta4,69,6.9,0.923731,0.1,0,0.01
RungeKutta4,70,7.0,0.894663,0.1,0,0.01
RungeKutta4,71,7.1,0.864787,0.1,0,0.01
RungeKutta4,72,7.2,0.834210,0.1,0,0.01
RungeKutta4,73,7.3,0.803039,0.1,0,0.01
RungeKutta4,74,7.4,0.771375,0.1,0,0.01
RungeKutta4,75,7.5,0.739320,0.1,0,0.01
RungeKutta4,76,7.6,0.706973,0.1,0,0.01
RungeKutta4,77,7.7,0.674430,0.1,0,0.01
RungeKutta4,78,7.8,0.641782,0.1,0,0.01
RungeKutta4,79,7.9,0.609117,0.1,0,0.01
RungeKutta4,80,8.0,0.576514,0.1,0,0.01
RungeKutta4,81,8.1,0.544034,0.1,0,0.01
RungeKutta4,82,8.2,0.511720,0.1,0,0.01
RungeKutta4,83,8.3,0.479583,0.1,0,0.01
RungeKutta4,84,8.4,0.447582,0.1,0,0.01
RungeKutta4,85,8.5,0.415602,0.1,0,0.01
RungeKutta4,86,8.6,0.383419,0.1,0,0.01
