TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-06 06:28:37,cow_parsley_observed.csv,4.481,1.445,5.187,3.698,7.337,4.26,7.11,10.232,6.16,0.05033791014145490901026730628,
2026-05-06 06:28:37,cow_parsley_observed.csv,2.255,1.712,5.56,4.857,6.161,4.9,7.06,4.27,5.46,0.06947623455691760489473314059,
2026-05-06 06:28:37,cow_parsley_observed.csv,3.754,2.319,3.59,1.484,4.343,4.23,7.44,4.998,4.28,0.008272808285267203690366356598,
2026-05-06 06:28:38,cow_parsley_observed.csv,2.652,0.915,1.803,7.119,9.41,3.73,7.27,5.908,6.31,0.05140766251489978286411551554,
2026-05-06 06:28:38,cow_parsley_observed.csv,3.737,0.758,5.336,1.931,7.962,3.37,6.76,11.409,4.05,0.1073533874016291885336412370,
2026-05-06 06:28:38,cow_parsley_observed.csv,1.732,2.835,5.611,0.688,9.601,3.51,6.31,12.714,4.59,0.08556286138849443214896335155,
2026-05-06 06:28:39,cow_parsley_observed.csv,2.262,1.472,4.541,1.154,8.586,4.61,6.93,3.978,5.1,0.01749689132255799768751809589,
2026-05-06 06:28:39,cow_parsley_observed.csv,3.43,2.696,3.123,1.141,9.348,4.82,6.86,1.222,5.81,0.08714613360983479483757228187,
2026-05-06 06:28:39,cow_parsley_observed.csv,3.917,1.711,6.96,5.905,9.579,3.89,6.53,1.768,4.39,0.07470848705551704225791372596,
2026-05-06 06:28:39,cow_parsley_observed.csv,2.198,2.298,1.391,7.307,1.846,3.17,7.68,9.893,6.47,0.06484051840563174376735828318,
2026-05-06 06:28:40,cow_parsley_observed.csv,2.001,2.198,5.519,2.748,1.562,4.6,7.61,2.302,6.4,0.07712782200605067911081163624,
2026-05-06 06:28:40,cow_parsley_observed.csv,1.594,1.997,2.517,0.596,6.747,4.73,6.01,9.319,5.5,0.03465062448289068574437342543,
2026-05-06 06:28:40,cow_parsley_observed.csv,1.178,2.927,1.655,5.268,2.869,4.83,6.62,3.166,5.94,0.01526698887678660840649484632,
2026-05-06 06:28:40,cow_parsley_observed.csv,4.693,2.421,1.109,5.088,5.399,4.2,6.69,10.368,5.24,0.02933797882146531204919682496,
2026-05-06 06:28:41,cow_parsley_observed.csv,2.747,1.493,2.417,1.167,3.396,3.34,7.59,9.85,5.59,0.06252814975036627149013162675,
2026-05-06 06:28:41,cow_parsley_observed.csv,1.786,2.704,6.28,2.162,9.385,3.97,7.69,2.514,4.71,0.02808243409773144513987697282,
2026-05-06 06:28:41,cow_parsley_observed.csv,2.947,1.62,3.391,5.182,5.257,3.53,6.06,2.947,4.11,0.1354416140569158243431829998,
2026-05-06 06:28:42,cow_parsley_observed.csv,4.759,1.795,5.584,0.812,5.815,4.0,6.58,6.295,5.85,0.03308600697892290161762303143,
