method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,1.44626E-7,0.1,0,0.01
RungeKutta4,2,0.2,3.54944E-7,0.1,0,0.01
RungeKutta4,3,0.3,7.02174E-7,0.1,0,0.01
RungeKutta4,4,0.4,0.00000130719,0.1,0,0.01
RungeKutta4,5,0.5,0.00000238172,0.1,0,0.01
RungeKutta4,6,0.6,0.00000430059,0.1,0,0.01
RungeKutta4,7,0.7,0.00000772907,0.1,0,0.01
RungeKutta4,8,0.8,0.0000138470,0.1,0,0.01
RungeKutta4,9,0.9,0.0000247444,0.1,0,0.01
RungeKutta4,10,1.0,0.0000441169,0.1,0,0.01
RungeKutta4,11,1.1,0.0000784867,0.1,0,0.01
RungeKutta4,12,1.2,0.000139341,0.1,0,0.01
RungeKutta4,13,1.3,0.000246865,0.1,0,0.01
RungeKutta4,14,1.4,0.000436445,0.1,0,0.01
RungeKutta4,15,1.5,0.000769905,0.1,0,0.01
RungeKutta4,16,1.6,0.00135484,0.1,0,0.01
RungeKutta4,17,1.7,0.00237738,0.1,0,0.01
RungeKutta4,18,1.8,0.00415663,0.1,0,0.01
RungeKutta4,19,1.9,0.00723195,0.1,0,0.01
RungeKutta4,20,2.0,0.0124943,0.1,0,0.01
RungeKutta4,21,2.1,0.0213606,0.1,0,0.01
RungeKutta4,22,2.2,0.0359496,0.1,0,0.01
RungeKutta4,23,2.3,0.0591234,0.1,0,0.01
RungeKutta4,24,2.4,0.0941492,0.1,0,0.01
RungeKutta4,25,2.5,0.143779,0.1,0,0.01
RungeKutta4,26,2.6,0.208959,0.1,0,0.01
RungeKutta4,27,2.7,0.287976,0.1,0,0.01
RungeKutta4,28,2.8,0.376755,0.1,0,0.01
RungeKutta4,29,2.9,0.470066,0.1,0,0.01
RungeKutta4,30,3.0,0.562810,0.1,0,0.01
RungeKutta4,31,3.1,0.650721,0.1,0,0.01
RungeKutta4,32,3.2,0.730430,0.1,0,0.01
RungeKutta4,33,3.3,0.799064,0.1,0,0.01
RungeKutta4,34,3.4,0.853634,0.1,0,0.01
RungeKutta4,35,3.5,0.890343,0.1,0,0.01
RungeKutta4,36,3.6,0.904092,0.1,0,0.01
RungeKutta4,37,3.7,0.888748,0.1,0,0.01
RungeKutta4,38,3.8,0.839002,0.1,0,0.01
RungeKutta4,39,3.9,0.754115,0.1,0,0.01
RungeKutta4,40,4.0,0.641509,0.1,0,0.01
RungeKutta4,41,4.1,0.516219,0.1,0,0.01
RungeKutta4,42,4.2,0.395050,0.1,0,0.01
RungeKutta4,43,4.3,0.290088,0.1,0,0.01
RungeKutta4,44,4.4,0.206351,0.1,0,0.01
RungeKutta4,45,4.5,0.143366,0.1,0,0.01
RungeKutta4,46,4.6,0.097898,0.1,0,0.01
RungeKutta4,47,4.7,0.0660007,0.1,0,0.01
RungeKutta4,48,4.8,0.0440697,0.1,0,0.01
RungeKutta4,49,4.9,0.0292084,0.1,0,0.01
RungeKutta4,50,5.0,0.0192454,0.1,0,0.01
RungeKutta4,51,5.1,0.0126209,0.1,0,0.01
RungeKutta4,52,5.2,0.00824435,0.1,0,0.01
RungeKutta4,53,5.3,0.00536788,0.1,0,0.01
RungeKutta4,54,5.4,0.00348536,0.1,0,0.01
RungeKutta4,55,5.5,0.00225769,0.1,0,0.01
RungeKutta4,56,5.6,0.00145947,0.1,0,0.01
RungeKutta4,57,5.7,0.000941803,0.1,0,0.01
RungeKutta4,58,5.8,0.000606816,0.1,0,0.01
RungeKutta4,59,5.9,0.000390459,0.1,0,0.01
RungeKutta4,60,6.0,0.000250949,0.1,0,0.01
RungeKutta4,61,6.1,0.000161120,0.1,0,0.01
RungeKutta4,62,6.2,0.000103354,0.1,0,0.01
RungeKutta4,63,6.3,0.0000662465,0.1,0,0.01
RungeKutta4,64,6.4,0.0000424328,0.1,0,0.01
RungeKutta4,65,6.5,0.0000271632,0.1,0,0.01
RungeKutta4,66,6.6,0.0000173793,0.1,0,0.01
RungeKutta4,67,6.7,0.0000111144,0.1,0,0.01
RungeKutta4,68,6.8,0.00000710502,0.1,0,0.01
RungeKutta4,69,6.9,0.00000454040,0.1,0,0.01
RungeKutta4,70,7.0,0.00000290062,0.1,0,0.01
RungeKutta4,71,7.1,0.00000185257,0.1,0,0.01
RungeKutta4,72,7.2,0.00000118293,0.1,0,0.01
RungeKutta4,73,7.3,7.55197E-7,0.1,0,0.01
RungeKutta4,74,7.4,4.82047E-7,0.1,0,0.01
RungeKutta4,75,7.5,3.07649E-7,0.1,0,0.01
RungeKutta4,76,7.6,1.96322E-7,0.1,0,0.01
RungeKutta4,77,7.7,1.25267E-7,0.1,0,0.01
RungeKutta4,78,7.8,7.99218E-8,0.1,0,0.01
RungeKutta4,79,7.9,5.09875E-8,0.1,0,0.01
RungeKutta4,80,8.0,3.25262E-8,0.1,0,0.01
RungeKutta4,81,8.1,2.07482E-8,0.1,0,0.01
RungeKutta4,82,8.2,1.32346E-8,0.1,0,0.01
RungeKutta4,83,8.3,8.4416E-9,0.1,0,0.01
RungeKutta4,84,8.4,5.38427E-9,0.1,0,0.01
RungeKutta4,85,8.5,3.43414E-9,0.1,0,0.01
RungeKutta4,86,8.6,2.19029E-9,0.1,0,0.01
RungeKutta4,87,8.7,1.39694E-9,0.1,0,0.01
RungeKutta4,88,8.8,8.90945E-10,0.1,0,0.01
RungeKutta4,89,8.9,5.68225E-10,0.1,0,0.01
RungeKutta4,90,9.0,3.62400E-10,0.1,0,0.01
RungeKutta4,91,9.1,2.31129E-10,0.1,0,0.01
RungeKutta4,92,9.2,1.47408E-10,0.1,0,0.01
RungeKutta4,93,9.3,9.40123E-11,0.1,0,0.01
RungeKutta4,94,9.4,5.99583E-11,0.1,0,0.01
RungeKutta4,95,9.5,3.82396E-11,0.1,0,0.01
