method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,0.000316097,0.1,0,0.01
RungeKutta4,2,0.2,0.000716815,0.1,0,0.01
RungeKutta4,3,0.3,0.00129480,0.1,0,0.01
RungeKutta4,4,0.4,0.00218374,0.1,0,0.01
RungeKutta4,5,0.5,0.00358690,0.1,0,0.01
RungeKutta4,6,0.6,0.00581830,0.1,0,0.01
RungeKutta4,7,0.7,0.00936118,0.1,0,0.01
RungeKutta4,8,0.8,0.0149466,0.1,0,0.01
RungeKutta4,9,0.9,0.0236464,0.1,0,0.01
RungeKutta4,10,1.0,0.0369563,0.1,0,0.01
RungeKutta4,11,1.1,0.0568108,0.1,0,0.01
RungeKutta4,12,1.2,0.0854345,0.1,0,0.01
RungeKutta4,13,1.3,0.124940,0.1,0,0.01
RungeKutta4,14,1.4,0.176698,0.1,0,0.01
RungeKutta4,15,1.5,0.240716,0.1,0,0.01
RungeKutta4,16,1.6,0.315376,0.1,0,0.01
RungeKutta4,17,1.7,0.397721,0.1,0,0.01
RungeKutta4,18,1.8,0.484129,0.1,0,0.01
RungeKutta4,19,1.9,0.571035,0.1,0,0.01
RungeKutta4,20,2.0,0.655431,0.1,0,0.01
RungeKutta4,21,2.1,0.735086,0.1,0,0.01
RungeKutta4,22,2.2,0.808543,0.1,0,0.01
RungeKutta4,23,2.3,0.875002,0.1,0,0.01
RungeKutta4,24,2.4,0.934154,0.1,0,0.01
RungeKutta4,25,2.5,0.986041,0.1,0,0.01
RungeKutta4,26,2.6,1.03092,0.1,0,0.01
RungeKutta4,27,2.7,1.06918,0.1,0,0.01
RungeKutta4,28,2.8,1.10127,0.1,0,0.01
RungeKutta4,29,2.9,1.12766,0.1,0,0.01
RungeKutta4,30,3.0,1.14879,0.1,0,0.01
RungeKutta4,31,3.1,1.16510,0.1,0,0.01
RungeKutta4,32,3.2,1.17699,0.1,0,0.01
RungeKutta4,33,3.3,1.18483,0.1,0,0.01
RungeKutta4,34,3.4,1.18895,0.1,0,0.01
RungeKutta4,35,3.5,1.18964,0.1,0,0.01
RungeKutta4,36,3.6,1.18718,0.1,0,0.01
RungeKutta4,37,3.7,1.18180,0.1,0,0.01
RungeKutta4,38,3.8,1.17373,0.1,0,0.01
RungeKutta4,39,3.9,1.16316,0.1,0,0.01
RungeKutta4,40,4.0,1.15028,0.1,0,0.01
RungeKutta4,41,4.1,1.13526,0.1,0,0.01
RungeKutta4,42,4.2,1.11824,0.1,0,0.01
RungeKutta4,43,4.3,1.09938,0.1,0,0.01
RungeKutta4,44,4.4,1.07881,0.1,0,0.01
RungeKutta4,45,4.5,1.05665,0.1,0,0.01
RungeKutta4,46,4.6,1.03303,0.1,0,0.01
RungeKutta4,47,4.7,1.00808,0.1,0,0.01
RungeKutta4,48,4.8,0.981904,0.1,0,0.01
RungeKutta4,49,4.9,0.954616,0.1,0,0.01
RungeKutta4,50,5.0,0.926324,0.1,0,0.01
RungeKutta4,51,5.1,0.897137,0.1,0,0.01
RungeKutta4,52,5.2,0.867161,0.1,0,0.01
RungeKutta4,53,5.3,0.836500,0.1,0,0.01
RungeKutta4,54,5.4,0.805256,0.1,0,0.01
RungeKutta4,55,5.5,0.773531,0.1,0,0.01
RungeKutta4,56,5.6,0.741427,0.1,0,0.01
RungeKutta4,57,5.7,0.709043,0.1,0,0.01
RungeKutta4,58,5.8,0.676478,0.1,0,0.01
RungeKutta4,59,5.9,0.643831,0.1,0,0.01
RungeKutta4,60,6.0,0.611199,0.1,0,0.01
RungeKutta4,61,6.1,0.578678,0.1,0,0.01
RungeKutta4,62,6.2,0.546363,0.1,0,0.01
RungeKutta4,63,6.3,0.514348,0.1,0,0.01
RungeKutta4,64,6.4,0.482724,0.1,0,0.01
RungeKutta4,65,6.5,0.451580,0.1,0,0.01
RungeKutta4,66,6.6,0.421007,0.1,0,0.01
RungeKutta4,67,6.7,0.391092,0.1,0,0.01
RungeKutta4,68,6.8,0.361917,0.1,0,0.01
RungeKutta4,69,6.9,0.333565,0.1,0,0.01
RungeKutta4,70,7.0,0.306116,0.1,0,0.01
RungeKutta4,71,7.1,0.279645,0.1,0,0.01
RungeKutta4,72,7.2,0.254228,0.1,0,0.01
RungeKutta4,73,7.3,0.229934,0.1,0,0.01
RungeKutta4,74,7.4,0.206831,0.1,0,0.01
RungeKutta4,75,7.5,0.184984,0.1,0,0.01
RungeKutta4,76,7.6,0.164453,0.1,0,0.01
RungeKutta4,77,7.7,0.145295,0.1,0,0.01
RungeKutta4,78,7.8,0.127562,0.1,0,0.01
