method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,7.18522E-8,0.1,0,0.01
RungeKutta4,2,0.2,1.67841E-7,0.1,0,0.01
RungeKutta4,3,0.3,3.13135E-7,0.1,0,0.01
RungeKutta4,4,0.4,5.46113E-7,0.1,0,0.01
RungeKutta4,5,0.5,9.27905E-7,0.1,0,0.01
RungeKutta4,6,0.6,0.00000155756,0.1,0,0.01
RungeKutta4,7,0.7,0.00000259630,0.1,0,0.01
RungeKutta4,8,0.8,0.00000430663,0.1,0,0.01
RungeKutta4,9,0.9,0.00000711531,0.1,0,0.01
RungeKutta4,10,1.0,0.0000117149,0.1,0,0.01
RungeKutta4,11,1.1,0.0000192263,0.1,0,0.01
RungeKutta4,12,1.2,0.0000314598,0.1,0,0.01
RungeKutta4,13,1.3,0.0000513316,0.1,0,0.01
RungeKutta4,14,1.4,0.0000835306,0.1,0,0.01
RungeKutta4,15,1.5,0.000135575,0.1,0,0.01
RungeKutta4,16,1.6,0.000219496,0.1,0,0.01
RungeKutta4,17,1.7,0.000354494,0.1,0,0.01
RungeKutta4,18,1.8,0.000571126,0.1,0,0.01
RungeKutta4,19,1.9,0.000917871,0.1,0,0.01
RungeKutta4,20,2.0,0.00147133,0.1,0,0.01
RungeKutta4,21,2.1,0.00235191,0.1,0,0.01
RungeKutta4,22,2.2,0.00374759,0.1,0,0.01
RungeKutta4,23,2.3,0.00594887,0.1,0,0.01
RungeKutta4,24,2.4,0.00939857,0.1,0,0.01
RungeKutta4,25,2.5,0.0147573,0.1,0,0.01
RungeKutta4,26,2.6,0.0229808,0.1,0,0.01
RungeKutta4,27,2.7,0.0353881,0.1,0,0.01
RungeKutta4,28,2.8,0.0536788,0.1,0,0.01
RungeKutta4,29,2.9,0.0798245,0.1,0,0.01
RungeKutta4,30,3.0,0.115764,0.1,0,0.01
RungeKutta4,31,3.1,0.162906,0.1,0,0.01
RungeKutta4,32,3.2,0.221590,0.1,0,0.01
RungeKutta4,33,3.3,0.290774,0.1,0,0.01
RungeKutta4,34,3.4,0.368138,0.1,0,0.01
RungeKutta4,35,3.5,0.450549,0.1,0,0.01
RungeKutta4,36,3.6,0.534664,0.1,0,0.01
