TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-06 06:33:23,orange_tip_butterfly_observed.csv,2.906,1.756,5.23,3.637,7.208,3.39,6.77,13.883,3.79,0.03786517510242281189014672017,
2026-05-06 06:33:23,orange_tip_butterfly_observed.csv,3.887,1.088,4.853,4.51,7.65,3.61,5.49,6.839,5.35,0.05260478007103835059920186950,
2026-05-06 06:33:23,orange_tip_butterfly_observed.csv,2.846,2.291,2.826,7.67,7.998,3.24,5.67,10.578,4.74,0.05158011998111172735423252494,
2026-05-06 06:33:24,orange_tip_butterfly_observed.csv,4.826,1.306,6.915,3.729,5.86,4.13,6.72,6.765,4.36,0.04991188494690293527060023755,
2026-05-06 06:33:24,orange_tip_butterfly_observed.csv,4.997,1.193,2.175,5.64,5.959,4.88,5.67,9.628,4.99,0.1204465002518890723554675127,
2026-05-06 06:33:24,orange_tip_butterfly_observed.csv,4.152,0.632,3.299,3.233,7.973,4.77,6.69,8.863,5.47,0.1769243458717817171574428031,
2026-05-06 06:33:25,orange_tip_butterfly_observed.csv,1.018,1.031,6.229,0.823,2.685,4.59,6.25,6.966,5.2,0.09599988971213251229228529230,
2026-05-06 06:33:25,orange_tip_butterfly_observed.csv,3.194,2.01,3.518,1.489,2.524,4.24,5.3,6.512,4.92,0.07076944656284594028130163794,
2026-05-06 06:33:25,orange_tip_butterfly_observed.csv,4.163,2.981,1.925,6.019,7.167,3.18,5.89,2.444,3.38,0.09843789676236923749394893370,
2026-05-06 06:33:25,orange_tip_butterfly_observed.csv,1.644,1.816,7.606,4.625,3.016,3.2,5.17,2.3,4.47,0.09936859499024114963242028243,
2026-05-06 06:33:26,orange_tip_butterfly_observed.csv,3.516,2.62,4.205,5.362,6.307,3.63,5.33,4.23,3.93,0.07025142757081400070755995534,
