method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,2.1800E-8,0.1,0,0.01
RungeKutta4,2,0.2,5.38832E-8,0.1,0,0.01
RungeKutta4,3,0.3,1.07450E-7,0.1,0,0.01
RungeKutta4,4,0.4,2.01724E-7,0.1,0,0.01
RungeKutta4,5,0.5,3.70701E-7,0.1,0,0.01
RungeKutta4,6,0.6,6.75081E-7,0.1,0,0.01
RungeKutta4,7,0.7,0.00000122345,0.1,0,0.01
RungeKutta4,8,0.8,0.00000220997,0.1,0,0.01
RungeKutta4,9,0.9,0.00000398125,0.1,0,0.01
RungeKutta4,10,1.0,0.00000715490,0.1,0,0.01
RungeKutta4,11,1.1,0.0000128294,0.1,0,0.01
RungeKutta4,12,1.2,0.0000229546,0.1,0,0.01
RungeKutta4,13,1.3,0.0000409856,0.1,0,0.01
RungeKutta4,14,1.4,0.0000730321,0.1,0,0.01
RungeKutta4,15,1.5,0.000129878,0.1,0,0.01
RungeKutta4,16,1.6,0.000230514,0.1,0,0.01
RungeKutta4,17,1.7,0.000408309,0.1,0,0.01
RungeKutta4,18,1.8,0.000721711,0.1,0,0.01
RungeKutta4,19,1.9,0.00127271,0.1,0,0.01
RungeKutta4,20,2.0,0.00223829,0.1,0,0.01
RungeKutta4,21,2.1,0.00392296,0.1,0,0.01
RungeKutta4,22,2.2,0.00684371,0.1,0,0.01
RungeKutta4,23,2.3,0.0118594,0.1,0,0.01
RungeKutta4,24,2.4,0.0203470,0.1,0,0.01
RungeKutta4,25,2.5,0.0343873,0.1,0,0.01
RungeKutta4,26,2.6,0.0568345,0.1,0,0.01
RungeKutta4,27,2.7,0.0910217,0.1,0,0.01
RungeKutta4,28,2.8,0.139865,0.1,0,0.01
RungeKutta4,29,2.9,0.204540,0.1,0,0.01
RungeKutta4,30,3.0,0.283524,0.1,0,0.01
RungeKutta4,31,3.1,0.372812,0.1,0,0.01
RungeKutta4,32,3.2,0.467181,0.1,0,0.01
RungeKutta4,33,3.3,0.561591,0.1,0,0.01
RungeKutta4,34,3.4,0.652040,0.1,0,0.01
RungeKutta4,35,3.5,0.735781,0.1,0,0.01
RungeKutta4,36,3.6,0.811150,0.1,0,0.01
RungeKutta4,37,3.7,0.877189,0.1,0,0.01
RungeKutta4,38,3.8,0.933261,0.1,0,0.01
RungeKutta4,39,3.9,0.978632,0.1,0,0.01
RungeKutta4,40,4.0,1.01205,0.1,0,0.01
RungeKutta4,41,4.1,1.03128,0.1,0,0.01
RungeKutta4,42,4.2,1.03266,0.1,0,0.01
RungeKutta4,43,4.3,1.01099,0.1,0,0.01
RungeKutta4,44,4.4,0.960391,0.1,0,0.01
RungeKutta4,45,4.5,0.876957,0.1,0,0.01
RungeKutta4,46,4.6,0.762867,0.1,0,0.01
RungeKutta4,47,4.7,0.628947,0.1,0,0.01
RungeKutta4,48,4.8,0.491903,0.1,0,0.01
RungeKutta4,49,4.9,0.367336,0.1,0,0.01
RungeKutta4,50,5.0,0.264342,0.1,0,0.01
RungeKutta4,51,5.1,0.184986,0.1,0,0.01
RungeKutta4,52,5.2,0.126830,0.1,0,0.01
RungeKutta4,53,5.3,0.0856698,0.1,0,0.01
RungeKutta4,54,5.4,0.0572346,0.1,0,0.01
RungeKutta4,55,5.5,0.0379223,0.1,0,0.01
RungeKutta4,56,5.6,0.0249663,0.1,0,0.01
RungeKutta4,57,5.7,0.0163539,0.1,0,0.01
RungeKutta4,58,5.8,0.0106688,0.1,0,0.01
RungeKutta4,59,5.9,0.00693673,0.1,0,0.01
RungeKutta4,60,6.0,0.00449758,0.1,0,0.01
RungeKutta4,61,6.1,0.00290923,0.1,0,0.01
RungeKutta4,62,6.2,0.00187804,0.1,0,0.01
RungeKutta4,63,6.3,0.00121028,0.1,0,0.01
RungeKutta4,64,6.4,0.000778797,0.1,0,0.01
RungeKutta4,65,6.5,0.000500505,0.1,0,0.01
RungeKutta4,66,6.6,0.000321303,0.1,0,0.01
RungeKutta4,67,6.7,0.000206067,0.1,0,0.01
RungeKutta4,68,6.8,0.000132052,0.1,0,0.01
RungeKutta4,69,6.9,0.0000845615,0.1,0,0.01
RungeKutta4,70,7.0,0.0000541168,0.1,0,0.01
RungeKutta4,71,7.1,0.0000346148,0.1,0,0.01
RungeKutta4,72,7.2,0.0000221306,0.1,0,0.01
RungeKutta4,73,7.3,0.0000141434,0.1,0,0.01
RungeKutta4,74,7.4,0.00000903582,0.1,0,0.01
RungeKutta4,75,7.5,0.00000577105,0.1,0,0.01
RungeKutta4,76,7.6,0.00000368498,0.1,0,0.01
RungeKutta4,77,7.7,0.00000235247,0.1,0,0.01
RungeKutta4,78,7.8,0.00000150154,0.1,0,0.01
RungeKutta4,79,7.9,9.5826E-7,0.1,0,0.01
RungeKutta4,80,8.0,6.1147E-7,0.1,0,0.01
RungeKutta4,81,8.1,3.90142E-7,0.1,0,0.01
RungeKutta4,82,8.2,2.48904E-7,0.1,0,0.01
RungeKutta4,83,8.3,1.58784E-7,0.1,0,0.01
RungeKutta4,84,8.4,1.01288E-7,0.1,0,0.01
RungeKutta4,85,8.5,6.46082E-8,0.1,0,0.01
RungeKutta4,86,8.6,4.12099E-8,0.1,0,0.01
RungeKutta4,87,8.7,2.62846E-8,0.1,0,0.01
RungeKutta4,88,8.8,1.67645E-8,0.1,0,0.01
RungeKutta4,89,8.9,1.06923E-8,0.1,0,0.01
RungeKutta4,90,9.0,6.81942E-9,0.1,0,0.01
RungeKutta4,91,9.1,4.34929E-9,0.1,0,0.01
RungeKutta4,92,9.2,2.77387E-9,0.1,0,0.01
RungeKutta4,93,9.3,1.76910E-9,0.1,0,0.01
RungeKutta4,94,9.4,1.12828E-9,0.1,0,0.01
RungeKutta4,95,9.5,7.19585E-10,0.1,0,0.01
RungeKutta4,96,9.6,4.58930E-10,0.1,0,0.01
RungeKutta4,97,9.7,2.92693E-10,0.1,0,0.01
RungeKutta4,98,9.8,1.86672E-10,0.1,0,0.01
RungeKutta4,99,9.9,1.19055E-10,0.1,0,0.01
RungeKutta4,100,10.0,7.59305E-11,0.1,0,0.01
