method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,0.0000262162,0.1,0,0.01
RungeKutta4,2,0.2,0.0000646852,0.1,0,0.01
RungeKutta4,3,0.3,0.000132336,0.1,0,0.01
RungeKutta4,4,0.4,0.000258892,0.1,0,0.01
RungeKutta4,5,0.5,0.000499580,0.1,0,0.01
RungeKutta4,6,0.6,0.000958465,0.1,0,0.01
RungeKutta4,7,0.7,0.00183164,0.1,0,0.01
RungeKutta4,8,0.8,0.00348620,0.1,0,0.01
RungeKutta4,9,0.9,0.00660112,0.1,0,0.01
RungeKutta4,10,1.0,0.0124057,0.1,0,0.01
RungeKutta4,11,1.1,0.0230445,0.1,0,0.01
RungeKutta4,12,1.2,0.0420267,0.1,0,0.01
RungeKutta4,13,1.3,0.0744960,0.1,0,0.01
RungeKutta4,14,1.4,0.126706,0.1,0,0.01
RungeKutta4,15,1.5,0.204074,0.1,0,0.01
RungeKutta4,16,1.6,0.308341,0.1,0,0.01
RungeKutta4,17,1.7,0.435975,0.1,0,0.01
RungeKutta4,18,1.8,0.579332,0.1,0,0.01
RungeKutta4,19,1.9,0.729487,0.1,0,0.01
RungeKutta4,20,2.0,0.878675,0.1,0,0.01
RungeKutta4,21,2.1,1.02134,0.1,0,0.01
RungeKutta4,22,2.2,1.15414,0.1,0,0.01
RungeKutta4,23,2.3,1.27547,0.1,0,0.01
RungeKutta4,24,2.4,1.38490,0.1,0,0.01
RungeKutta4,25,2.5,1.48267,0.1,0,0.01
RungeKutta4,26,2.6,1.56941,0.1,0,0.01
RungeKutta4,27,2.7,1.64589,0.1,0,0.01
RungeKutta4,28,2.8,1.71289,0.1,0,0.01
RungeKutta4,29,2.9,1.77112,0.1,0,0.01
RungeKutta4,30,3.0,1.82113,0.1,0,0.01
RungeKutta4,31,3.1,1.86324,0.1,0,0.01
RungeKutta4,32,3.2,1.89742,0.1,0,0.01
RungeKutta4,33,3.3,1.92302,0.1,0,0.01
RungeKutta4,34,3.4,1.93845,0.1,0,0.01
RungeKutta4,35,3.5,1.94051,0.1,0,0.01
RungeKutta4,36,3.6,1.92362,0.1,0,0.01
RungeKutta4,37,3.7,1.87921,0.1,0,0.01
RungeKutta4,38,3.8,1.79657,0.1,0,0.01
RungeKutta4,39,3.9,1.66734,0.1,0,0.01
RungeKutta4,40,4.0,1.49398,0.1,0,0.01
RungeKutta4,41,4.1,1.29554,0.1,0,0.01
RungeKutta4,42,4.2,1.10102,0.1,0,0.01
RungeKutta4,43,4.3,0.934027,0.1,0,0.01
RungeKutta4,44,4.4,0.803980,0.1,0,0.01
RungeKutta4,45,4.5,0.708650,0.1,0,0.01
RungeKutta4,46,4.6,0.640663,0.1,0,0.01
RungeKutta4,47,4.7,0.592137,0.1,0,0.01
RungeKutta4,48,4.8,0.556612,0.1,0,0.01
RungeKutta4,49,4.9,0.529404,0.1,0,0.01
RungeKutta4,50,5.0,0.507332,0.1,0,0.01
RungeKutta4,51,5.1,0.488324,0.1,0,0.01
RungeKutta4,52,5.2,0.471063,0.1,0,0.01
RungeKutta4,53,5.3,0.454738,0.1,0,0.01
RungeKutta4,54,5.4,0.438861,0.1,0,0.01
RungeKutta4,55,5.5,0.423140,0.1,0,0.01
RungeKutta4,56,5.6,0.407422,0.1,0,0.01
RungeKutta4,57,5.7,0.391622,0.1,0,0.01
RungeKutta4,58,5.8,0.375704,0.1,0,0.01
RungeKutta4,59,5.9,0.359660,0.1,0,0.01
RungeKutta4,60,6.0,0.343496,0.1,0,0.01
RungeKutta4,61,6.1,0.327222,0.1,0,0.01
RungeKutta4,62,6.2,0.310841,0.1,0,0.01
RungeKutta4,63,6.3,0.294334,0.1,0,0.01
RungeKutta4,64,6.4,0.277646,0.1,0,0.01
RungeKutta4,65,6.5,0.260660,0.1,0,0.01
RungeKutta4,66,6.6,0.243153,0.1,0,0.01
RungeKutta4,67,6.7,0.224750,0.1,0,0.01
RungeKutta4,68,6.8,0.204866,0.1,0,0.01
