method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,6.1690E-10,0.1,0,0.01
RungeKutta4,2,0.2,1.02767E-8,0.1,0,0.01
RungeKutta4,3,0.3,8.01922E-8,0.1,0,0.01
RungeKutta4,4,0.4,3.54007E-7,0.1,0,0.01
RungeKutta4,5,0.5,0.00000119841,0.1,0,0.01
RungeKutta4,6,0.6,0.00000349261,0.1,0,0.01
RungeKutta4,7,0.7,0.00000925444,0.1,0,0.01
RungeKutta4,8,0.8,0.0000229624,0.1,0,0.01
RungeKutta4,9,0.9,0.0000542912,0.1,0,0.01
RungeKutta4,10,1.0,0.000123654,0.1,0,0.01
RungeKutta4,11,1.1,0.000273143,0.1,0,0.01
RungeKutta4,12,1.2,0.000587400,0.1,0,0.01
RungeKutta4,13,1.3,0.00123122,0.1,0,0.01
RungeKutta4,14,1.4,0.00251130,0.1,0,0.01
RungeKutta4,15,1.5,0.00496017,0.1,0,0.01
RungeKutta4,16,1.6,0.00940934,0.1,0,0.01
RungeKutta4,17,1.7,0.0169615,0.1,0,0.01
RungeKutta4,18,1.8,0.0287544,0.1,0,0.01
RungeKutta4,19,1.9,0.0455507,0.1,0,0.01
RungeKutta4,20,2.0,0.0674179,0.1,0,0.01
RungeKutta4,21,2.1,0.0937496,0.1,0,0.01
RungeKutta4,22,2.2,0.123567,0.1,0,0.01
RungeKutta4,23,2.3,0.155848,0.1,0,0.01
RungeKutta4,24,2.4,0.189732,0.1,0,0.01
RungeKutta4,25,2.5,0.224581,0.1,0,0.01
RungeKutta4,26,2.6,0.259966,0.1,0,0.01
RungeKutta4,27,2.7,0.295620,0.1,0,0.01
RungeKutta4,28,2.8,0.331385,0.1,0,0.01
RungeKutta4,29,2.9,0.367172,0.1,0,0.01
RungeKutta4,30,3.0,0.402936,0.1,0,0.01
RungeKutta4,31,3.1,0.438649,0.1,0,0.01
RungeKutta4,32,3.2,0.474292,0.1,0,0.01
RungeKutta4,33,3.3,0.509846,0.1,0,0.01
RungeKutta4,34,3.4,0.545291,0.1,0,0.01
RungeKutta4,35,3.5,0.580597,0.1,0,0.01
RungeKutta4,36,3.6,0.615727,0.1,0,0.01
RungeKutta4,37,3.7,0.650641,0.1,0,0.01
RungeKutta4,38,3.8,0.685293,0.1,0,0.01
RungeKutta4,39,3.9,0.719628,0.1,0,0.01
RungeKutta4,40,4.0,0.753590,0.1,0,0.01
RungeKutta4,41,4.1,0.787117,0.1,0,0.01
RungeKutta4,42,4.2,0.820142,0.1,0,0.01
RungeKutta4,43,4.3,0.852600,0.1,0,0.01
RungeKutta4,44,4.4,0.884423,0.1,0,0.01
RungeKutta4,45,4.5,0.915540,0.1,0,0.01
RungeKutta4,46,4.6,0.945882,0.1,0,0.01
RungeKutta4,47,4.7,0.975378,0.1,0,0.01
RungeKutta4,48,4.8,1.00396,0.1,0,0.01
RungeKutta4,49,4.9,1.03156,0.1,0,0.01
RungeKutta4,50,5.0,1.05810,0.1,0,0.01
RungeKutta4,51,5.1,1.08353,0.1,0,0.01
RungeKutta4,52,5.2,1.10778,0.1,0,0.01
RungeKutta4,53,5.3,1.13079,0.1,0,0.01
RungeKutta4,54,5.4,1.15249,0.1,0,0.01
RungeKutta4,55,5.5,1.17284,0.1,0,0.01
RungeKutta4,56,5.6,1.19178,0.1,0,0.01
RungeKutta4,57,5.7,1.20926,0.1,0,0.01
RungeKutta4,58,5.8,1.22524,0.1,0,0.01
RungeKutta4,59,5.9,1.23968,0.1,0,0.01
RungeKutta4,60,6.0,1.25254,0.1,0,0.01
RungeKutta4,61,6.1,1.26378,0.1,0,0.01
RungeKutta4,62,6.2,1.27337,0.1,0,0.01
RungeKutta4,63,6.3,1.28129,0.1,0,0.01
RungeKutta4,64,6.4,1.28752,0.1,0,0.01
RungeKutta4,65,6.5,1.29205,0.1,0,0.01
RungeKutta4,66,6.6,1.29486,0.1,0,0.01
RungeKutta4,67,6.7,1.29594,0.1,0,0.01
RungeKutta4,68,6.8,1.29529,0.1,0,0.01
RungeKutta4,69,6.9,1.29292,0.1,0,0.01
RungeKutta4,70,7.0,1.28883,0.1,0,0.01
RungeKutta4,71,7.1,1.28303,0.1,0,0.01
RungeKutta4,72,7.2,1.27554,0.1,0,0.01
RungeKutta4,73,7.3,1.26638,0.1,0,0.01
RungeKutta4,74,7.4,1.25557,0.1,0,0.01
RungeKutta4,75,7.5,1.24315,0.1,0,0.01
RungeKutta4,76,7.6,1.22915,0.1,0,0.01
RungeKutta4,77,7.7,1.21360,0.1,0,0.01
RungeKutta4,78,7.8,1.19656,0.1,0,0.01
RungeKutta4,79,7.9,1.17806,0.1,0,0.01
RungeKutta4,80,8.0,1.15816,0.1,0,0.01
RungeKutta4,81,8.1,1.13691,0.1,0,0.01
RungeKutta4,82,8.2,1.11437,0.1,0,0.01
RungeKutta4,83,8.3,1.09060,0.1,0,0.01
RungeKutta4,84,8.4,1.06567,0.1,0,0.01
RungeKutta4,85,8.5,1.03965,0.1,0,0.01
RungeKutta4,86,8.6,1.01260,0.1,0,0.01
RungeKutta4,87,8.7,0.984594,0.1,0,0.01
RungeKutta4,88,8.8,0.955704,0.1,0,0.01
RungeKutta4,89,8.9,0.926002,0.1,0,0.01
RungeKutta4,90,9.0,0.895561,0.1,0,0.01
RungeKutta4,91,9.1,0.864442,0.1,0,0.01
RungeKutta4,92,9.2,0.832690,0.1,0,0.01
RungeKutta4,93,9.3,0.800328,0.1,0,0.01
RungeKutta4,94,9.4,0.767346,0.1,0,0.01
RungeKutta4,95,9.5,0.733653,0.1,0,0.01
RungeKutta4,96,9.6,0.699054,0.1,0,0.01
RungeKutta4,97,9.7,0.663167,0.1,0,0.01
RungeKutta4,98,9.8,0.625339,0.1,0,0.01
RungeKutta4,99,9.9,0.584530,0.1,0,0.01
RungeKutta4,100,10.0,0.539250,0.1,0,0.01
