method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,1.8793E-7,0.1,0,0.01
RungeKutta4,2,0.2,4.61988E-7,0.1,0,0.01
RungeKutta4,3,0.3,9.15528E-7,0.1,0,0.01
RungeKutta4,4,0.4,0.00000170730,0.1,0,0.01
RungeKutta4,5,0.5,0.00000311575,0.1,0,0.01
RungeKutta4,6,0.6,0.00000563428,0.1,0,0.01
RungeKutta4,7,0.7,0.0000101394,0.1,0,0.01
RungeKutta4,8,0.8,0.0000181866,0.1,0,0.01
RungeKutta4,9,0.9,0.0000325332,0.1,0,0.01
RungeKutta4,10,1.0,0.0000580562,0.1,0,0.01
RungeKutta4,11,1.1,0.000103367,0.1,0,0.01
RungeKutta4,12,1.2,0.000183631,0.1,0,0.01
RungeKutta4,13,1.3,0.000325498,0.1,0,0.01
RungeKutta4,14,1.4,0.000575660,0.1,0,0.01
RungeKutta4,15,1.5,0.00101561,0.1,0,0.01
RungeKutta4,16,1.6,0.00178689,0.1,0,0.01
RungeKutta4,17,1.7,0.00313345,0.1,0,0.01
RungeKutta4,18,1.8,0.00547097,0.1,0,0.01
RungeKutta4,19,1.9,0.00949464,0.1,0,0.01
RungeKutta4,20,2.0,0.0163325,0.1,0,0.01
RungeKutta4,21,2.1,0.0277273,0.1,0,0.01
RungeKutta4,22,2.2,0.0461618,0.1,0,0.01
RungeKutta4,23,2.3,0.0747370,0.1,0,0.01
RungeKutta4,24,2.4,0.116550,0.1,0,0.01
RungeKutta4,25,2.5,0.173546,0.1,0,0.01
RungeKutta4,26,2.6,0.245386,0.1,0,0.01
RungeKutta4,27,2.7,0.329181,0.1,0,0.01
RungeKutta4,28,2.8,0.420349,0.1,0,0.01
RungeKutta4,29,2.9,0.513966,0.1,0,0.01
RungeKutta4,30,3.0,0.605820,0.1,0,0.01
RungeKutta4,31,3.1,0.692864,0.1,0,0.01
RungeKutta4,32,3.2,0.773213,0.1,0,0.01
RungeKutta4,33,3.3,0.845918,0.1,0,0.01
RungeKutta4,34,3.4,0.910697,0.1,0,0.01
RungeKutta4,35,3.5,0.967681,0.1,0,0.01
RungeKutta4,36,3.6,1.01724,0.1,0,0.01
RungeKutta4,37,3.7,1.05987,0.1,0,0.01
RungeKutta4,38,3.8,1.09611,0.1,0,0.01
RungeKutta4,39,3.9,1.12649,0.1,0,0.01
RungeKutta4,40,4.0,1.15151,0.1,0,0.01
RungeKutta4,41,4.1,1.17164,0.1,0,0.01
RungeKutta4,42,4.2,1.18729,0.1,0,0.01
RungeKutta4,43,4.3,1.19883,0.1,0,0.01
RungeKutta4,44,4.4,1.20660,0.1,0,0.01
RungeKutta4,45,4.5,1.21090,0.1,0,0.01
RungeKutta4,46,4.6,1.21198,0.1,0,0.01
RungeKutta4,47,4.7,1.21008,0.1,0,0.01
RungeKutta4,48,4.8,1.20542,0.1,0,0.01
RungeKutta4,49,4.9,1.19819,0.1,0,0.01
RungeKutta4,50,5.0,1.18855,0.1,0,0.01
RungeKutta4,51,5.1,1.17666,0.1,0,0.01
RungeKutta4,52,5.2,1.16267,0.1,0,0.01
RungeKutta4,53,5.3,1.14672,0.1,0,0.01
RungeKutta4,54,5.4,1.12893,0.1,0,0.01
RungeKutta4,55,5.5,1.10943,0.1,0,0.01
RungeKutta4,56,5.6,1.08833,0.1,0,0.01
RungeKutta4,57,5.7,1.06574,0.1,0,0.01
RungeKutta4,58,5.8,1.04178,0.1,0,0.01
RungeKutta4,59,5.9,1.01654,0.1,0,0.01
RungeKutta4,60,6.0,0.990131,0.1,0,0.01
RungeKutta4,61,6.1,0.962652,0.1,0,0.01
RungeKutta4,62,6.2,0.934206,0.1,0,0.01
RungeKutta4,63,6.3,0.904891,0.1,0,0.01
RungeKutta4,64,6.4,0.874806,0.1,0,0.01
RungeKutta4,65,6.5,0.844051,0.1,0,0.01
RungeKutta4,66,6.6,0.812725,0.1,0,0.01
RungeKutta4,67,6.7,0.780924,0.1,0,0.01
RungeKutta4,68,6.8,0.748746,0.1,0,0.01
RungeKutta4,69,6.9,0.716288,0.1,0,0.01
RungeKutta4,70,7.0,0.683647,0.1,0,0.01
RungeKutta4,71,7.1,0.650918,0.1,0,0.01
RungeKutta4,72,7.2,0.618198,0.1,0,0.01
RungeKutta4,73,7.3,0.585581,0.1,0,0.01
RungeKutta4,74,7.4,0.553160,0.1,0,0.01
RungeKutta4,75,7.5,0.521028,0.1,0,0.01
RungeKutta4,76,7.6,0.489275,0.1,0,0.01
RungeKutta4,77,7.7,0.457992,0.1,0,0.01
RungeKutta4,78,7.8,0.427265,0.1,0,0.01
RungeKutta4,79,7.9,0.397183,0.1,0,0.01
RungeKutta4,80,8.0,0.367828,0.1,0,0.01
RungeKutta4,81,8.1,0.339282,0.1,0,0.01
RungeKutta4,82,8.2,0.311623,0.1,0,0.01
RungeKutta4,83,8.3,0.284928,0.1,0,0.01
RungeKutta4,84,8.4,0.259269,0.1,0,0.01
RungeKutta4,85,8.5,0.234716,0.1,0,0.01
RungeKutta4,86,8.6,0.211333,0.1,0,0.01
RungeKutta4,87,8.7,0.189180,0.1,0,0.01
RungeKutta4,88,8.8,0.168312,0.1,0,0.01
RungeKutta4,89,8.9,0.148776,0.1,0,0.01
RungeKutta4,90,9.0,0.130614,0.1,0,0.01
RungeKutta4,91,9.1,0.113856,0.1,0,0.01
RungeKutta4,92,9.2,0.0985216,0.1,0,0.01
RungeKutta4,93,9.3,0.0846180,0.1,0,0.01
RungeKutta4,94,9.4,0.0721345,0.1,0,0.01
RungeKutta4,95,9.5,0.0610388,0.1,0,0.01
RungeKutta4,96,9.6,0.0512719,0.1,0,0.01
RungeKutta4,97,9.7,0.0427449,0.1,0,0.01
RungeKutta4,98,9.8,0.0353393,0.1,0,0.01
RungeKutta4,99,9.9,0.0289213,0.1,0,0.01
RungeKutta4,100,10.0,0.0233686,0.1,0,0.01
RungeKutta4,101,10.1,0.0185954,0.1,0,0.01
RungeKutta4,102,10.2,0.0145520,0.1,0,0.01
RungeKutta4,103,10.3,0.0111996,0.1,0,0.01
RungeKutta4,104,10.4,0.0084864,0.1,0,0.01
RungeKutta4,105,10.5,0.00634083,0.1,0,0.01
RungeKutta4,106,10.6,0.00467873,0.1,0,0.01
RungeKutta4,107,10.7,0.00341378,0.1,0,0.01
RungeKutta4,108,10.8,0.00246575,0.1,0,0.01
RungeKutta4,109,10.9,0.00176468,0.1,0,0.01
