TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-05 17:33:29,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.57,8.72,5.527,7.05,0.02040036114683868371228743719,
2026-05-05 17:33:29,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.94,9.71,5.893,9.38,0.04295516521455378023601528877,
2026-05-05 17:33:29,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.92,9.37,6.045,8.98,0.004948726109473836735506913001,
2026-05-05 17:33:29,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.05,9.55,4.252,8.55,0.04918274560686042021227612774,
2026-05-05 17:33:30,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.0,9.72,6.696,7.12,0.02774676856909022653946172720,
2026-05-05 17:33:30,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.59,8.51,6.104,8.21,0.02949142314973040671636483261,
2026-05-05 17:33:30,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.2,9.98,2.814,7.61,0.03536408657618534999910960352,
2026-05-05 17:33:30,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.99,9.67,6.378,8.73,0.03538359386436793506641132968,
2026-05-05 17:33:31,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.89,9.54,3.624,8.32,0.02487832508297004981279100011,
2026-05-05 17:33:31,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.03,8.08,5.372,6.63,0.09686141860949017366132761013,
2026-05-05 17:33:31,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.0,9.16,2.516,6.52,0.07101999006873738327925738761,
2026-05-05 17:33:32,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.76,8.73,6.043,6.6,0.03899159272473037554784058265,
2026-05-05 17:33:32,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.92,9.59,6.78,8.28,0.02871282021101581703547396099,
2026-05-05 17:33:32,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.73,9.88,3.246,7.13,0.04851186029105637572401156224,
2026-05-05 17:33:32,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.18,8.0,7.295,6.56,0.1039702763193903674493992522,
2026-05-05 17:33:33,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.43,9.75,2.227,9.01,0.05172697912541691575252043371,
2026-05-05 17:33:33,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.14,9.31,4.544,8.51,0.02423173032915870323194395466,
2026-05-05 17:33:33,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.71,9.6,4.083,8.31,0.02596315446643510169625922085,
2026-05-05 17:33:34,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.09,9.42,7.62,8.41,0.005168556503813438493815223337,
2026-05-05 17:33:34,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.07,9.06,2.734,7.85,0.003739697181666785191139570301,
2026-05-05 17:33:34,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.78,9.08,4.12,7.64,0.01800988171197227904506612037,
2026-05-05 17:33:34,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.52,8.92,5.27,8.78,0.02625484036466990683808704289,
2026-05-05 17:33:35,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.55,8.42,4.357,7.82,0.07199252977780227320316244446,
2026-05-05 17:33:35,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.4,9.02,6.861,6.75,0.007888820805388490553406102358,
2026-05-05 17:33:35,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.65,9.23,7.545,8.14,0.0149302908885579566286881586,
2026-05-05 17:33:35,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.66,9.72,3.413,7.64,0.04704053002160657067603555941,
2026-05-05 17:33:36,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.07,9.79,4.837,7.69,0.06165609915095397320678776161,
2026-05-05 17:33:36,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.4,8.26,4.566,8.22,0.1043957267057665554808247261,
2026-05-05 17:33:36,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.64,8.87,6.632,7.08,0.05453631005773267647114721510,
2026-05-05 17:33:37,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.11,9.42,4.608,6.63,0.000584866187424713745851829677,
2026-05-05 17:33:37,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.33,9.84,2.476,7.6,0.03312605855829607462352256575,
2026-05-05 17:33:37,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.83,8.23,6.854,6.91,0.08558908999229351786712577599,
2026-05-05 17:33:37,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.58,8.76,3.742,7.65,0.01762376037729751431202500672,
2026-05-05 17:33:38,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.59,8.1,7.169,7.15,0.1216789089913980987734178751,
2026-05-05 17:33:38,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.3,9.08,7.17,7.93,0.02809610142462059975293200890,
2026-05-05 17:33:38,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.52,8.67,2.551,8.26,0.05689352107001025793908721956,
2026-05-05 17:33:39,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.6,8.75,5.456,8.7,0.03136736074822800407814507340,
2026-05-05 17:33:39,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.83,8.59,2.8,7.92,0.05917928640572298374496409037,
2026-05-05 17:33:39,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.39,8.63,6.569,8.06,0.02056994115620358587946306388,
2026-05-05 17:33:39,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.86,8.35,2.652,7.0,0.04639590563719011822325351861,
2026-05-05 17:33:40,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.2,8.85,2.83,8.22,0.05466809584254029829660384469,
2026-05-05 17:33:40,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.46,8.48,2.043,7.57,0.07136570117876400315200532523,
2026-05-05 17:33:40,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.75,9.69,5.495,9.4,0.03976515263037252571366723227,
2026-05-05 17:33:41,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.16,9.94,3.784,9.18,0.05251219360167438880642454639,
2026-05-05 17:33:41,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.67,8.6,5.029,6.83,0.06618816401586876157327888145,
2026-05-05 17:33:41,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.41,8.99,7.541,7.96,0.02837390817535019677085066327,
2026-05-05 17:33:41,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.74,8.3,5.127,8.29,0.07583949909018898292228158671,
2026-05-05 17:33:42,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.93,8.51,2.882,8.09,0.02445664282651473722652083154,
2026-05-05 17:33:42,rosebay_willowherb_observed.csv,2.0,1.5,3.0,5.24,9.64,2.33,8.34,0.04688821805206321654944743066,
2026-05-05 17:33:42,rosebay_willowherb_observed.csv,2.0,1.5,3.0,6.11,8.52,2.837,6.61,0.04474080955550613601772955925,
