method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,0.0239662,0.1,0,0.01
RungeKutta4,2,0.2,0.0517164,0.1,0,0.01
RungeKutta4,3,0.3,0.0866094,0.1,0,0.01
RungeKutta4,4,0.4,0.131314,0.1,0,0.01
RungeKutta4,5,0.5,0.187337,0.1,0,0.01
RungeKutta4,6,0.6,0.254581,0.1,0,0.01
RungeKutta4,7,0.7,0.331267,0.1,0,0.01
RungeKutta4,8,0.8,0.414345,0.1,0,0.01
RungeKutta4,9,0.9,0.500175,0.1,0,0.01
RungeKutta4,10,1.0,0.585164,0.1,0,0.01
RungeKutta4,11,1.1,0.666149,0.1,0,0.01
RungeKutta4,12,1.2,0.740486,0.1,0,0.01
RungeKutta4,13,1.3,0.805912,0.1,0,0.01
RungeKutta4,14,1.4,0.860269,0.1,0,0.01
RungeKutta4,15,1.5,0.901164,0.1,0,0.01
RungeKutta4,16,1.6,0.925673,0.1,0,0.01
RungeKutta4,17,1.7,0.930220,0.1,0,0.01
RungeKutta4,18,1.8,0.910926,0.1,0,0.01
RungeKutta4,19,1.9,0.864684,0.1,0,0.01
RungeKutta4,20,2.0,0.791016,0.1,0,0.01
RungeKutta4,21,2.1,0.693948,0.1,0,0.01
RungeKutta4,22,2.2,0.582405,0.1,0,0.01
RungeKutta4,23,2.3,0.468064,0.1,0,0.01
RungeKutta4,24,2.4,0.361706,0.1,0,0.01
RungeKutta4,25,2.5,0.270384,0.1,0,0.01
RungeKutta4,26,2.6,0.196773,0.1,0,0.01
RungeKutta4,27,2.7,0.140227,0.1,0,0.01
RungeKutta4,28,2.8,0.0983205,0.1,0,0.01
RungeKutta4,29,2.9,0.0680753,0.1,0,0.01
RungeKutta4,30,3.0,0.0466710,0.1,0,0.01
RungeKutta4,31,3.1,0.0317451,0.1,0,0.01
RungeKutta4,32,3.2,0.0214542,0.1,0,0.01
RungeKutta4,33,3.3,0.0144217,0.1,0,0.01
RungeKutta4,34,3.4,0.00965017,0.1,0,0.01
RungeKutta4,35,3.5,0.00643180,0.1,0,0.01
RungeKutta4,36,3.6,0.00427180,0.1,0,0.01
RungeKutta4,37,3.7,0.00282835,0.1,0,0.01
RungeKutta4,38,3.8,0.00186737,0.1,0,0.01
RungeKutta4,39,3.9,0.00122974,0.1,0,0.01
RungeKutta4,40,4.0,0.000807923,0.1,0,0.01
RungeKutta4,41,4.1,0.000529640,0.1,0,0.01
RungeKutta4,42,4.2,0.000346507,0.1,0,0.01
RungeKutta4,43,4.3,0.000226269,0.1,0,0.01
RungeKutta4,44,4.4,0.000147494,0.1,0,0.01
RungeKutta4,45,4.5,0.0000959852,0.1,0,0.01
RungeKutta4,46,4.6,0.0000623677,0.1,0,0.01
RungeKutta4,47,4.7,0.0000404650,0.1,0,0.01
RungeKutta4,48,4.8,0.0000262182,0.1,0,0.01
RungeKutta4,49,4.9,0.0000169652,0.1,0,0.01
RungeKutta4,50,5.0,0.0000109644,0.1,0,0.01
RungeKutta4,51,5.1,0.00000707788,0.1,0,0.01
RungeKutta4,52,5.2,0.00000456401,0.1,0,0.01
RungeKutta4,53,5.3,0.00000293995,0.1,0,0.01
RungeKutta4,54,5.4,0.00000189194,0.1,0,0.01
RungeKutta4,55,5.5,0.00000121640,0.1,0,0.01
RungeKutta4,56,5.6,7.81392E-7,0.1,0,0.01
RungeKutta4,57,5.7,5.01542E-7,0.1,0,0.01
RungeKutta4,58,5.8,3.21672E-7,0.1,0,0.01
RungeKutta4,59,5.9,2.06163E-7,0.1,0,0.01
RungeKutta4,60,6.0,1.32044E-7,0.1,0,0.01
RungeKutta4,61,6.1,8.45202E-8,0.1,0,0.01
RungeKutta4,62,6.2,5.40699E-8,0.1,0,0.01
RungeKutta4,63,6.3,3.45721E-8,0.1,0,0.01
RungeKutta4,64,6.4,2.20949E-8,0.1,0,0.01
RungeKutta4,65,6.5,1.41148E-8,0.1,0,0.01
RungeKutta4,66,6.6,9.0135E-9,0.1,0,0.01
RungeKutta4,67,6.7,5.75402E-9,0.1,0,0.01
RungeKutta4,68,6.8,3.67220E-9,0.1,0,0.01
RungeKutta4,69,6.9,2.34306E-9,0.1,0,0.01
RungeKutta4,70,7.0,1.49472E-9,0.1,0,0.01
RungeKutta4,71,7.1,9.5341E-10,0.1,0,0.01
RungeKutta4,72,7.2,6.08082E-10,0.1,0,0.01
RungeKutta4,73,7.3,3.87819E-10,0.1,0,0.01
RungeKutta4,74,7.4,2.47343E-10,0.1,0,0.01
RungeKutta4,75,7.5,1.57760E-10,0.1,0,0.01
RungeKutta4,76,7.6,1.00633E-10,0.1,0,0.01
RungeKutta4,77,7.7,6.42027E-11,0.1,0,0.01
RungeKutta4,78,7.8,4.09687E-11,0.1,0,0.01
RungeKutta4,79,7.9,2.61492E-11,0.1,0,0.01
RungeKutta4,80,8.0,1.66952E-11,0.1,0,0.01
RungeKutta4,81,8.1,1.06627E-11,0.1,0,0.01
RungeKutta4,82,8.2,6.81252E-12,0.1,0,0.01
RungeKutta4,83,8.3,4.35439E-12,0.1,0,0.01
RungeKutta4,84,8.4,2.78448E-12,0.1,0,0.01
RungeKutta4,85,8.5,1.78144E-12,0.1,0,0.01
RungeKutta4,86,8.6,1.14031E-12,0.1,0,0.01
RungeKutta4,87,8.7,7.30315E-13,0.1,0,0.01
RungeKutta4,88,8.8,4.68000E-13,0.1,0,0.01
RungeKutta4,89,8.9,3.00082E-13,0.1,0,0.01
