method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,2.55153E-8,0.1,0,0.01
RungeKutta4,2,0.2,5.21471E-8,0.1,0,0.01
RungeKutta4,3,0.3,8.28291E-8,0.1,0,0.01
RungeKutta4,4,0.4,1.19913E-7,0.1,0,0.01
RungeKutta4,5,0.5,1.64972E-7,0.1,0,0.01
RungeKutta4,6,0.6,2.18209E-7,0.1,0,0.01
RungeKutta4,7,0.7,2.77457E-7,0.1,0,0.01
RungeKutta4,8,0.8,3.36669E-7,0.1,0,0.01
RungeKutta4,9,0.9,3.84308E-7,0.1,0,0.01
RungeKutta4,10,1.0,4.02812E-7,0.1,0,0.01
RungeKutta4,11,1.1,3.72016E-7,0.1,0,0.01
RungeKutta4,12,1.2,2.84561E-7,0.1,0,0.01
RungeKutta4,13,1.3,1.89420E-7,0.1,0,0.01
RungeKutta4,14,1.4,2.97389E-7,0.1,0,0.01
RungeKutta4,15,1.5,0.00000122758,0.1,0,0.01
RungeKutta4,16,1.6,0.00000452618,0.1,0,0.01
RungeKutta4,17,1.7,0.0000137522,0.1,0,0.01
RungeKutta4,18,1.8,0.0000366422,0.1,0,0.01
RungeKutta4,19,1.9,0.0000893239,0.1,0,0.01
RungeKutta4,20,2.0,0.000204215,0.1,0,0.01
RungeKutta4,21,2.1,0.000444272,0.1,0,0.01
RungeKutta4,22,2.2,0.000927082,0.1,0,0.01
RungeKutta4,23,2.3,0.00186174,0.1,0,0.01
RungeKutta4,24,2.4,0.00359636,0.1,0,0.01
RungeKutta4,25,2.5,0.00665859,0.1,0,0.01
RungeKutta4,26,2.6,0.0117499,0.1,0,0.01
RungeKutta4,27,2.7,0.0196446,0.1,0,0.01
RungeKutta4,28,2.8,0.0309954,0.1,0,0.01
RungeKutta4,29,2.9,0.0461320,0.1,0,0.01
RungeKutta4,30,3.0,0.0649825,0.1,0,0.01
RungeKutta4,31,3.1,0.0871485,0.1,0,0.01
RungeKutta4,32,3.2,0.112061,0.1,0,0.01
RungeKutta4,33,3.3,0.139130,0.1,0,0.01
RungeKutta4,34,3.4,0.167835,0.1,0,0.01
RungeKutta4,35,3.5,0.197762,0.1,0,0.01
RungeKutta4,36,3.6,0.228607,0.1,0,0.01
RungeKutta4,37,3.7,0.260151,0.1,0,0.01
RungeKutta4,38,3.8,0.292246,0.1,0,0.01
RungeKutta4,39,3.9,0.324789,0.1,0,0.01
RungeKutta4,40,4.0,0.357706,0.1,0,0.01
RungeKutta4,41,4.1,0.390941,0.1,0,0.01
RungeKutta4,42,4.2,0.424448,0.1,0,0.01
RungeKutta4,43,4.3,0.458183,0.1,0,0.01
RungeKutta4,44,4.4,0.492103,0.1,0,0.01
RungeKutta4,45,4.5,0.526158,0.1,0,0.01
