month,observed,simulated_raw,synthesised
1,0,1.6620195e-07,7.71091893563776e-07
2,0,1.47018258e-05,6.820893915484612e-05
3,0,0.012221415900000001,0.056701108069799666
4,5,0.1874712,0.8697703161525684
5,4,0.5095571,2.364083869761253
6,5,0.8428128000000001,3.910219572464632
7,1,1.1192389999999999,5.192695512058836
8,9,1.2655809999999998,5.871647412971611
9,2,0.8813492,4.089008724139032
10,1,0.075048848,0.3481882030511676
11,0,0.0011870896,0.005507487532449923
12,0,1.4431625199999999e-05,6.695534680953327e-05
