method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,6.02338E-9,0.1,0,0.01
RungeKutta4,2,0.2,1.50658E-8,0.1,0,0.01
RungeKutta4,3,0.3,3.04246E-8,0.1,0,0.01
RungeKutta4,4,0.4,5.78386E-8,0.1,0,0.01
RungeKutta4,5,0.5,1.07562E-7,0.1,0,0.01
RungeKutta4,6,0.6,1.98066E-7,0.1,0,0.01
RungeKutta4,7,0.7,3.62642E-7,0.1,0,0.01
RungeKutta4,8,0.8,6.61214E-7,0.1,0,0.01
RungeKutta4,9,0.9,0.00000120141,0.1,0,0.01
RungeKutta4,10,1.0,0.00000217609,0.1,0,0.01
RungeKutta4,11,1.1,0.00000393002,0.1,0,0.01
RungeKutta4,12,1.2,0.00000707829,0.1,0,0.01
RungeKutta4,13,1.3,0.0000127151,0.1,0,0.01
RungeKutta4,14,1.4,0.0000227838,0.1,0,0.01
RungeKutta4,15,1.5,0.0000407276,0.1,0,0.01
RungeKutta4,16,1.6,0.0000726356,0.1,0,0.01
RungeKutta4,17,1.7,0.000129250,0.1,0,0.01
RungeKutta4,18,1.8,0.000229479,0.1,0,0.01
RungeKutta4,19,1.9,0.000406522,0.1,0,0.01
RungeKutta4,20,2.0,0.000718469,0.1,0,0.01
RungeKutta4,21,2.1,0.00126656,0.1,0,0.01
RungeKutta4,22,2.2,0.00222619,0.1,0,0.01
RungeKutta4,23,2.3,0.00389852,0.1,0,0.01
RungeKutta4,24,2.4,0.00679352,0.1,0,0.01
RungeKutta4,25,2.5,0.0117555,0.1,0,0.01
RungeKutta4,26,2.6,0.0201318,0.1,0,0.01
RungeKutta4,27,2.7,0.0339474,0.1,0,0.01
RungeKutta4,28,2.8,0.0559612,0.1,0,0.01
RungeKutta4,29,2.9,0.0893730,0.1,0,0.01
RungeKutta4,30,3.0,0.136972,0.1,0,0.01
RungeKutta4,31,3.1,0.199900,0.1,0,0.01
RungeKutta4,32,3.2,0.276780,0.1,0,0.01
RungeKutta4,33,3.3,0.363920,0.1,0,0.01
RungeKutta4,34,3.4,0.456466,0.1,0,0.01
RungeKutta4,35,3.5,0.549702,0.1,0,0.01
RungeKutta4,36,3.6,0.639864,0.1,0,0.01
RungeKutta4,37,3.7,0.724392,0.1,0,0.01
RungeKutta4,38,3.8,0.801810,0.1,0,0.01
RungeKutta4,39,3.9,0.871461,0.1,0,0.01
RungeKutta4,40,4.0,0.933246,0.1,0,0.01
RungeKutta4,41,4.1,0.987406,0.1,0,0.01
RungeKutta4,42,4.2,1.03437,0.1,0,0.01
RungeKutta4,43,4.3,1.07465,0.1,0,0.01
RungeKutta4,44,4.4,1.10878,0.1,0,0.01
RungeKutta4,45,4.5,1.13727,0.1,0,0.01
RungeKutta4,46,4.6,1.16061,0.1,0,0.01
RungeKutta4,47,4.7,1.17925,0.1,0,0.01
RungeKutta4,48,4.8,1.19357,0.1,0,0.01
RungeKutta4,49,4.9,1.20393,0.1,0,0.01
RungeKutta4,50,5.0,1.21065,0.1,0,0.01
RungeKutta4,51,5.1,1.21400,0.1,0,0.01
RungeKutta4,52,5.2,1.21424,0.1,0,0.01
RungeKutta4,53,5.3,1.21159,0.1,0,0.01
RungeKutta4,54,5.4,1.20625,0.1,0,0.01
RungeKutta4,55,5.5,1.19840,0.1,0,0.01
RungeKutta4,56,5.6,1.18820,0.1,0,0.01
RungeKutta4,57,5.7,1.17581,0.1,0,0.01
RungeKutta4,58,5.8,1.16137,0.1,0,0.01
RungeKutta4,59,5.9,1.14500,0.1,0,0.01
RungeKutta4,60,6.0,1.12683,0.1,0,0.01
RungeKutta4,61,6.1,1.10698,0.1,0,0.01
RungeKutta4,62,6.2,1.08557,0.1,0,0.01
RungeKutta4,63,6.3,1.06270,0.1,0,0.01
RungeKutta4,64,6.4,1.03847,0.1,0,0.01
RungeKutta4,65,6.5,1.01299,0.1,0,0.01
RungeKutta4,66,6.6,0.986366,0.1,0,0.01
RungeKutta4,67,6.7,0.958695,0.1,0,0.01
RungeKutta4,68,6.8,0.930076,0.1,0,0.01
RungeKutta4,69,6.9,0.900609,0.1,0,0.01
RungeKutta4,70,7.0,0.870392,0.1,0,0.01
RungeKutta4,71,7.1,0.839523,0.1,0,0.01
RungeKutta4,72,7.2,0.808100,0.1,0,0.01
RungeKutta4,73,7.3,0.776217,0.1,0,0.01
RungeKutta4,74,7.4,0.743974,0.1,0,0.01
RungeKutta4,75,7.5,0.711468,0.1,0,0.01
RungeKutta4,76,7.6,0.678791,0.1,0,0.01
RungeKutta4,77,7.7,0.646040,0.1,0,0.01
RungeKutta4,78,7.8,0.613308,0.1,0,0.01
RungeKutta4,79,7.9,0.580683,0.1,0,0.01
RungeKutta4,80,8.0,0.548256,0.1,0,0.01
RungeKutta4,81,8.1,0.516111,0.1,0,0.01
RungeKutta4,82,8.2,0.484326,0.1,0,0.01
RungeKutta4,83,8.3,0.452968,0.1,0,0.01
RungeKutta4,84,8.4,0.422096,0.1,0,0.01
RungeKutta4,85,8.5,0.391747,0.1,0,0.01
RungeKutta4,86,8.6,0.361931,0.1,0,0.01
RungeKutta4,87,8.7,0.332622,0.1,0,0.01
RungeKutta4,88,8.8,0.303737,0.1,0,0.01
RungeKutta4,89,8.9,0.275128,0.1,0,0.01
RungeKutta4,90,9.0,0.246570,0.1,0,0.01
RungeKutta4,91,9.1,0.217786,0.1,0,0.01
RungeKutta4,92,9.2,0.188526,0.1,0,0.01
RungeKutta4,93,9.3,0.158766,0.1,0,0.01
RungeKutta4,94,9.4,0.128986,0.1,0,0.01
RungeKutta4,95,9.5,0.100363,0.1,0,0.01
RungeKutta4,96,9.6,0.0745495,0.1,0,0.01
RungeKutta4,97,9.7,0.0529990,0.1,0,0.01
RungeKutta4,98,9.8,0.0363312,0.1,0,0.01
RungeKutta4,99,9.9,0.0242452,0.1,0,0.01
RungeKutta4,100,10.0,0.0158933,0.1,0,0.01
RungeKutta4,101,10.1,0.0103075,0.1,0,0.01
RungeKutta4,102,10.2,0.00664758,0.1,0,0.01
RungeKutta4,103,10.3,0.00427798,0.1,0,0.01
RungeKutta4,104,10.4,0.00275316,0.1,0,0.01
RungeKutta4,105,10.5,0.00177428,0.1,0,0.01
RungeKutta4,106,10.6,0.00114586,0.1,0,0.01
RungeKutta4,107,10.7,0.000741837,0.1,0,0.01
RungeKutta4,108,10.8,0.000481484,0.1,0,0.01
RungeKutta4,109,10.9,0.000313261,0.1,0,0.01
RungeKutta4,110,11.0,0.000204259,0.1,0,0.01
RungeKutta4,111,11.1,0.000133438,0.1,0,0.01
RungeKutta4,112,11.2,0.0000873082,0.1,0,0.01
RungeKutta4,113,11.3,0.0000571955,0.1,0,0.01
RungeKutta4,114,11.4,0.0000375020,0.1,0,0.01
RungeKutta4,115,11.5,0.0000246035,0.1,0,0.01
RungeKutta4,116,11.6,0.0000161461,0.1,0,0.01
RungeKutta4,117,11.7,0.0000105963,0.1,0,0.01
RungeKutta4,118,11.8,0.00000695285,0.1,0,0.01
RungeKutta4,119,11.9,0.00000456048,0.1,0,0.01
RungeKutta4,120,12.0,0.00000297702,0.1,0,0.01
RungeKutta4,121,12.1,0.00000190468,0.1,0,0.01
