TIMESTAMP,OBSERVED,GROWTH,DECAY,OOS_DECAY,POST_PEAK_DECAY,POST_PEAK_SHARPNESS,SEASON_START,SEASON_END,SHARPNESS,FORCING_PEAK,SCORE,WRAPS_YEAR
2026-05-06 06:41:59,swift_observed.csv,1.205,0.936,6.996,0.92,3.698,5.48,9.18,2.678,6.16,0.07146485203454571692553067381,
2026-05-06 06:41:59,swift_observed.csv,1.202,0.847,3.916,3.305,9.118,5.93,8.26,8.734,6.58,0.1173782864446523139694362055,
2026-05-06 06:42:00,swift_observed.csv,4.544,1.81,6.861,3.714,6.684,5.35,8.65,4.917,6.52,0.03980727502678619217927773710,
2026-05-06 06:42:00,swift_observed.csv,4.45,2.999,4.99,2.115,9.378,4.43,9.4,2.562,5.05,0.06376662233466409345268526931,
2026-05-06 06:42:00,swift_observed.csv,4.779,1.721,6.233,1.224,5.626,4.95,8.95,7.306,7.45,0.07376470962469490591222113530,
2026-05-06 06:42:01,swift_observed.csv,1.082,2.816,5.463,4.565,4.077,4.14,9.5,13.05,5.74,0.08033660201682990350837476282,
2026-05-06 06:42:01,swift_observed.csv,1.71,2.288,1.021,4.501,3.222,5.41,8.29,12.432,6.39,0.03299500029557611086834393650,
2026-05-06 06:42:01,swift_observed.csv,2.818,2.37,6.149,2.967,6.235,4.54,9.89,1.151,6.67,0.05675031469726029335052292055,
2026-05-06 06:42:01,swift_observed.csv,3.782,0.69,4.839,6.011,1.16,5.18,9.85,8.317,5.26,0.008876617796791934536593585583,
2026-05-06 06:42:02,swift_observed.csv,1.622,1.76,3.107,1.494,5.648,5.44,9.76,11.984,6.07,0.02861266979635299580587383952,
2026-05-06 06:42:02,swift_observed.csv,4.3,1.853,1.596,0.921,8.633,4.99,8.83,6.918,7.11,0.06195626788065631208216899730,
2026-05-06 06:42:02,swift_observed.csv,2.694,0.944,1.796,7.803,4.274,4.25,8.28,8.951,6.72,0.04445903243274622688620402180,
2026-05-06 06:42:03,swift_observed.csv,2.463,1.996,3.189,0.503,3.031,4.25,9.65,7.781,6.21,0.06206525669024040017992424396,
2026-05-06 06:42:03,swift_observed.csv,4.2,1.361,7.078,5.214,6.26,5.41,9.32,2.301,6.65,0.05033674362958401967898626988,
2026-05-06 06:42:03,swift_observed.csv,2.787,2.972,6.087,7.993,6.594,5.11,9.25,1.523,7.05,0.05952804177701295603607238440,
2026-05-06 06:42:03,swift_observed.csv,3.54,2.611,2.982,4.804,5.656,5.58,8.12,8.356,6.78,0.06499594900179470467543673937,
2026-05-06 06:42:04,swift_observed.csv,3.648,2.67,2.967,0.714,2.584,4.78,9.92,5.062,6.09,0.04971830652680440705100515212,
2026-05-06 06:42:04,swift_observed.csv,1.322,0.523,1.353,0.838,5.699,5.44,8.51,10.645,6.23,0.06677328733813056094396631974,
2026-05-06 06:42:04,swift_observed.csv,4.515,2.706,3.946,6.321,9.054,5.71,8.83,11.396,5.98,0.05694298313873254153314225729,
2026-05-06 06:42:05,swift_observed.csv,4.048,1.259,1.108,6.069,1.012,4.47,8.56,6.991,7.25,0.04966037401007252333370155797,
2026-05-06 06:42:05,swift_observed.csv,2.465,0.594,5.068,4.474,9.247,4.73,9.66,14.465,4.86,0.09967905019333803374919173247,
2026-05-06 06:42:05,swift_observed.csv,3.737,2.868,6.127,7.458,4.72,4.91,9.07,7.061,6.71,0.02261046426594415089538483324,
2026-05-06 06:42:05,swift_observed.csv,3.9,2.222,6.396,2.221,8.604,4.82,9.81,12.522,5.51,0.01232413268826879767266545357,
2026-05-06 06:42:06,swift_observed.csv,3.27,1.218,2.15,5.992,8.396,4.24,9.61,13.957,5.53,0.1058793373229699408532029879,
