method,step,t,y,step_size,difference,tolerance
RungeKutta4,0,0.0,0,0.1,0,0.01
RungeKutta4,1,0.1,3.60857E-10,0.1,0,0.01
RungeKutta4,2,0.2,8.98917E-10,0.1,0,0.01
RungeKutta4,3,0.3,1.80481E-9,0.1,0,0.01
RungeKutta4,4,0.4,3.40571E-9,0.1,0,0.01
RungeKutta4,5,0.5,6.27804E-9,0.1,0,0.01
RungeKutta4,6,0.6,1.14450E-8,0.1,0,0.01
RungeKutta4,7,0.7,2.07242E-8,0.1,0,0.01
RungeKutta4,8,0.8,3.73374E-8,0.1,0,0.01
RungeKutta4,9,0.9,6.69819E-8,0.1,0,0.01
RungeKutta4,10,1.0,1.19704E-7,0.1,0,0.01
RungeKutta4,11,1.1,2.13167E-7,0.1,0,0.01
RungeKutta4,12,1.2,3.78357E-7,0.1,0,0.01
RungeKutta4,13,1.3,6.69479E-7,0.1,0,0.01
RungeKutta4,14,1.4,0.00000118114,0.1,0,0.01
RungeKutta4,15,1.5,0.00000207810,0.1,0,0.01
RungeKutta4,16,1.6,0.00000364656,0.1,0,0.01
RungeKutta4,17,1.7,0.00000638279,0.1,0,0.01
RungeKutta4,18,1.8,0.0000111454,0.1,0,0.01
RungeKutta4,19,1.9,0.0000194170,0.1,0,0.01
RungeKutta4,20,2.0,0.0000337530,0.1,0,0.01
RungeKutta4,21,2.1,0.0000585475,0.1,0,0.01
RungeKutta4,22,2.2,0.000101345,0.1,0,0.01
RungeKutta4,23,2.3,0.000175067,0.1,0,0.01
RungeKutta4,24,2.4,0.000301800,0.1,0,0.01
RungeKutta4,25,2.5,0.000519195,0.1,0,0.01
RungeKutta4,26,2.6,0.000891240,0.1,0,0.01
RungeKutta4,27,2.7,0.00152621,0.1,0,0.01
RungeKutta4,28,2.8,0.00260626,0.1,0,0.01
RungeKutta4,29,2.9,0.00443516,0.1,0,0.01
RungeKutta4,30,3.0,0.00751266,0.1,0,0.01
RungeKutta4,31,3.1,0.0126434,0.1,0,0.01
RungeKutta4,32,3.2,0.0210796,0.1,0,0.01
RungeKutta4,33,3.3,0.0346656,0.1,0,0.01
RungeKutta4,34,3.4,0.0558889,0.1,0,0.01
RungeKutta4,35,3.5,0.0876609,0.1,0,0.01
RungeKutta4,36,3.6,0.132648,0.1,0,0.01
RungeKutta4,37,3.7,0.192236,0.1,0,0.01
RungeKutta4,38,3.8,0.265650,0.1,0,0.01
RungeKutta4,39,3.9,0.349885,0.1,0,0.01
RungeKutta4,40,4.0,0.440533,0.1,0,0.01
RungeKutta4,41,4.1,0.532949,0.1,0,0.01
RungeKutta4,42,4.2,0.623159,0.1,0,0.01
RungeKutta4,43,4.3,0.708264,0.1,0,0.01
RungeKutta4,44,4.4,0.786438,0.1,0,0.01
RungeKutta4,45,4.5,0.856748,0.1,0,0.01
RungeKutta4,46,4.6,0.918900,0.1,0,0.01
RungeKutta4,47,4.7,0.973022,0.1,0,0.01
RungeKutta4,48,4.8,1.01948,0.1,0,0.01
RungeKutta4,49,4.9,1.05878,0.1,0,0.01
RungeKutta4,50,5.0,1.09148,0.1,0,0.01
RungeKutta4,51,5.1,1.11813,0.1,0,0.01
RungeKutta4,52,5.2,1.13925,0.1,0,0.01
RungeKutta4,53,5.3,1.15534,0.1,0,0.01
RungeKutta4,54,5.4,1.16684,0.1,0,0.01
RungeKutta4,55,5.5,1.17416,0.1,0,0.01
RungeKutta4,56,5.6,1.17765,0.1,0,0.01
RungeKutta4,57,5.7,1.17764,0.1,0,0.01
RungeKutta4,58,5.8,1.17441,0.1,0,0.01
RungeKutta4,59,5.9,1.16822,0.1,0,0.01
RungeKutta4,60,6.0,1.15929,0.1,0,0.01
RungeKutta4,61,6.1,1.14782,0.1,0,0.01
RungeKutta4,62,6.2,1.13399,0.1,0,0.01
RungeKutta4,63,6.3,1.11794,0.1,0,0.01
RungeKutta4,64,6.4,1.09978,0.1,0,0.01
RungeKutta4,65,6.5,1.07959,0.1,0,0.01
RungeKutta4,66,6.6,1.05738,0.1,0,0.01
RungeKutta4,67,6.7,1.03308,0.1,0,0.01
RungeKutta4,68,6.8,1.00648,0.1,0,0.01
RungeKutta4,69,6.9,0.977188,0.1,0,0.01
RungeKutta4,70,7.0,0.944518,0.1,0,0.01
RungeKutta4,71,7.1,0.907367,0.1,0,0.01
RungeKutta4,72,7.2,0.864101,0.1,0,0.01
RungeKutta4,73,7.3,0.812509,0.1,0,0.01
RungeKutta4,74,7.4,0.750048,0.1,0,0.01
RungeKutta4,75,7.5,0.674640,0.1,0,0.01
RungeKutta4,76,7.6,0.586190,0.1,0,0.01
RungeKutta4,77,7.7,0.488217,0.1,0,0.01
RungeKutta4,78,7.8,0.388058,0.1,0,0.01
RungeKutta4,79,7.9,0.294579,0.1,0,0.01
RungeKutta4,80,8.0,0.214704,0.1,0,0.01
RungeKutta4,81,8.1,0.151415,0.1,0,0.01
RungeKutta4,82,8.2,0.104135,0.1,0,0.01
RungeKutta4,83,8.3,0.0703075,0.1,0,0.01
RungeKutta4,84,8.4,0.0468350,0.1,0,0.01
RungeKutta4,85,8.5,0.0308940,0.1,0,0.01
RungeKutta4,86,8.6,0.0202309,0.1,0,0.01
RungeKutta4,87,8.7,0.0131752,0.1,0,0.01
RungeKutta4,88,8.8,0.00854377,0.1,0,0.01
RungeKutta4,89,8.9,0.00552180,0.1,0,0.01
RungeKutta4,90,9.0,0.00355912,0.1,0,0.01
RungeKutta4,91,9.1,0.00228906,0.1,0,0.01
RungeKutta4,92,9.2,0.00146959,0.1,0,0.01
RungeKutta4,93,9.3,0.000942107,0.1,0,0.01
RungeKutta4,94,9.4,0.000603232,0.1,0,0.01
RungeKutta4,95,9.5,0.000385872,0.1,0,0.01
RungeKutta4,96,9.6,0.000246637,0.1,0,0.01
RungeKutta4,97,9.7,0.000157543,0.1,0,0.01
RungeKutta4,98,9.8,0.000100583,0.1,0,0.01
RungeKutta4,99,9.9,0.0000641923,0.1,0,0.01
RungeKutta4,100,10.0,0.0000409563,0.1,0,0.01
RungeKutta4,101,10.1,0.0000261260,0.1,0,0.01
RungeKutta4,102,10.2,0.0000166637,0.1,0,0.01
RungeKutta4,103,10.3,0.0000106278,0.1,0,0.01
RungeKutta4,104,10.4,0.00000677812,0.1,0,0.01
RungeKutta4,105,10.5,0.00000432305,0.1,0,0.01
RungeKutta4,106,10.6,0.00000275740,0.1,0,0.01
RungeKutta4,107,10.7,0.00000175894,0.1,0,0.01
RungeKutta4,108,10.8,0.00000112216,0.1,0,0.01
RungeKutta4,109,10.9,7.16002E-7,0.1,0,0.01
RungeKutta4,110,11.0,4.56915E-7,0.1,0,0.01
RungeKutta4,111,11.1,2.91624E-7,0.1,0,0.01
RungeKutta4,112,11.2,1.86156E-7,0.1,0,0.01
RungeKutta4,113,11.3,1.18850E-7,0.1,0,0.01
RungeKutta4,114,11.4,7.58903E-8,0.1,0,0.01
RungeKutta4,115,11.5,4.84661E-8,0.1,0,0.01
RungeKutta4,116,11.6,3.09564E-8,0.1,0,0.01
RungeKutta4,117,11.7,1.97752E-8,0.1,0,0.01
RungeKutta4,118,11.8,1.26341E-8,0.1,0,0.01
RungeKutta4,119,11.9,8.07267E-9,0.1,0,0.01
RungeKutta4,120,12.0,5.20950E-9,0.1,0,0.01
RungeKutta4,121,12.1,3.68333E-9,0.1,0,0.01
